series_id                     ,seasonal,index_code,series_name,base_period,series_title,footnote_codes,begin_year,begin_period,end_year,end_period
EIUCDCANMANU                  ,U,CD,Canada-Manufacturing,December 2020=100,"Monthly export price index by destination for NAICS, Manufacturing, Canada, not seasonally adjusted",,2020,M12,2022,M03
EIUCDCANNONM                  ,U,CD,Canada-Nonmanufacturing,December 2020=100,"Monthly export price index by destination for NAICS, Nonmanufacturing, Canada, not seasonally adjusted",,2020,M12,2022,M03
EIUCDCANTOT                   ,U,CD,Canada-All Industries,December 2017=100,"Monthly export price index by destination for NAICS, All industries, Canada, not seasonally adjusted",,2017,M12,2022,M03
EIUCDCHNMANU                  ,U,CD,China-Manufacturing,December 2017=100,"Monthly export price index by destination for NAICS, Manufacturing, China, not seasonally adjusted",,2017,M12,2022,M03
EIUCDCHNNONM                  ,U,CD,China-Nonmanufacturing,December 2017=100,"Monthly export price index by destination for NAICS, Nonmanufacturing, Chin+B241a, not seasonally adjusted",,2017,M12,2022,M03
EIUCDCHNTOT                   ,U,CD,China-All Industries,December 2017=100,"Monthly export price index by destination for NAICS, All industries, China, not seasonally adjusted",,2017,M12,2022,M03
EIUCDEECMANU                  ,U,CD,European Union-Manufacturing,December 2017=100,"Monthly export price index by destination for NAICS, Manufacturing, European Union, not seasonally adjusted",,2017,M12,2022,M03
EIUCDEECNONM                  ,U,CD,European Union-Nonmanufacturing,December 2017=100,"Monthly export price index by destination for NAICS, Nonmanufacturing, European Union, not seasonally adjusted",,2017,M12,2022,M03
EIUCDEECTOT                   ,U,CD,European Union-All Industries,December 2017=100,"Monthly export price index by destination for NAICS, All industries, European Union, not seasonally adjusted",,2017,M12,2022,M03
EIUCDGERTOT                   ,U,CD,Germany-All Industries,December 2017=100,"Monthly export price index by destination for NAICS, All industries, Germany, not seasonally adjusted",,2017,M12,2022,M03
EIUCDINDUSMANU                ,U,CD,Industrialized Countries-Manufacturing,December 2017=100,"Monthly export price index by destination for NAICS, Manufacturing, Industrialized Countries, not seasonally adjusted",,2017,M12,2022,M03
EIUCDINDUSNONM                ,U,CD,Industrialized Countries-Nonmanufacturing,December 2017=100,"Monthly export price index by destination for NAICS, Nonmanufacturing, Industrialized Countries, not seasonally adjusted",,2017,M12,2022,M03
EIUCDINDUSTOT                 ,U,CD,Industrialized Countries-All Industries,December 2017=100,"Monthly export price index by destination for NAICS, All industries, Industrialized Countries, not seasonally adjusted",2.0,2017,M12,2022,M03
EIUCDJPNMANU                  ,U,CD,Japan-Manufacturing,December 2017=100,"Monthly export price index by destination for NAICS, Manufacturing, Japan, not seasonally adjusted",,2017,M12,2022,M03
EIUCDJPNNONM                  ,U,CD,Japan-Nonmanufacturing,December 2017=100,"Monthly export price index by destination for NAICS, Nonmanufacturing, Japan, not seasonally adjusted",,2017,M12,2022,M03
EIUCDJPNTOT                   ,U,CD,Japan-All Industries,December 2017=100,"Monthly export price index by destination for NAICS, All industries, Japan, not seasonally adjusted",,2017,M12,2022,M03
EIUCDLATMANU                  ,U,CD,Latin America-Manufacturing,December 2017=100,"Monthly export price index by destination for NAICS, Manufacturing, Latin America, not seasonally adjusted",,2017,M12,2022,M03
EIUCDLATNONM                  ,U,CD,Latin America-Nonmanufacturing,December 2017=100,"Monthly export price index by destination for NAICS, Nonmanufacturing, Latin America, not seasonally adjusted",,2017,M12,2022,M03
EIUCDLATTOT                   ,U,CD,Latin America-All Industries,December 2017=100,"Monthly export price index by destination for NAICS, All industries, Latin America, not seasonally adjusted",3.0,2017,M12,2022,M03
EIUCDMEXMANU                  ,U,CD,Mexico-Manufacturing,December 2017=100,"Monthly export price index by destination for NAICS, Manufacturing, Mexico, not seasonally adjusted",,2017,M12,2022,M03
EIUCDMEXNONM                  ,U,CD,Mexico-Nonmanufacturing,December 2017=100,"Monthly export price index by destination for NAICS, Nonmanufacturing, Mexico, not seasonally adjusted",,2017,M12,2022,M03
