index,Index,Label,unit,start,last,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
MPU0011012       ,MPU0011012       ,"Total factor productivity for Agriculture, forestry, fishery, and hunting (NAICS 11), Indexes = 100.000",Index base: 2012 = 100,1987-A01,2020-A01,78.232,71.873,75.449,78.971,79.377,84.694,79.758,84.805,77.398,82.672,87.048,86.456,88.581,94.434,94.099,97.177,102.201,105.542,105.884,104.381,99.652,101.062,109.0,107.556,103.455,100.0,107.618,106.89,109.856,113.324,112.326,113.4,109.676,117.767,
MPU0011013       ,MPU0011013       ,"Total factor productivity for Agriculture, forestry, fishery, and hunting (NAICS 11), % Change Year Ago",3,1988-A01,2020-A01,,-8.1,5.0,4.7,0.5,6.7,-5.8,6.3,-8.7,6.8,5.3,-0.7,2.5,6.6,-0.4,3.3,5.2,3.3,0.3,-1.4,-4.5,1.4,7.9,-1.3,-3.8,-3.3,7.6,-0.7,2.8,3.2,-0.9,1.0,-3.3,7.4,
MPU0011032       ,MPU0011032       ,"Combined inputs for Agriculture, forestry, fishery, and hunting (NAICS 11), Indexes = 100.000",Index base: 2012 = 100,1987-A01,2020-A01,97.355,101.676,101.718,100.974,101.363,100.023,103.567,105.788,111.869,106.329,106.317,107.328,107.825,102.183,102.263,98.679,97.625,97.515,98.014,97.944,102.946,99.988,94.6,96.325,99.003,100.0,101.319,101.045,99.234,101.609,101.971,99.318,101.612,103.499,
MPU0011033       ,MPU0011033       ,"Combined inputs for Agriculture, forestry, fishery, and hunting (NAICS 11), % Change Year Ago",3,1988-A01,2020-A01,,4.4,0.0,-0.7,0.4,-1.3,3.5,2.1,5.7,-5.0,0.0,1.0,0.5,-5.2,0.1,-3.5,-1.1,-0.1,0.5,-0.1,5.1,-2.9,-5.4,1.8,2.8,1.0,1.3,-0.3,-1.8,2.4,0.4,-2.6,2.3,1.9,
MPU0011042       ,MPU0011042       ,"Capital input for Agriculture, forestry, fishery, and hunting (NAICS 11), Indexes = 100.000",Index base: 2012 = 100,1987-A01,2020-A01,94.422,99.047,100.729,100.507,99.411,98.479,98.182,99.261,97.227,95.932,95.799,96.114,95.815,95.648,95.526,91.728,90.328,92.931,97.678,104.147,101.277,95.884,91.546,91.408,95.754,100.0,102.593,103.191,101.429,99.774,101.189,102.805,102.917,103.248,
MPU0011043       ,MPU0011043       ,"Capital input for Agriculture, forestry, fishery, and hunting (NAICS 11), % Change Year Ago",3,1988-A01,2020-A01,,4.9,1.7,-0.2,-1.1,-0.9,-0.3,1.1,-2.0,-1.3,-0.1,0.3,-0.3,-0.2,-0.1,-4.0,-1.5,2.9,5.1,6.6,-2.8,-5.3,-4.5,-0.2,4.8,4.4,2.6,0.6,-1.7,-1.6,1.4,1.6,0.1,0.3,
MPU0011052       ,MPU0011052       ,"Labor input for Agriculture, forestry, fishery, and hunting (NAICS 11), Indexes = 100.000",Index base: 2012 = 100,1987-A01,2020-A01,109.643,110.966,112.642,107.615,107.804,106.76,105.712,119.228,123.894,121.147,119.158,115.214,111.035,111.725,104.789,103.913,101.789,101.909,102.392,101.715,100.611,102.402,96.89,96.792,97.878,100.0,97.183,102.067,108.967,111.251,109.344,109.186,110.61,105.395,
MPU0011053       ,MPU0011053       ,"Labor input for Agriculture, forestry, fishery, and hunting (NAICS 11), % Change Year Ago",3,1988-A01,2020-A01,,1.2,1.5,-4.5,0.2,-1.0,-1.0,12.8,3.9,-2.2,-1.6,-3.3,-3.6,0.6,-6.2,-0.8,-2.0,0.1,0.5,-0.7,-1.1,1.8,-5.4,-0.1,1.1,2.2,-2.8,5.0,6.8,2.1,-1.7,-0.1,1.3,-4.7,
MPU0011062       ,MPU0011062       ,"Labor productivity for Agriculture, forestry, fishery, and hunting (NAICS 11), Indexes = 100.000",Index base: 2012 = 100,1987-A01,2020-A01,62.872,60.34,63.074,69.332,70.178,74.52,74.747,71.361,66.442,69.593,74.468,77.344,83.274,83.794,89.932,90.083,96.839,101.29,101.879,101.559,103.603,100.57,107.376,107.626,104.251,100.0,113.789,106.581,99.686,103.323,104.538,104.636,102.549,115.413,
MPU0011063       ,MPU0011063       ,"Labor productivity for Agriculture, forestry, fishery, and hunting (NAICS 11), % Change Year Ago",3,1988-A01,2020-A01,,-4.0,4.5,9.9,1.2,6.2,0.3,-4.5,-6.9,4.7,7.0,3.9,7.7,0.6,7.3,0.2,7.5,4.6,0.6,-0.3,2.0,-2.9,6.8,0.2,-3.1,-4.1,13.8,-6.3,-6.5,3.6,1.2,0.1,-2.0,12.5,
