series_id        ,sector_code,measure_code,duration_code,base_year,series_title,footnote_codes,begin_year,begin_period,end_year,end_period
MPU0011012       ,11,1,2,2012,"Total factor productivity for Agriculture, forestry, fishery, and hunting (NAICS 11), Indexes = 100.000",4.0,1987,A01,2020,A01
MPU0011013       ,11,1,3,-,"Total factor productivity for Agriculture, forestry, fishery, and hunting (NAICS 11), % Change Year Ago",4.0,1988,A01,2020,A01
MPU0011032       ,11,3,2,2012,"Combined inputs for Agriculture, forestry, fishery, and hunting (NAICS 11), Indexes = 100.000",6.0,1987,A01,2020,A01
MPU0011033       ,11,3,3,-,"Combined inputs for Agriculture, forestry, fishery, and hunting (NAICS 11), % Change Year Ago",6.0,1988,A01,2020,A01
MPU0011042       ,11,4,2,2012,"Capital input for Agriculture, forestry, fishery, and hunting (NAICS 11), Indexes = 100.000",0.0,1987,A01,2020,A01
MPU0011043       ,11,4,3,-,"Capital input for Agriculture, forestry, fishery, and hunting (NAICS 11), % Change Year Ago",0.0,1988,A01,2020,A01
MPU0011052       ,11,5,2,2012,"Labor input for Agriculture, forestry, fishery, and hunting (NAICS 11), Indexes = 100.000",3.0,1987,A01,2020,A01
MPU0011053       ,11,5,3,-,"Labor input for Agriculture, forestry, fishery, and hunting (NAICS 11), % Change Year Ago",3.0,1988,A01,2020,A01
MPU0011062       ,11,6,2,2012,"Labor productivity for Agriculture, forestry, fishery, and hunting (NAICS 11), Indexes = 100.000",8.0,1987,A01,2020,A01
MPU0011063       ,11,6,3,-,"Labor productivity for Agriculture, forestry, fishery, and hunting (NAICS 11), % Change Year Ago",8.0,1988,A01,2020,A01
MPU0011072       ,11,7,2,2012,"Capital productivity for Agriculture, forestry, fishery, and hunting (NAICS 11), Indexes = 100.000",,1987,A01,2020,A01
MPU0011073       ,11,7,3,-,"Capital productivity for Agriculture, forestry, fishery, and hunting (NAICS 11), % Change Year Ago",,1988,A01,2020,A01
MPU0011082       ,11,8,2,2012,"Capital intensity for Agriculture, forestry, fishery, and hunting (NAICS 11), Indexes = 100.000",,1987,A01,2020,A01
MPU0011083       ,11,8,3,-,"Capital intensity for Agriculture, forestry, fishery, and hunting (NAICS 11), % Change Year Ago",,1988,A01,2020,A01
MPU0011152       ,11,15,2,2012,"Contribution of capital intensity to labor productivity for Agriculture, forestry, fishery, and hunting (NAICS 11), Indexes = 100.000",,1987,A01,2020,A01
MPU0011153       ,11,15,3,-,"Contribution of capital intensity to labor productivity for Agriculture, forestry, fishery, and hunting (NAICS 11), % Change Year Ago",,1988,A01,2020,A01
MPU0011162       ,11,16,2,2012,"Contribution of information processing equipment (IPE) intensity to labor productivity for Agriculture, forestry, fishery, and hunting (NAICS 11), Indexes = 100.000",,1987,A01,2020,A01
MPU0011163       ,11,16,3,-,"Contribution of information processing equipment (IPE) intensity to labor productivity for Agriculture, forestry, fishery, and hunting (NAICS 11), % Change Year Ago",,1988,A01,2020,A01
MPU0011172       ,11,17,2,2012,"Contribution of capital input excluding IPP and IPE intensity to labor productivity for Agriculture, forestry, fishery, and hunting (NAICS 11), Indexes = 100.000",,1987,A01,2020,A01
MPU0011173       ,11,17,3,-,"Contribution of capital input excluding IPP and IPE intensity to labor productivity for Agriculture, forestry, fishery, and hunting (NAICS 11), % Change Year Ago",,1988,A01,2020,A01
MPU0011182       ,11,18,2,2012,"Contribution of labor composition to labor productivity for Agriculture, forestry, fishery, and hunting (NAICS 11), Indexes = 100.000",,1987,A01,2020,A01
MPU0011183       ,11,18,3,-,"Contribution of labor composition to labor productivity for Agriculture, forestry, fishery, and hunting (NAICS 11), % Change Year Ago",,1988,A01,2020,A01
MPU0011202       ,11,20,2,2012,"Contribution of intellectual property products (IPP) excluding R&D intensity to labor productivity for Agriculture, forestry, fishery, and hunting (NAICS 11), Indexes = 100.000",,1987,A01,2020,A01
MPU0011203       ,11,20,3,-,"Contribution of intellectual property products (IPP) excluding R&D intensity to labor productivity for Agriculture, forestry, fishery, and hunting (NAICS 11), % Change Year Ago",,1988,A01,2020,A01
MPU0011512       ,11,51,2,2012,"Real sectoral output for Agriculture, forestry, fishery, and hunting (NAICS 11), Indexes = 100.000",,1987,A01,2020,A01
MPU0011513       ,11,51,3,-,"Real sectoral output for Agriculture, forestry, fishery, and hunting (NAICS 11), % Change Year Ago",,1988,A01,2020,A01
MPU0011552       ,11,55,2,2012,"Energy input for Agriculture, forestry, fishery, and hunting (NAICS 11), Indexes = 100.000",,1987,A01,2020,A01
MPU0011553       ,11,55,3,-,"Energy input for Agriculture, forestry, fishery, and hunting (NAICS 11), % Change Year Ago",,1988,A01,2020,A01
MPU0011562       ,11,56,2,2012,"Materials input for Agriculture, forestry, fishery, and hunting (NAICS 11), Indexes = 100.000",,1987,A01,2020,A01
MPU0011563       ,11,56,3,-,"Materials input for Agriculture, forestry, fishery, and hunting (NAICS 11), % Change Year Ago",,1988,A01,2020,A01
MPU0011572       ,11,57,2,2012,"Services Input for Agriculture, forestry, fishery, and hunting (NAICS 11), Indexes = 100.000",,1987,A01,2020,A01
MPU0011573       ,11,57,3,-,"Services Input for Agriculture, forestry, fishery, and hunting (NAICS 11), % Change Year Ago",,1988,A01,2020,A01
MPU0011611       ,11,61,1,-,"Sectoral output, billions of current dollars for Agriculture, forestry, fishery, and hunting (NAICS 11), Levels",,1987,A01,2020,A01
MPU0011621       ,11,62,1,-,"Capital costs, billions of current dollars for Agriculture, forestry, fishery, and hunting (NAICS 11), Levels",,1987,A01,2020,A01
MPU0011631       ,11,63,1,-,"Labor costs, billions of current dollars for Agriculture, forestry, fishery, and hunting (NAICS 11), Levels",,1987,A01,2020,A01
MPU0011641       ,11,64,1,-,"Energy costs, billions of current dollars for Agriculture, forestry, fishery, and hunting (NAICS 11), Levels",,1987,A01,2020,A01
MPU0011651       ,11,65,1,-,"Materials costs, billions of current dollars for Agriculture, forestry, fishery, and hunting (NAICS 11), Levels",,1987,A01,2020,A01
MPU0011661       ,11,66,1,-,"Services costs, billions of current dollars for Agriculture, forestry, fishery, and hunting (NAICS 11), Levels",,1987,A01,2020,A01
MPU0011671       ,11,67,1,-,"Capital share for Agriculture, forestry, fishery, and hunting (NAICS 11), Levels",,1987,A01,2020,A01
MPU0011681       ,11,68,1,-,"Labor share for Agriculture, forestry, fishery, and hunting (NAICS 11), Levels",,1987,A01,2020,A01
MPU0011691       ,11,69,1,-,"Energy share for Agriculture, forestry, fishery, and hunting (NAICS 11), Levels",,1987,A01,2020,A01
MPU0011701       ,11,70,1,-,"Materials share for Agriculture, forestry, fishery, and hunting (NAICS 11), Levels",,1987,A01,2020,A01
