Record Date,Parent ID,Classification ID,Classification Description,Current Month Receipt or Outlay Amount,Current FYTD Receipt or Outlay Amount,Prior FYTD Receipt or Outlay Amount,Table Number,Source Line Number,Print Order Sequence Number,Line Code Number,Data Type Code,Record Type Code,Sequence Level Number,Sequence Number Code,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
"2021-02-28","null","45570281","Receipts","null","null","null","9","1","1","10","S","SL","1","1","2021","2","2021","1","02","28"
"2021-02-28","45570281","45570282","Individual Income Taxes","125827061468.63","704399203651.73","671144456069.27","9","2","2","20","D","RSG","2","1.1","2021","2","2021","1","02","28"
"2021-02-28","45570281","45570283","Corporation Income Taxes","3779772797.78","89123335371.74","73864110729.90","9","3","3","30","D","RSG","2","1.2","2021","2","2021","1","02","28"
"2021-02-28","45570281","45570284","Social Insurance and Retirement Receipts:","null","null","null","9","4","4","40","S","RSG","2","1.3","2021","2","2021","1","02","28"
"2021-02-28","45570284","45570285","Employment and General Retirement","95323192638.43","516981977846.00","497567206309.26","9","5","5","50","D","RSG","3","1.3.1","2021","2","2021","1","02","28"
"2021-02-28","45570284","45570286","Unemployment Insurance","3681178330.91","15220093507.02","10899153197.13","9","6","6","60","D","RSG","3","1.3.2","2021","2","2021","1","02","28"
"2021-02-28","45570284","45570287","Other Retirement","433571052.01","2327199621.83","2145657780.45","9","7","7","70","D","RSG","3","1.3.3","2021","2","2021","1","02","28"
"2021-02-28","45570281","45570288","Excise Taxes","4903749526.20","24064754045.85","33559341692.75","9","8","8","80","D","RSG","2","1.4","2021","2","2021","1","02","28"
"2021-02-28","45570281","45570289","Estate and Gift Taxes","1151533701.29","9030708430.26","8571993543.19","9","9","9","90","D","RSG","2","1.5","2021","2","2021","1","02","28"
"2021-02-28","45570281","45570290","Customs Duties","6323345583.92","30362449679.03","34350503268.36","9","10","10","100","D","RSG","2","1.6","2021","2","2021","1","02","28"
"2021-02-28","45570281","45570291","Miscellaneous Receipts","6890651677.01","44824718976.20","34647829931.51","9","11","11","110","D","RSG","2","1.7","2021","2","2021","1","02","28"
"2021-02-28","45570281","45570292","Total","248314056776.18","1436334441129.66","1366750252521.82","9","12","12","120","T","SL","2","1.8","2021","2","2021","1","02","28"
"2021-02-28","null","45570293","Net Outlays","null","null","null","9","13","13","130","S","SL","1","2","2021","2","2021","1","02","28"
"2021-02-28","45570293","45570294","National Defense","53511460951.07","311473852657.44","304618742584.80","9","14","14","140","D","F","2","2.1","2021","2","2021","1","02","28"
"2021-02-28","45570293","45570295","International Affairs","7591481242.57","22781313126.15","20769445649.84","9","15","15","150","D","F","2","2.2","2021","2","2021","1","02","28"
"2021-02-28","45570293","45570296","General Science, Space, and Technology","2589730238.04","14409960226.28","13906621958.54","9","16","16","160","D","F","2","2.3","2021","2","2021","1","02","28"
"2021-02-28","45570293","45570297","Energy","319356450.39","2408561106.40","2086524336.71","9","17","17","170","D","F","2","2.4","2021","2","2021","1","02","28"
"2021-02-28","45570293","45570298","Natural Resources and Environment","3000250200.25","18245335244.57","17675213277.60","9","18","18","180","D","F","2","2.5","2021","2","2021","1","02","28"
"2021-02-28","45570293","45570299","Agriculture","1347298745.72","35476907056.85","29520538925.93","9","19","19","190","D","F","2","2.6","2021","2","2021","1","02","28"
"2021-02-28","45570293","45570300","Commerce and Housing Credit","92540360715.67","104418123057.98","10883915554.41","9","20","20","200","D","F","2","2.7","2021","2","2021","1","02","28"
"2021-02-28","45570293","45570301","Transportation","11246418124.76","55083776784.09","40003978680.63","9","21","21","210","D","F","2","2.8","2021","2","2021","1","02","28"
"2021-02-28","45570293","45570302","Community and Regional Development","2684908937.72","25116972098.04","10732435870.52","9","22","22","220","D","F","2","2.9","2021","2","2021","1","02","28"
"2021-02-28","45570293","45570303","Education, Training, Employment, and Social Services","12442060418.57","53966050326.25","50492422174.40","9","23","23","230","D","F","2","2.10","2021","2","2021","1","02","28"
"2021-02-28","45570293","45570304","Health","58271098865.60","314555065340.32","250357197509.57","9","24","24","240","D","F","2","2.11","2021","2","2021","1","02","28"
"2021-02-28","45570293","45570305","Medicare","58819577100.24","286930537918.54","304601905488.81","9","25","25","250","D","F","2","2.12","2021","2","2021","1","02","28"
"2021-02-28","45570293","45570306","Income Security","121522303372.73","556621895623.97","247341274336.64","9","26","26","260","D","F","2","2.13","2021","2","2021","1","02","28"
"2021-02-28","45570293","45570307","Social Security","94048973082.19","465971646524.55","447625522379.35","9","27","27","270","D","F","2","2.14","2021","2","2021","1","02","28"
"2021-02-28","45570293","45570308","Veterans Benefits and Services","18700889844.30","95128634376.97","97780435986.28","9","28","28","280","D","F","2","2.15","2021","2","2021","1","02","28"
"2021-02-28","45570293","45570309","Administration of Justice","5993924029.20","30129199366.61","28833030020.40","9","29","29","290","D","F","2","2.16","2021","2","2021","1","02","28"
"2021-02-28","45570293","45570310","General Government","1132470864.75","13956912026.34","4545198856.17","9","30","30","300","D","F","2","2.17","2021","2","2021","1","02","28"
"2021-02-28","45570293","45570311","Net Interest","25696251059.61","138136637141.47","161695466145.73","9","31","31","320","D","F","2","2.18","2021","2","2021","1","02","28"
"2021-02-28","45570293","45570313","Undistributed Offsetting Receipts","-12222814962.53","-61823421761.48","-52254744665.32","9","32","32","330","D","F","2","2.19","2021","2","2021","1","02","28"
"2021-02-28","45570293","45570314","Total","559235999280.85","2482987958241.34","1991215125071.01","9","33","33","340","T","SL","2","2.20","2021","2","2021","1","02","28"
"2021-01-31","null","45191830","Receipts","null","null","null","9","1","1","10","S","SL","1","1","2021","2","2021","1","01","31"
"2021-01-31","45191830","45191831","Individual Income Taxes","231568684407.65","578572142183.10","601518167343.58","9","2","2","20","D","RSG","2","1.1","2021","2","2021","1","01","31"
"2021-01-31","45191830","45191832","Corporation Income Taxes","16463234507.28","85343562573.96","75905412512.96","9","3","3","30","D","RSG","2","1.2","2021","2","2021","1","01","31"
"2021-01-31","45191830","45191833","Social Insurance and Retirement Receipts:","null","null","null","9","4","4","40","S","RSG","2","1.3","2021","2","2021","1","01","31"
"2021-01-31","45191833","45191834","Employment and General Retirement","115569935301.37","421658785207.57","400328219022.74","9","5","5","50","D","RSG","3","1.3.1","2021","2","2021","1","01","31"
"2021-01-31","45191833","45191835","Unemployment Insurance","2171898169.27","11538915176.11","8619850633.85","9","6","6","60","D","RSG","3","1.3.2","2021","2","2021","1","01","31"
"2021-01-31","45191833","45191836","Other Retirement","428923639.67","1893546899.82","1745544636.39","9","7","7","70","D","RSG","3","1.3.3","2021","2","2021","1","01","31"
"2021-01-31","45191830","45191837","Excise Taxes","3478562413.75","19161004519.65","26874790517.20","9","8","8","80","D","RSG","2","1.4","2021","2","2021","1","01","31"
"2021-01-31","45191830","45191838","Estate and Gift Taxes","1679754365.92","7879174728.97","6987666712.48","9","9","9","90","D","RSG","2","1.5","2021","2","2021","1","01","31"
"2021-01-31","45191830","45191839","Customs Duties","5870767385.11","24039104095.11","28064260695.01","9","10","10","100","D","RSG","2","1.6","2021","2","2021","1","01","31"
"2021-01-31","45191830","45191840","Miscellaneous Receipts","7419018768.10","37934333965.94","28755800797.56","9","11","11","110","D","RSG","2","1.7","2021","2","2021","1","01","31"
"2021-01-31","45191830","45191841","Total","384650778958.12","1188020569350.23","1178799712871.77","9","12","12","120","T","SL","2","1.8","2021","2","2021","1","01","31"
"2021-01-31","null","45191842","Net Outlays","null","null","null","9","13","13","130","S","SL","1","2","2021","2","2021","1","01","31"
"2021-01-31","45191842","45191843","National Defense","53570255741.99","257962391706.37","249772588328.97","9","14","14","140","D","F","2","2.1","2021","2","2021","1","01","31"
"2021-01-31","45191842","45191844","International Affairs","916438379.18","15189831883.58","16982705214.57","9","15","15","150","D","F","2","2.2","2021","2","2021","1","01","31"
"2021-01-31","45191842","45191845","General Science, Space, and Technology","2308644966.85","11820229988.24","11517585574.47","9","16","16","160","D","F","2","2.3","2021","2","2021","1","01","31"
"2021-01-31","45191842","45191846","Energy","161651495.46","2089204656.01","1744082615.52","9","17","17","170","D","F","2","2.4","2021","2","2021","1","01","31"
"2021-01-31","45191842","45191847","Natural Resources and Environment","2880617812.51","15245085044.32","14656703347.35","9","18","18","180","D","F","2","2.5","2021","2","2021","1","01","31"
"2021-01-31","45191842","45191848","Agriculture","2198404453.84","34129608311.13","25024855870.25","9","19","19","190","D","F","2","2.6","2021","2","2021","1","01","31"
"2021-01-31","45191842","45191849","Commerce and Housing Credit","2898094624.14","11877762342.31","9868774230.79","9","20","20","200","D","F","2","2.7","2021","2","2021","1","01","31"
"2021-01-31","45191842","45191850","Transportation","13454168487.53","43864675352.31","31627077599.14","9","21","21","210","D","F","2","2.8","2021","2","2021","1","01","31"
"2021-01-31","45191842","45191851","Community and Regional Development","3590426172.30","22432063160.32","9041357489.52","9","22","22","220","D","F","2","2.9","2021","2","2021","1","01","31"
"2021-01-31","45191842","45191852","Education, Training, Employment, and Social Services","11875678145.39","41523990105.50","37587821035.55","9","23","23","230","D","F","2","2.10","2021","2","2021","1","01","31"
"2021-01-31","45191842","45191853","Health","64986015300.77","256283966474.72","199132372083.56","9","24","24","240","D","F","2","2.11","2021","2","2021","1","01","31"
"2021-01-31","45191842","45191854","Medicare","57267898712.36","228110960818.30","252642120436.50","9","25","25","250","D","F","2","2.12","2021","2","2021","1","01","31"
"2021-01-31","45191842","45191855","Income Security","227821963923.86","435099592251.24","156130480862.79","9","26","26","260","D","F","2","2.13","2021","2","2021","1","01","31"
"2021-01-31","45191842","45191856","Social Security","69314504665.50","371922673442.36","356904326504.63","9","27","27","270","D","F","2","2.14","2021","2","2021","1","01","31"
"2021-01-31","45191842","45191857","Veterans Benefits and Services","9488416947.73","76427662862.67","79931189077.66","9","28","28","280","D","F","2","2.15","2021","2","2021","1","01","31"
"2021-01-31","45191842","45191858","Administration of Justice","5642602561.36","24135398590.61","23329406944.88","9","29","29","290","D","F","2","2.16","2021","2","2021","1","01","31"
"2021-01-31","45191842","45191859","General Government","1456674204.97","12797266937.41","6413684043.49","9","30","30","300","D","F","2","2.17","2021","2","2021","1","01","31"
"2021-01-31","45191842","45191860","Net Interest","25159191270.29","112440386828.79","131078449120.95","9","31","31","320","D","F","2","2.18","2021","2","2021","1","01","31"
"2021-01-31","45191842","45191862","Undistributed Offsetting Receipts","-7508379440.37","-49600606798.95","-45399360533.07","9","32","32","330","D","F","2","2.19","2021","2","2021","1","01","31"
"2021-01-31","45191842","45191863","Total","547483268425.66","1923752143957.24","1567986219847.52","9","33","33","340","T","SL","2","2.20","2021","2","2021","1","01","31"
"2020-12-31","null","44804309","Receipts","null","null","null","9","1","1","10","S","SL","1","1","2021","1","2020","4","12","31"
"2020-12-31","44804309","44804310","Individual Income Taxes","144480589277.61","347003457775.45","384858463133.20","9","2","2","20","D","RSG","2","1.1","2021","1","2020","4","12","31"
"2020-12-31","44804309","44804311","Corporation Income Taxes","62920419835.68","68880328066.68","65413765786.04","9","3","3","30","D","RSG","2","1.2","2021","1","2020","4","12","31"
"2020-12-31","44804309","44804312","Social Insurance and Retirement Receipts:","null","null","null","9","4","4","40","S","RSG","2","1.3","2021","1","2020","4","12","31"
"2020-12-31","44804312","44804313","Employment and General Retirement","111188680023.08","306088849906.20","282723887550.70","9","5","5","50","D","RSG","3","1.3.1","2021","1","2020","4","12","31"
"2020-12-31","44804312","44804314","Unemployment Insurance","3665664495.78","9367017006.84","5601156271.73","9","6","6","60","D","RSG","3","1.3.2","2021","1","2020","4","12","31"
"2020-12-31","44804312","44804315","Other Retirement","476794431.19","1464623260.15","1323397834.00","9","7","7","70","D","RSG","3","1.3.3","2021","1","2020","4","12","31"
"2020-12-31","44804309","44804316","Excise Taxes","5333498828.80","15682442105.90","20567239727.92","9","8","8","80","D","RSG","2","1.4","2021","1","2020","4","12","31"
"2020-12-31","44804309","44804317","Estate and Gift Taxes","2212324960.09","6199420363.05","4627073162.26","9","9","9","90","D","RSG","2","1.5","2021","1","2020","4","12","31"
"2020-12-31","44804309","44804318","Customs Duties","6047110081.33","18168336710.00","21146628883.26","9","10","10","100","D","RSG","2","1.6","2021","1","2020","4","12","31"
"2020-12-31","44804309","44804319","Miscellaneous Receipts","9794146463.35","30515315197.84","20250186753.96","9","11","11","110","D","RSG","2","1.7","2021","1","2020","4","12","31"
"2020-12-31","44804309","44804320","Total","346119228396.91","803369790392.11","806511799103.07","9","12","12","120","T","SL","2","1.8","2021","1","2020","4","12","31"
"2020-12-31","null","44804321","Net Outlays","null","null","null","9","13","13","130","S","SL","1","2","2021","1","2020","4","12","31"
