Record Date,Parent ID,Classification ID,Classification Description,Current Month Receipt or Outlay Amount,Current FYTD Receipt or Outlay Amount,Prior FYTD Receipt or Outlay Amount,Current Year Budget Estimate Amount,Table Number,Source Line Number,Print Order Sequence Number,Line Code Number,Data Type Code,Record Type Code,Sequence Level Number,Sequence Number Code,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
"2021-02-28","null","45568499","Budget Receipts","null","null","null","null","3","1","1","10","S","SLB","1","1","2021","2","2021","1","02","28"
"2021-02-28","45568499","45568516","Individual Income Taxes","125827061468.63","704399203651.73","671144456069.27","1931678000000.00","3","2","2","20","D","RSG","2","1.1","2021","2","2021","1","02","28"
"2021-02-28","45568499","45568518","Corporation Income Taxes","3779772797.78","89123335371.74","73864110729.90","284093000000.00","3","3","3","30","D","RSG","2","1.2","2021","2","2021","1","02","28"
"2021-02-28","45568499","45568520","Social Insurance and Retirement Receipts:","null","null","null","null","3","4","4","40","S","RSG","2","1.3","2021","2","2021","1","02","28"
"2021-02-28","45568520","45568522","Employment and General Retirement (Off-Budget)","74462000000.00","390182033575.88","376654796427.91","1011036000000.00","3","5","5","50","D","SL","3","1.3.1","2021","2","2021","1","02","28"
"2021-02-28","45568520","45568525","Employment and General Retirement (On-Budget)","20861192638.43","126799944270.12","120912409881.35","313944000000.00","3","6","6","60","D","SL","3","1.3.2","2021","2","2021","1","02","28"
"2021-02-28","45568520","45568528","Unemployment Insurance","3681178330.91","15220093507.02","10899153197.13","43033000000.00","3","7","7","70","D","RSG","3","1.3.3","2021","2","2021","1","02","28"
"2021-02-28","45568520","45568530","Other Retirement","433571052.01","2327199621.83","2145657780.45","5581000000.00","3","8","8","80","D","RSG","3","1.3.4","2021","2","2021","1","02","28"
"2021-02-28","45568499","45568532","Excise Taxes","4903749526.20","24064754045.85","33559341692.75","87206000000.00","3","9","9","90","D","RSG","2","1.4","2021","2","2021","1","02","28"
"2021-02-28","45568499","45568534","Estate and Gift Taxes","1151533701.29","9030708430.26","8571993543.19","21641000000.00","3","10","10","100","D","RSG","2","1.5","2021","2","2021","1","02","28"
"2021-02-28","45568499","45568536","Customs Duties","6323345583.92","30362449679.03","34350503268.36","53811000000.00","3","11","11","110","D","RSG","2","1.6","2021","2","2021","1","02","28"
"2021-02-28","45568499","45568538","Miscellaneous Receipts","6890651677.01","44824718976.20","34647829931.51","111270000000.00","3","12","12","120","D","RSG","2","1.7","2021","2","2021","1","02","28"
