index,Index,Label,unit,start,last,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
WPU07                         ,WPU07                         ,"PPI Commodity data for Rubber and plastic products, not seasonally adjusted",Index base: 1982 = 100,1926-M01,2022-M02,47.1,35.7,28.3,24.6,21.5,18.3,15.9,16.7,19.5,19.6,21.1,24.9,24.4,25.4,23.7,25.5,29.7,30.5,30.1,29.2,29.3,29.2,30.2,29.2,35.6,43.7,39.6,36.9,37.5,42.4,43.0,42.8,42.8,42.6,42.7,41.1,39.9,40.1,39.6,39.7,40.5,41.4,42.8,43.6,44.9,45.2,45.3,46.6,56.4,62.2,66.0,69.4,72.4,80.5,90.1,96.4,100.0,100.8,102.3,101.9,101.9,103.0,109.3,112.6,113.6,115.1,115.1,116.0,117.6,124.3,123.8,123.2,122.6,122.5,125.5,127.2,126.8,130.1,133.8,143.8,153.8,155.0,165.9,165.2,170.7,182.7,186.9,189.0,190.2,187.0,184.6,189.0,195.1,196.0,194.2,217.371
WPU071                        ,WPU071                        ,"PPI Commodity data for Rubber and plastic products-Rubber and rubber products, not seasonally adjusted",Index base: 1982 = 100,1967-M01,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.3,38.6,39.3,41.1,41.9,42.5,44.1,51.5,56.7,60.9,64.9,69.2,78.1,88.7,95.7,100.0,99.3,99.4,98.7,98.1,99.4,103.6,107.0,108.6,109.6,109.8,110.8,111.9,117.1,116.4,115.8,115.3,114.2,115.3,116.8,116.8,119.3,122.9,130.0,136.4,140.6,154.1,154.3,163.7,184.1,188.9,183.1,180.1,174.0,172.0,176.7,179.2,180.0,178.5,190.14
WPU0711                       ,WPU0711                       ,"PPI Commodity data for Rubber and plastic products-Synthetic rubber, inc. styrene-butadiene rubber (SBR) and ethylene propylene, not seasonally adjusted",Index base: 1982 = 100,1926-M01,2022-M02,65.9,50.9,30.2,27.8,16.2,8.4,4.8,8.0,17.4,16.6,22.3,26.5,20.0,24.5,27.2,30.1,30.3,30.3,30.3,30.3,30.3,30.4,30.5,27.7,46.5,63.5,46.6,35.9,36.4,46.3,43.3,41.7,39.6,44.9,46.0,40.5,39.4,38.7,38.1,37.9,37.5,35.9,35.6,37.6,36.4,35.6,35.6,40.1,50.0,52.2,57.7,61.6,67.1,79.4,94.8,101.1,100.0,100.7,99.3,97.0,91.2,97.7,108.3,107.9,111.2,105.5,103.3,105.3,108.4,125.5,121.5,118.7,116.6,113.3,118.5,122.2,118.7,125.0,131.7,150.5,161.1,168.5,205.6,185.0,214.3,268.5,260.8,230.4,223.6,196.5,192.5,209.3,214.8,205.9,191.2,223.876
WPU071102                     ,WPU071102                     ,"PPI Commodity data for Rubber and plastic products-Synthetic rubber, not seasonally adjusted",Index base: 1982 = 100,1947-M01,2022-M02,,,,,,,,,,,,,,,,,,,,,,27.8,28.1,28.1,28.5,36.7,34.9,34.6,34.9,35.0,34.9,34.8,34.8,34.8,34.8,34.8,33.7,34.1,34.1,34.1,34.1,33.8,33.4,33.9,34.0,34.0,34.1,34.3,44.1,49.3,52.6,56.1,60.4,70.3,85.3,98.0,100.0,97.0,96.8,96.8,91.5,98.0,108.9,108.5,111.9,106.1,103.8,105.7,108.9,126.3,122.2,119.3,117.2,113.9,119.1,122.9,119.3,125.7,132.4,151.3,162.0,169.3,206.6,185.9,215.5,269.9,262.2,231.6,224.8,197.6,193.5,210.4,215.9,207.0,192.2,225.04
WPU07110224                   ,WPU07110224                   ,"PPI Commodity data for Rubber and plastic products-Synthetic rubber, inc. sbr and ethylene propylene, not seasonally adjusted",Index base: 2003.06 = 100,2003-M06,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.9,119.9,128.3,134.2,163.7,147.3,170.7,213.8,207.7,183.4,178.1,156.5,153.3,166.7,171.0,164.0,152.3,178.289
WPU0712                       ,WPU0712                       ,"PPI Commodity data for Rubber and plastic products-Tires, tubes, tread, & repair materials, not seasonally adjusted",Index base: 1982 = 100,1926-M01,2022-M02,43.0,32.2,27.2,23.4,22.1,19.8,17.7,17.9,19.3,19.6,20.3,23.9,24.8,24.9,22.2,23.8,28.9,30.0,29.5,28.3,28.4,27.3,27.9,27.1,31.2,36.7,35.6,34.9,35.8,39.8,41.8,41.3,41.8,39.3,38.0,37.7,35.5,36.8,36.3,36.8,38.1,39.2,40.3,40.1,42.7,42.8,42.8,43.7,52.3,58.2,63.3,66.6,70.2,80.7,92.8,98.2,100.0,96.1,94.9,93.0,91.7,91.0,94.0,97.2,96.8,98.2,98.9,98.9,98.6,100.2,97.0,95.2,94.0,92.9,93.0,94.1,95.2,97.9,102.5,108.1,114.7,118.5,128.0,131.0,138.1,154.0,159.1,156.3,152.5,149.3,147.1,148.7,150.5,152.1,152.6,159.312
WPU071201                     ,WPU071201                     ,"PPI Commodity data for Rubber and plastic products-Tires, not seasonally adjusted",Index base: 1982 = 100,1939-M01,2022-M02,,,,,,,,,,,,,,24.5,21.6,23.1,27.9,28.8,28.7,27.6,27.8,26.9,27.8,27.0,31.3,37.2,36.2,35.5,36.4,40.4,42.4,42.0,42.5,39.8,38.3,37.9,35.7,36.9,36.4,37.0,38.4,39.5,40.6,40.6,43.2,43.3,43.2,44.0,52.6,58.4,63.5,66.7,70.4,80.9,93.1,98.3,100.0,96.1,94.9,92.8,91.4,90.5,93.6,96.8,96.2,97.4,98.4,98.3,97.8,99.0,95.4,93.6,92.2,90.9,90.9,91.8,93.0,95.7,100.3,105.6,111.8,116.0,125.4,128.2,135.5,151.3,156.1,153.2,149.3,146.1,143.7,145.3,147.1,148.7,149.2,155.654
WPU0712010                    ,WPU0712010                    ,"PPI Commodity data for Rubber and plastic products-Pneumatic tires (including passenger, truck, bus, tractor, industrial, and other tires), not seasonally adjusted",Index base: 1982 = 100,1939-M01,2022-M02,,,,,,,,,,,,,,,21.6,,,28.8,,,27.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.3,,153.2,149.4,146.1,143.7,145.3,147.1,148.8,149.2,155.617
WPU07120104                   ,WPU07120104                   ,"PPI Commodity data for Rubber and plastic products-Passenger car pneumatic tires, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.9,110.3,119.0,124.8,134.3,138.5,145.6,158.6,161.9,159.7,155.7,152.5,149.3,149.8,151.0,153.0,153.9,159.221
WPU07120105                   ,WPU07120105                   ,"PPI Commodity data for Rubber and plastic products-Truck and bus (including off-the-highway) pneumatic tires, not seasonally adjusted",Index base: 1982 = 100,1947-M01,2022-M02,,,,,,,,,,,,,,,,,,,,,,26.8,27.5,26.0,31.8,39.0,36.5,34.5,35.2,39.8,42.2,41.0,41.5,40.0,41.6,40.5,34.9,35.7,35.9,36.4,37.3,36.8,37.8,36.2,38.8,40.6,41.0,42.6,52.1,57.2,63.6,66.9,70.7,80.9,92.1,99.5,100.0,95.7,93.4,90.5,88.0,87.7,92.5,96.3,93.8,95.7,96.3,95.3,93.8,93.0,90.6,89.0,89.6,88.8,89.0,89.5,90.5,93.7,98.3,103.3,106.7,110.1,120.8,121.6,129.7,149.3,155.8,151.4,147.7,143.8,142.4,145.2,147.8,148.9,148.4,158.203
