dataset,data_table_name,field_name,display_name,description,data_type,is_required
Monthly Treasury Statement (MTS),"Summary of Receipts, Outlays, and the Deficit/Surplus of the U.S. Government",record_date,Record Date,The date that data was published.,DATE,0
Monthly Treasury Statement (MTS),"Summary of Receipts, Outlays, and the Deficit/Surplus of the U.S. Government",parent_id,Parent ID,Identifies which record the classification_id belongs to in the hierarchy.,STRING,1
Monthly Treasury Statement (MTS),"Summary of Receipts, Outlays, and the Deficit/Surplus of the U.S. Government",classification_id,Classification ID,Unique identifier for a particular data point. This ID changes each time the MTS is published. The value is never repeated or reused.,STRING,0
Monthly Treasury Statement (MTS),"Summary of Receipts, Outlays, and the Deficit/Surplus of the U.S. Government",classification_desc,Classification Description,A more detailed description for the recorded data point.,STRING,0
Monthly Treasury Statement (MTS),"Summary of Receipts, Outlays, and the Deficit/Surplus of the U.S. Government",current_month_gross_rcpt_amt,Current Month Gross Receipts Amount,Monies collected by the United States Government for the current month.,CURRENCY,1
Monthly Treasury Statement (MTS),"Summary of Receipts, Outlays, and the Deficit/Surplus of the U.S. Government",current_month_gross_outly_amt,Current Month Gross Outlay Amount,Payments to liquidate an obligation (other than the repayment to the Treasury of debt principal) for the current month.,CURRENCY,1
Monthly Treasury Statement (MTS),"Summary of Receipts, Outlays, and the Deficit/Surplus of the U.S. Government",current_month_dfct_sur_amt,Current Month Deficit Surplus Amount,A deficit represents the amount by which outlays exceeds receipts.  A surplus represents the amount by which receipts exceeds outlays.  A surplus is represented as a negative value in this dataset.,CURRENCY,1
Monthly Treasury Statement (MTS),"Summary of Receipts, Outlays, and the Deficit/Surplus of the U.S. Government",table_nbr,Table Number,The corresponding table number in the Monthly Treasury Statement.,STRING,0
Monthly Treasury Statement (MTS),"Summary of Receipts, Outlays, and the Deficit/Surplus of the U.S. Government",src_line_nbr,Source Line Number,Indicates the row of the corresponding table on the Monthly Treasury Statement where a data point can be found.  This can assist in structuring the data in a similar format to the Monthly Treasury Statement and in understanding potential hierarchies within the table.,NUMBER,0
Monthly Treasury Statement (MTS),"Summary of Receipts, Outlays, and the Deficit/Surplus of the U.S. Government",print_order_nbr,Print Order Sequence Number,A sequence for recreating the table structure as seen on the Monthly Treasury Statement.,STRING,0
Monthly Treasury Statement (MTS),"Summary of Receipts, Outlays, and the Deficit/Surplus of the U.S. Government",line_code_nbr,Line Code Number,"Similar to print_order_nbr, line_code_nbr is a sequence for recreating the table structure as seen on the Monthly Treasury Statement.",STRING,0
Monthly Treasury Statement (MTS),"Summary of Receipts, Outlays, and the Deficit/Surplus of the U.S. Government",data_type_cd,Data Type Code,"Identifier for the specificity of the underlying data point. D = Detail Record, S = Sub-header, T = Total.",STRING,0
Monthly Treasury Statement (MTS),"Summary of Receipts, Outlays, and the Deficit/Surplus of the U.S. Government",record_type_cd,Record Type Code,"Identifier for the type of data point recorded. MTH = Month, SL = Special Line.",STRING,0
Monthly Treasury Statement (MTS),"Summary of Receipts, Outlays, and the Deficit/Surplus of the U.S. Government",sequence_level_nbr,Sequence Level Number,Sequence_level_nbr is an identifier used to represent hierarchies within data.,STRING,0
Monthly Treasury Statement (MTS),"Summary of Receipts, Outlays, and the Deficit/Surplus of the U.S. Government",sequence_number_cd,Sequence Number Code,"A more detailed identifier used to represent hierarchies within data.  Similar to print_order_nbr, sequence_number_cd can be used to structure the data in a similar format to the Monthly Treasury Statement.",STRING,0
Monthly Treasury Statement (MTS),"Summary of Receipts, Outlays, and the Deficit/Surplus of the U.S. Government",record_fiscal_year,Fiscal Year,The fiscal year associated with record_date.  The federal government's fiscal year runs from October 1 to September 30.,YEAR,0
Monthly Treasury Statement (MTS),"Summary of Receipts, Outlays, and the Deficit/Surplus of the U.S. Government",record_fiscal_quarter,Fiscal Quarter Number,"The fiscal quarter associated with record_date.  For the federal government these quarters are: Q1 - October to December, Q2 - January to March, Q3 - April to June, Q4 - July to September.",QUARTER,0
Monthly Treasury Statement (MTS),"Summary of Receipts, Outlays, and the Deficit/Surplus of the U.S. Government",record_calendar_year,Calendar Year,The calendar year associated with record_date.,YEAR,0
Monthly Treasury Statement (MTS),"Summary of Receipts, Outlays, and the Deficit/Surplus of the U.S. Government",record_calendar_quarter,Calendar Quarter Number,The calendar quarter associated with record_date.,QUARTER,0
Monthly Treasury Statement (MTS),"Summary of Receipts, Outlays, and the Deficit/Surplus of the U.S. Government",record_calendar_month,Calendar Month Number,The calendar month associated with record_date.,MONTH,0
Monthly Treasury Statement (MTS),"Summary of Receipts, Outlays, and the Deficit/Surplus of the U.S. Government",record_calendar_day,Calendar Day Number,The calendar day associated with record_date.,DAY,0
Monthly Treasury Statement (MTS),Summary of Budget and Off-Budget Results and Financing of the U.S. Government,record_date,Record Date,The date that data was published.,DATE,1
Monthly Treasury Statement (MTS),Summary of Budget and Off-Budget Results and Financing of the U.S. Government,parent_id,Parent ID,Identifies which record the classification_id belongs to in the hierarchy.,STRING,0
Monthly Treasury Statement (MTS),Summary of Budget and Off-Budget Results and Financing of the U.S. Government,classification_id,Classification ID,Unique identifier for a particular data point. This ID changes each time the MTS is published. The value is never repeated or reused.,STRING,1
Monthly Treasury Statement (MTS),Summary of Budget and Off-Budget Results and Financing of the U.S. Government,classification_desc,Classification Description,A more detailed description for the recorded data point.,STRING,1
Monthly Treasury Statement (MTS),Summary of Budget and Off-Budget Results and Financing of the U.S. Government,current_month_budget_amt,Current Month Budget Amount,Amount for the current month.,CURRENCY,0
Monthly Treasury Statement (MTS),Summary of Budget and Off-Budget Results and Financing of the U.S. Government,current_fytd_budget_amt,Current Fiscal Year to Date Budget Amount,Fiscal year to date amount.  The federal government's fiscal year runs from October 1 to September 30 each year.,CURRENCY,0
Monthly Treasury Statement (MTS),Summary of Budget and Off-Budget Results and Financing of the U.S. Government,prior_fytd_budget_amt,Prior Fiscal Year to Date Budget Amount,Prior fiscal year to date amount.  The federal government's fiscal year runs from October 1 to September 30 each year.,CURRENCY,0
Monthly Treasury Statement (MTS),Summary of Budget and Off-Budget Results and Financing of the U.S. Government,current_year_budget_est_amt,Current Year Budget Estimate Amount,Estimated yearly amounts provided by the Office of Management and Budget for the current fiscal year.,CURRENCY,0
Monthly Treasury Statement (MTS),Summary of Budget and Off-Budget Results and Financing of the U.S. Government,next_year_budget_est_amt,Next Year Budget Estimate Amount,Estimated yearly amounts provided by the Office of Management and Budget for the next fiscal year.,CURRENCY,0
Monthly Treasury Statement (MTS),Summary of Budget and Off-Budget Results and Financing of the U.S. Government,table_nbr,Table Number,The corresponding table number in the Monthly Treasury Statement.,STRING,1
Monthly Treasury Statement (MTS),Summary of Budget and Off-Budget Results and Financing of the U.S. Government,src_line_nbr,Source Line Number,Indicates the row of the corresponding table on the Monthly Treasury Statement where a data point can be found.  This can assist in structuring the data in a similar format to the Monthly Treasury Statement and in understanding potential hierarchies within the table.,NUMBER,1
Monthly Treasury Statement (MTS),Summary of Budget and Off-Budget Results and Financing of the U.S. Government,print_order_nbr,Print Order Sequence Number,A sequence for recreating the table structure as seen on the Monthly Treasury Statement.,STRING,1
Monthly Treasury Statement (MTS),Summary of Budget and Off-Budget Results and Financing of the U.S. Government,line_code_nbr,Line Code Number,"Similar to print_order_nbr, line_code_nbr is a sequence for recreating the table structure as seen on the Monthly Treasury Statement.",STRING,1
Monthly Treasury Statement (MTS),Summary of Budget and Off-Budget Results and Financing of the U.S. Government,data_type_cd,Data Type Code,"Identifier for the specificity of the underlying data point. D = Detail Record, S = Sub-header, T = Total.",STRING,1
Monthly Treasury Statement (MTS),Summary of Budget and Off-Budget Results and Financing of the U.S. Government,record_type_cd,Record Type Code,Identifier for the type of data point recorded. SL = Special Line.,STRING,1
Monthly Treasury Statement (MTS),Summary of Budget and Off-Budget Results and Financing of the U.S. Government,sequence_level_nbr,Sequence Level Number,Sequence_level_nbr is an identifier used to represent hierarchies within data.,STRING,1
Monthly Treasury Statement (MTS),Summary of Budget and Off-Budget Results and Financing of the U.S. Government,sequence_number_cd,Sequence Number Code,"A more detailed identifier used to represent hierarchies within data.  Similar to print_order_nbr, sequence_number_cd can be used to structure the data in a similar format to the Monthly Treasury Statement.",STRING,1
Monthly Treasury Statement (MTS),Summary of Budget and Off-Budget Results and Financing of the U.S. Government,record_fiscal_year,Fiscal Year,The fiscal year associated with record_date.  The federal government's fiscal year runs from October 1 to September 30.,YEAR,1
Monthly Treasury Statement (MTS),Summary of Budget and Off-Budget Results and Financing of the U.S. Government,record_fiscal_quarter,Fiscal Quarter Number,"The fiscal quarter associated with record_date.  For the federal government these quarters are: Q1 - October to December, Q2 - January to March, Q3 - April to June, Q4 - July to September.",QUARTER,1
Monthly Treasury Statement (MTS),Summary of Budget and Off-Budget Results and Financing of the U.S. Government,record_calendar_year,Calendar Year,The calendar year associated with record_date.,YEAR,1
Monthly Treasury Statement (MTS),Summary of Budget and Off-Budget Results and Financing of the U.S. Government,record_calendar_quarter,Calendar Quarter Number,The calendar quarter associated with record_date.,QUARTER,1
Monthly Treasury Statement (MTS),Summary of Budget and Off-Budget Results and Financing of the U.S. Government,record_calendar_month,Calendar Month Number,The calendar month associated with record_date.,MONTH,1
Monthly Treasury Statement (MTS),Summary of Budget and Off-Budget Results and Financing of the U.S. Government,record_calendar_day,Calendar Day Number,The calendar day associated with record_date.,DAY,1
Monthly Treasury Statement (MTS),Summary of Receipts and Outlays of the U.S. Government,record_date,Record Date,The date that data was published.,DATE,1
Monthly Treasury Statement (MTS),Summary of Receipts and Outlays of the U.S. Government,parent_id,Parent ID,Identifies which record the classification_id belongs to in the hierarchy.,STRING,0
Monthly Treasury Statement (MTS),Summary of Receipts and Outlays of the U.S. Government,classification_id,Classification ID,Unique identifier for a particular data point. This ID changes each time the MTS is published. The value is never repeated or reused.,STRING,1
Monthly Treasury Statement (MTS),Summary of Receipts and Outlays of the U.S. Government,classification_desc,Classification Description,A more detailed description for the recorded data point.,STRING,1
Monthly Treasury Statement (MTS),Summary of Receipts and Outlays of the U.S. Government,current_month_rcpt_outly_amt,Current Month Receipt or Outlay Amount,Amount for the current month.,CURRENCY,0
Monthly Treasury Statement (MTS),Summary of Receipts and Outlays of the U.S. Government,current_fytd_rcpt_outly_amt,Current FYTD Receipt or Outlay Amount,Fiscal year to date amount.  The federal government's fiscal year runs from October 1 to September 30 each year.,CURRENCY,0
Monthly Treasury Statement (MTS),Summary of Receipts and Outlays of the U.S. Government,prior_fytd_rcpt_outly_amt,Prior FYTD Receipt or Outlay Amount,Prior fiscal year to date amount.  The federal government's fiscal year runs from October 1 to September 30 each year.,CURRENCY,0
Monthly Treasury Statement (MTS),Summary of Receipts and Outlays of the U.S. Government,current_year_budget_est_amt,Current Year Budget Estimate Amount,Estimated yearly amounts provided by the Office of Management and Budget for the current fiscal year.,CURRENCY,0
Monthly Treasury Statement (MTS),Summary of Receipts and Outlays of the U.S. Government,table_nbr,Table Number,The corresponding table number in the Monthly Treasury Statement.,STRING,1
Monthly Treasury Statement (MTS),Summary of Receipts and Outlays of the U.S. Government,src_line_nbr,Source Line Number,Indicates the row of the corresponding table on the Monthly Treasury Statement where a data point can be found.  This can assist in structuring the data in a similar format to the Monthly Treasury Statement and in understanding potential hierarchies within the table.,NUMBER,1
Monthly Treasury Statement (MTS),Summary of Receipts and Outlays of the U.S. Government,print_order_nbr,Print Order Sequence Number,A sequence for recreating the table structure as seen on the Monthly Treasury Statement.,STRING,1
Monthly Treasury Statement (MTS),Summary of Receipts and Outlays of the U.S. Government,line_code_nbr,Line Code Number,"Similar to print_order_nbr, line_code_nbr is a sequence for recreating the table structure as seen on the Monthly Treasury Statement.",STRING,1
Monthly Treasury Statement (MTS),Summary of Receipts and Outlays of the U.S. Government,data_type_cd,Data Type Code,"Identifier for the specificity of the underlying data point. D = Detail Record, S = Sub-header, T = Total.",STRING,1
Monthly Treasury Statement (MTS),Summary of Receipts and Outlays of the U.S. Government,record_type_cd,Record Type Code,"Identifier for the type of data point recorded. A = Agency, C = Chapter, P = Program, RSG = Receipt Source Group, SL = Special Line, SLB = Special Line Bolded, UORG = Undistributed Offsetting Receipts Group.",STRING,1
Monthly Treasury Statement (MTS),Summary of Receipts and Outlays of the U.S. Government,sequence_level_nbr,Sequence Level Number,Sequence_level_nbr is an identifier used to represent hierarchies within data.,STRING,1
Monthly Treasury Statement (MTS),Summary of Receipts and Outlays of the U.S. Government,sequence_number_cd,Sequence Number Code,"A more detailed identifier used to represent hierarchies within data.  Similar to print_order_nbr, sequence_number_cd can be used to structure the data in a similar format to the Monthly Treasury Statement.",STRING,1
Monthly Treasury Statement (MTS),Summary of Receipts and Outlays of the U.S. Government,record_fiscal_year,Fiscal Year,The fiscal year associated with record_date.  The federal government's fiscal year runs from October 1 to September 30.,YEAR,1
Monthly Treasury Statement (MTS),Summary of Receipts and Outlays of the U.S. Government,record_fiscal_quarter,Fiscal Quarter Number,"The fiscal quarter associated with record_date.  For the federal government these quarters are: Q1 - October to December, Q2 - January to March, Q3 - April to June, Q4 - July to September.",QUARTER,1
Monthly Treasury Statement (MTS),Summary of Receipts and Outlays of the U.S. Government,record_calendar_year,Calendar Year,The calendar year associated with record_date.,YEAR,1
Monthly Treasury Statement (MTS),Summary of Receipts and Outlays of the U.S. Government,record_calendar_quarter,Calendar Quarter Number,The calendar quarter associated with record_date.,QUARTER,1
Monthly Treasury Statement (MTS),Summary of Receipts and Outlays of the U.S. Government,record_calendar_month,Calendar Month Number,The calendar month associated with record_date.,MONTH,1
Monthly Treasury Statement (MTS),Summary of Receipts and Outlays of the U.S. Government,record_calendar_day,Calendar Day Number,The calendar day associated with record_date.,DAY,1
Monthly Treasury Statement (MTS),Receipts of the U.S. Government,record_date,Record Date,The date that data was published.,DATE,1
Monthly Treasury Statement (MTS),Receipts of the U.S. Government,parent_id,Parent ID,Identifies which record the classification_id belongs to in the hierarchy.,STRING,0
Monthly Treasury Statement (MTS),Receipts of the U.S. Government,classification_id,Classification ID,Unique identifier for a particular data point. This ID changes each time the MTS is published. The value is never repeated or reused.,STRING,1
Monthly Treasury Statement (MTS),Receipts of the U.S. Government,classification_desc,Classification Description,A more detailed description for the recorded data point.,STRING,1
Monthly Treasury Statement (MTS),Receipts of the U.S. Government,current_month_gross_rcpt_amt,Current Month Gross Receipts Amount,"The total amount received by the United States Government without regard to refunds or other offsets, for the month.",CURRENCY,0
Monthly Treasury Statement (MTS),Receipts of the U.S. Government,current_month_refund_amt,Current Month Refund Amount,The return of excess payments to or by the Government for the month.,CURRENCY,0
Monthly Treasury Statement (MTS),Receipts of the U.S. Government,current_month_net_rcpt_amt,Current Month Net Receipts Amount,"The total amount received by the United States Government after refunds or other offsets, for the month.",CURRENCY,0
Monthly Treasury Statement (MTS),Receipts of the U.S. Government,current_fytd_gross_rcpt_amt,Current Fiscal Year to Date Gross Receipts Amount,The fiscal year to date total amount received by the United States Government without regard to refunds or other offsets.,CURRENCY,0
Monthly Treasury Statement (MTS),Receipts of the U.S. Government,current_fytd_refund_amt,Current Fiscal Year to Date Refund Amount,The fiscal year to date return of excess payments to or by the Government.,CURRENCY,0
Monthly Treasury Statement (MTS),Receipts of the U.S. Government,current_fytd_net_rcpt_amt,Current Fiscal Year to Date Net Receipts Amount,The fiscal year to date total amount received by the United States Government after refunds or other offsets.,CURRENCY,0
Monthly Treasury Statement (MTS),Receipts of the U.S. Government,prior_fytd_gross_rcpt_amt,Prior Fiscal Year to Date Gross Receipts Amount,The prior fiscal year to date total amount received by the United States Government without regard to refunds or other offsets.,CURRENCY,0
Monthly Treasury Statement (MTS),Receipts of the U.S. Government,prior_fytd_refund_amt,Prior Fiscal Year to Date Refund Amount,The prior fiscal year to date return of excess payments to or by the Government.,CURRENCY,0
Monthly Treasury Statement (MTS),Receipts of the U.S. Government,prior_fytd_net_rcpt_amt,Prior Fiscal Year to Date Net Receipts Amount,The prior fiscal year to date total amount received by the United States Government after refunds or other offsets.,CURRENCY,0
Monthly Treasury Statement (MTS),Receipts of the U.S. Government,table_nbr,Table Number,The corresponding table number in the Monthly Treasury Statement.,STRING,1
Monthly Treasury Statement (MTS),Receipts of the U.S. Government,src_line_nbr,Source Line Number,Indicates the row of the corresponding table on the Monthly Treasury Statement where a data point can be found.  This can assist in structuring the data in a similar format to the Monthly Treasury Statement and in understanding potential hierarchies within the table.,NUMBER,1
Monthly Treasury Statement (MTS),Receipts of the U.S. Government,print_order_nbr,Print Order Sequence Number,A sequence for recreating the table structure as seen on the Monthly Treasury Statement.,STRING,1
Monthly Treasury Statement (MTS),Receipts of the U.S. Government,line_code_nbr,Line Code Number,"Similar to print_order_nbr, line_code_nbr is a sequence for recreating the table structure as seen on the Monthly Treasury Statement.",STRING,1
Monthly Treasury Statement (MTS),Receipts of the U.S. Government,data_type_cd,Data Type Code,"Identifier for the specificity of the underlying data point. D = Detail Record, S = Sub-header, T = Total.",STRING,1
Monthly Treasury Statement (MTS),Receipts of the U.S. Government,record_type_cd,Record Type Code,"Identifier for the type of data point recorded. RSG = Receipt Source Group, SL = Special Line, SRS = Sub Receipt Source.",STRING,1
Monthly Treasury Statement (MTS),Receipts of the U.S. Government,sequence_level_nbr,Sequence Level Number,Sequence_level_nbr is an identifier used to represent hierarchies within data.,STRING,1
Monthly Treasury Statement (MTS),Receipts of the U.S. Government,sequence_number_cd,Sequence Number Code,"A more detailed identifier used to represent hierarchies within data.  Similar to print_order_nbr, sequence_number_cd can be used to structure the data in a similar format to the Monthly Treasury Statement.",STRING,1
Monthly Treasury Statement (MTS),Receipts of the U.S. Government,record_fiscal_year,Fiscal Year,The fiscal year associated with record_date.  The federal government's fiscal year runs from October 1 to September 30.,YEAR,1
Monthly Treasury Statement (MTS),Receipts of the U.S. Government,record_fiscal_quarter,Fiscal Quarter Number,"The fiscal quarter associated with record_date.  For the federal government these quarters are: Q1 - October to December, Q2 - January to March, Q3 - April to June, Q4 - July to September.",QUARTER,1
Monthly Treasury Statement (MTS),Receipts of the U.S. Government,record_calendar_year,Calendar Year,The calendar year associated with record_date.,YEAR,1
Monthly Treasury Statement (MTS),Receipts of the U.S. Government,record_calendar_quarter,Calendar Quarter Number,The calendar quarter associated with record_date.,QUARTER,1
Monthly Treasury Statement (MTS),Receipts of the U.S. Government,record_calendar_month,Calendar Month Number,The calendar month associated with record_date.,MONTH,1
Monthly Treasury Statement (MTS),Receipts of the U.S. Government,record_calendar_day,Calendar Day Number,The calendar day associated with record_date.,DAY,1
Monthly Treasury Statement (MTS),Outlays of the U.S. Government,record_date,Record Date,The date that data was published.,DATE,1
Monthly Treasury Statement (MTS),Outlays of the U.S. Government,parent_id,Parent ID,Identifies which record the classification_id belongs to in the hierarchy.,STRING,0
Monthly Treasury Statement (MTS),Outlays of the U.S. Government,classification_id,Classification ID,Unique identifier for a particular data point. This ID changes each time the MTS is published. The value is never repeated or reused.,STRING,1
Monthly Treasury Statement (MTS),Outlays of the U.S. Government,classification_desc,Classification Description,A more detailed description for the recorded data point.,STRING,1
Monthly Treasury Statement (MTS),Outlays of the U.S. Government,current_month_gross_outly_amt,Current Month Gross Outlay Amount,"The total amount of expenditures by the United States Government without regard to offsetting amounts, for the month.",CURRENCY,0
Monthly Treasury Statement (MTS),Outlays of the U.S. Government,current_month_app_rcpt_amt,Current Month App Receipts Amount,"Transactions that offset outlays for a given federal agency or program, for the month. App stands for applicable.",CURRENCY,0
