"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","CCI","AMPLITUD","LTRENDIDX","M","1960-01",101.7379,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1960-02",101.4444,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1960-03",101.1909,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1960-04",101.051,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1960-05",101.0863,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1960-06",101.1863,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1960-07",101.2074,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1960-08",101.0478,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1960-09",100.8002,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1960-10",100.5947,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1960-11",100.5281,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1960-12",100.5521,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1961-01",100.6074,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1961-02",100.6663,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1961-03",100.7448,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1961-04",100.8835,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1961-05",101.1098,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1961-06",101.3396,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1961-07",101.45,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1961-08",101.3493,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1961-09",101.1666,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1961-10",101.075,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1961-11",101.1968,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1961-12",101.4185,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1962-01",101.5767,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1962-02",101.5457,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1962-03",101.3871,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1962-04",101.1805,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1962-05",100.9801,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1962-06",100.8203,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1962-07",100.7461,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1962-08",100.8033,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1962-09",100.9427,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1962-10",101.1143,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1962-11",101.281,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1962-12",101.3982,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1963-01",101.3993,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1963-02",101.2309,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1963-03",101.0033,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1963-04",100.8595,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1963-05",100.9033,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1963-06",101.0431,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1963-07",101.1589,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1963-08",101.172,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1963-09",101.1401,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1963-10",101.1541,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1963-11",101.2807,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1963-12",101.4594,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1964-01",101.6034,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1964-02",101.6496,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1964-03",101.6417,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1964-04",101.6404,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1964-05",101.6857,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1964-06",101.7539,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1964-07",101.806,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1964-08",101.8139,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1964-09",101.8014,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1964-10",101.8057,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1964-11",101.8584,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1964-12",101.9497,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1965-01",102.0699,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1965-02",102.2117,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1965-03",102.3441,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1965-04",102.4223,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1965-05",102.4081,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1965-06",102.3429,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1965-07",102.273,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1965-08",102.2253,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1965-09",102.1875,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1965-10",102.1338,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1965-11",102.04,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1965-12",101.9152,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1966-01",101.7654,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1966-02",101.5892,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1966-03",101.3977,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1966-04",101.1982,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1966-05",100.9936,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1966-06",100.7896,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1966-07",100.5982,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1966-08",100.4403,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1966-09",100.3357,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1966-10",100.3317,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1966-11",100.4775,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1966-12",100.6993,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1967-01",100.913,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1967-02",101.0624,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1967-03",101.1647,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1967-04",101.2413,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1967-05",101.2964,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1967-06",101.3209,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1967-07",101.2859,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1967-08",101.1684,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1967-09",101.0343,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1967-10",100.9735,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1967-11",101.0501,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1967-12",101.1801,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1968-01",101.2471,
