index,Index,Label,unit,start,last,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
CUURA421AA0      ,CUURA421AA0      ,"All items - old base in Los Angeles-Riverside-Orange County, CA, all urban consumers, not seasonally adjusted",Index base: 1967=100,1914-M12,2017-M13,,29.4,30.9,35.7,42.6,50.1,58.7,55.1,53.6,54.1,54.3,54.5,53.0,52.0,51.2,51.1,49.4,44.5,40.1,37.9,38.2,39.4,39.8,42.1,41.5,41.2,41.2,43.4,48.7,51.1,52.0,53.6,57.7,65.1,69.8,69.6,70.1,76.0,78.2,78.9,78.8,78.8,80.0,82.7,85.5,86.9,88.5,89.6,90.6,92.0,93.7,95.7,97.5,100.0,103.9,108.8,114.3,118.5,122.3,129.2,142.5,157.6,168.0,179.6,192.8,213.7,247.3,271.4,287.6,292.7,306.1,320.2,330.7,344.7,360.6,378.9,401.4,417.9,432.9,443.9,449.9,456.9,465.3,472.6,479.5,490.7,506.8,523.8,538.4,552.3,570.8,596.3,621.7,642.111,664.7719999999998,659.487,667.3919999999998,685.22,699.1619999999997,706.7239999999997,716.257,722.752,736.383,756.959
CUURA421SA0      ,CUURA421SA0      ,"All items in Los Angeles-Riverside-Orange County, CA, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1914-M12,2017-M13,,10.0,10.5,12.1,14.4,17.0,19.9,18.6,18.1,18.3,18.4,18.4,17.9,17.6,17.3,17.3,16.7,15.1,13.6,12.8,12.9,13.3,13.5,14.2,14.0,13.9,13.9,14.7,16.5,17.3,17.6,18.1,19.5,22.0,23.6,23.6,23.7,25.7,26.5,26.7,26.7,26.7,27.1,28.0,28.9,29.4,30.0,30.3,30.7,31.1,31.7,32.4,33.0,33.8,35.2,36.8,38.7,40.1,41.4,43.7,48.2,53.3,56.9,60.8,65.3,72.3,83.7,91.9,97.3,99.1,103.6,108.4,111.9,116.7,122.1,128.3,135.9,141.4,146.5,150.3,152.3,154.6,157.5,160.0,162.3,166.1,171.6,177.3,182.2,187.0,193.2,201.8,210.4,217.338,225.00799999999998,223.21900000000002,225.894,231.928,236.648,239.207,242.43400000000003,244.632,249.24599999999998,256.21
CUURA421SA0E     ,CUURA421SA0E     ,"Energy in Los Angeles-Riverside-Orange County, CA, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2017-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.6,65.8,88.3,97.6,99.4,99.9,100.7,101.8,89.1,89.3,91.7,98.3,107.9,109.0,116.3,118.8,118.2,118.8,118.2,120.7,108.3,115.4,132.0,143.2,145.5,160.4,174.5,198.8,228.5,238.21900000000002,265.483,214.657,241.267,278.972,289.397,290.82,285.072,255.745,234.051,245.793
CUURA421SA0L1E   ,CUURA421SA0L1E   ,"All items less food and energy in Los Angeles-Riverside-Orange County, CA, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1982-M01,2017-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.2,98.7,104.1,109.9,115.8,121.5,127.6,133.7,141.3,147.6,152.7,156.5,158.5,160.5,163.4,165.3,168.8,172.6,177.4,182.2,187.6,191.3,197.1,205.1,212.7,219.35299999999998,225.017,226.96400000000003,227.69400000000002,230.27200000000002,234.511,237.283,240.90900000000002,245.37599999999998,252.731,259.862
CUURA421SA0L2    ,CUURA421SA0L2    ,"All items less shelter in Los Angeles-Riverside-Orange County, CA, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1975-M12,2017-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.3,63.1,67.2,74.3,83.5,90.9,96.6,99.8,103.6,107.5,109.4,113.3,118.1,124.1,131.1,136.7,142.4,147.1,149.8,152.9,155.9,158.2,159.3,162.0,167.0,171.5,173.8,176.9,181.0,187.4,193.7,196.625,203.864,200.49900000000002,205.456,213.285,217.705,219.054,220.745,219.352,219.94400000000002,223.59099999999998
CUURA421SA0L5    ,CUURA421SA0L5    ,"All items  less medical care in Los Angeles-Riverside-Orange County, CA, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1967-M01,2017-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.4,35.7,37.4,39.2,40.6,41.9,44.3,48.9,54.0,57.3,61.2,65.6,72.7,84.3,92.4,97.5,99.0,103.5,108.1,111.4,115.9,121.0,127.0,134.3,139.4,144.0,147.2,148.9,151.0,153.6,156.1,158.3,161.9,167.3,172.8,177.4,181.9,187.9,196.3,204.7,211.34799999999998,218.77599999999998,216.648,219.042,224.757,229.113,231.55900000000003,234.584,236.53400000000002,240.13099999999997,246.886
CUURA421SA0LE    ,CUURA421SA0LE    ,"All items less energy in Los Angeles-Riverside-Orange County, CA, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2017-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.6,72.9,83.3,91.3,97.1,98.9,103.9,109.1,114.3,119.8,125.4,131.7,139.2,145.1,150.1,153.9,156.2,158.7,161.9,164.4,167.9,171.5,176.0,181.4,186.5,190.4,196.2,203.7,210.8,217.548,223.8,225.764,226.62,230.255,234.58900000000003,237.257,241.21099999999998,245.71599999999998,252.285,258.942
CUURA421SAA      ,CUURA421SAA      ,"Apparel in Los Angeles-Riverside-Orange County, CA, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1952-M12,2017-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.7,48.9,48.9,49.8,50.9,51.0,51.6,52.8,52.9,53.0,53.7,54.5,55.0,55.9,58.1,61.2,63.6,66.5,68.5,69.7,71.5,76.7,79.2,80.9,84.1,85.8,89.0,98.3,101.5,98.9,99.7,101.3,105.1,106.9,112.5,114.3,118.8,126.4,130.9,133.2,131.6,129.6,126.7,126.0,121.0,123.1,118.2,117.0,112.1,109.0,106.4,105.0,105.4,105.9,104.359,106.33200000000001,107.93799999999999,109.009,111.575,113.55799999999999,111.43700000000001,112.86,109.845,111.096,106.91799999999999
CUURA421SAC      ,CUURA421SAC      ,"Commodities in Los Angeles-Riverside-Orange County, CA, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1967-M01,2017-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.8,40.1,41.6,43.0,44.3,45.7,48.7,54.1,59.6,62.4,66.0,70.4,78.3,88.1,94.3,97.4,99.9,102.7,104.9,104.4,107.6,110.8,116.6,122.9,127.2,132.3,134.3,135.3,137.3,140.2,141.5,142.3,144.7,148.6,151.1,151.1,152.8,155.2,160.0,164.0,166.12900000000005,172.11900000000003,166.8,170.632,178.796,182.076,180.362,179.84900000000005,176.808,173.822,176.33
CUURA421SACL1    ,CUURA421SACL1    ,"Commodities less food in Los Angeles-Riverside-Orange County, CA, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1967-M01,2017-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.2,42.7,44.0,45.3,46.9,48.0,49.6,54.2,60.0,63.8,67.0,70.2,78.1,89.3,95.1,97.7,99.8,102.5,104.7,102.0,104.4,107.4,112.5,118.6,122.6,128.3,129.2,128.7,129.3,131.3,130.4,129.5,131.9,136.0,135.7,133.6,133.9,134.7,139.4,143.2,143.222,147.594,140.13299999999998,144.553,152.187,154.683,151.474,148.468,142.52,137.655,139.537
