index,Index,Label,unit,start,last,1984-S1,1984-S2,1985-S1,1985-S2,1986-S1,1986-S2,1987-S1,1987-S2,1988-S1,1988-S2,1989-S1,1989-S2,1990-S1,1990-S2,1991-S1,1991-S2,1992-S1,1992-S2,1993-S1,1993-S2,1994-S1,1994-S2,1995-S1,1995-S2,1996-S1,1996-S2,1997-S1,1997-S2,1998-S1,1998-S2,1999-S1,1999-S2,2000-S1,2000-S2,2001-S1,2001-S2,2002-S1,2002-S2,2003-S1,2003-S2,2004-S1,2004-S2,2005-S1,2005-S2,2006-S1,2006-S2,2007-S1,2007-S2,2008-S1,2008-S2,2009-S1,2009-S2,2010-S1,2010-S2,2011-S1,2011-S2,2012-S1,2012-S2,2013-S1,2013-S2,2014-S1,2014-S2,2015-S1,2015-S2,2016-S1,2016-S2,2017-S1,2017-S2
CUUSD000AA0      ,CUUSD000AA0      ,"All items - old base in Size Class D (under 50,000), all urban consumers, not seasonally adjusted",Index base: 1977.12=100,1984-S01,2017-S03,165.9,168.5,170.5,173.4,173.5,174.4,177.3,180.7,183.6,187.7,192.0,195.4,201.5,208.1,211.4,214.4,216.6,219.9,223.2,226.6,229.4,233.4,237.8,241.2,245.8,249.8,252.1,253.7,255.4,257.5,260.3,263.7,268.1,271.5,275.6,275.8,277.0,280.6,283.9,285.1,289.2,293.7,299.0,306.2,310.5,314.8,318.814,324.675,333.643,336.905,331.356,336.676,339.724,341.502,350.214,354.709,360.318,363.064,366.046,368.012,373.012,375.264,373.365,376.219,377.643,381.148,384.535,387.569
CUUSD000SA0      ,CUUSD000SA0      ,"All items in Size Class D (under 50,000), all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2017-S03,102.9,104.5,105.7,107.5,107.6,108.1,109.9,112.0,113.8,116.4,119.1,121.2,125.0,129.1,131.1,132.9,134.3,136.4,138.4,140.5,142.2,144.7,147.5,149.6,152.4,154.9,156.3,157.3,158.4,159.7,161.4,163.5,166.2,168.3,170.9,171.1,171.8,174.0,176.1,176.8,179.3,182.1,185.4,189.9,192.5,195.2,197.684,201.318,206.878,208.9,205.46,208.759,210.649,211.751,217.154,219.94,223.418,225.121,226.97,228.189,231.289,232.686,231.508,233.278,234.161,236.334,238.435,240.316
CUUSD000SA0E     ,CUUSD000SA0E     ,"Energy in Size Class D (under 50,000), all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2017-S03,100.9,100.2,99.3,101.4,90.2,82.5,85.2,88.8,86.2,88.1,90.3,92.2,93.7,102.8,98.4,97.5,96.1,99.4,97.7,98.7,97.2,100.9,99.3,100.8,103.5,106.9,106.3,105.4,99.8,98.7,98.0,107.9,115.4,122.1,127.1,118.3,114.7,121.0,128.9,132.0,141.3,149.7,157.9,184.0,189.9,190.9,194.755,205.549,231.08,224.042,176.333,194.718,201.416,204.879,235.843,238.48,241.322,238.739,238.219,237.126,242.39,232.011,198.972,196.933,182.019,191.98,196.676,204.035
CUUSD000SA0L1    ,CUUSD000SA0L1    ,"All items less food in Size Class D (under 50,000), all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2017-S03,102.7,104.5,105.9,107.9,107.8,107.9,109.6,111.8,113.5,116.0,118.4,120.4,124.0,128.5,130.5,132.8,134.3,136.7,138.8,141.0,142.7,145.3,148.3,150.6,153.4,155.5,157.0,157.9,158.8,160.0,161.8,163.9,166.6,168.7,171.4,171.3,171.8,174.4,176.3,176.7,178.9,181.5,185.0,190.0,192.7,195.4,197.496,200.907,206.408,207.473,203.39,207.347,209.349,210.615,215.933,218.279,221.813,223.593,225.298,226.484,229.513,230.269,228.566,230.313,231.43,233.996,236.195,238.205
CUUSD000SA0L1E   ,CUUSD000SA0L1E   ,"All items less food and energy in Size Class D (under 50,000), all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2017-S03,103.1,105.3,107.1,109.1,111.0,112.6,114.3,116.2,118.6,121.2,123.8,125.7,129.8,133.6,136.6,139.3,141.4,143.6,146.3,148.7,151.0,153.4,157.2,159.6,162.4,164.3,166.1,167.4,169.4,171.0,173.3,173.9,175.7,177.1,179.4,180.7,182.1,184.1,185.1,185.1,186.2,188.0,190.7,192.3,194.7,197.7,199.532,201.887,204.433,206.724,209.156,210.981,212.284,213.226,214.69,217.012,220.633,223.109,225.175,226.727,229.511,231.935,234.889,237.216,240.72,242.256,244.12,245.387
CUUSD000SA0L2    ,CUUSD000SA0L2    ,"All items less shelter in Size Class D (under 50,000), all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2017-S03,103.2,104.7,105.9,107.3,106.8,107.2,109.0,111.3,112.9,115.7,118.5,120.5,124.5,128.5,130.6,132.3,133.7,135.7,137.4,139.4,140.8,143.1,145.3,147.0,149.7,152.0,153.4,154.1,154.8,156.2,157.6,160.2,163.2,165.4,168.2,167.8,168.2,170.4,172.5,173.7,176.6,179.8,183.6,188.8,191.5,193.3,195.835,199.784,206.138,207.869,202.243,207.7,210.544,211.751,218.691,222.593,225.808,226.912,228.864,230.155,232.972,233.15,229.679,230.518,229.991,231.183,232.706,234.052
CUUSD000SA0L5    ,CUUSD000SA0L5    ,"All items  less medical care in Size Class D (under 50,000), all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2017-S03,102.6,104.2,105.4,107.0,106.7,107.0,108.6,110.6,112.3,114.8,117.3,119.1,122.7,126.5,128.3,129.7,130.8,132.7,134.5,136.4,137.9,140.1,142.7,144.7,147.5,149.9,151.2,152.1,153.0,154.1,155.6,157.7,160.3,162.4,164.6,164.5,164.8,166.9,168.7,169.2,171.4,174.1,177.0,181.4,183.8,186.3,188.523,191.953,197.341,199.323,195.489,198.623,200.265,201.285,206.509,209.176,212.351,213.902,215.472,216.57,219.388,220.656,218.99,220.598,220.801,222.995,225.005,226.712
CUUSD000SA0LE    ,CUUSD000SA0LE    ,"All items less energy in Size Class D (under 50,000), all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2017-S03,103.1,105.1,106.7,108.4,110.1,111.9,113.6,115.5,117.9,120.6,123.3,125.4,129.6,133.0,135.9,138.1,139.8,141.7,144.3,146.5,148.7,151.0,154.4,156.6,159.4,161.8,163.5,164.7,166.7,168.4,170.4,171.4,173.4,174.8,177.1,178.5,179.9,181.7,183.0,183.4,185.0,187.1,189.8,191.4,193.7,196.6,198.943,201.711,204.786,207.96,210.08,211.494,212.765,213.566,215.68,218.498,222.049,224.324,226.493,228.021,230.931,233.802,236.593,238.846,241.695,242.948,244.749,245.985
CUUSD000SAA      ,CUUSD000SAA      ,"Apparel in Size Class D (under 50,000), all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2017-S03,101.1,103.2,103.8,106.0,105.0,106.4,103.7,107.1,111.1,113.5,116.0,115.2,120.6,123.4,126.0,127.9,130.5,131.7,133.3,134.1,133.6,134.9,134.1,135.8,133.7,132.8,133.1,134.0,134.0,134.7,134.9,134.5,133.8,131.9,133.2,129.1,127.2,126.0,123.7,121.3,118.8,117.1,120.0,120.7,118.7,118.3,118.645,117.261,114.548,113.18,114.443,116.401,116.957,115.571,112.596,120.898,123.522,122.691,123.476,126.597,127.048,128.091,126.349,126.585,125.254,126.869,127.718,121.049
CUUSD000SAC      ,CUUSD000SAC      ,"Commodities in Size Class D (under 50,000), all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2017-S03,102.7,103.8,104.6,105.6,103.8,103.3,105.0,107.4,109.1,111.6,114.6,116.3,119.7,123.3,124.6,125.2,125.9,127.4,128.5,129.4,129.9,132.2,133.6,134.6,136.7,138.9,139.8,139.7,139.2,140.0,141.4,144.1,147.2,148.1,149.5,147.6,146.7,147.8,149.4,149.1,152.3,155.0,158.5,162.9,164.3,164.5,166.372,169.777,176.2,175.526,167.702,173.333,176.666,176.779,185.543,189.036,191.682,190.728,191.587,191.776,193.85,192.979,186.992,187.09,184.195,185.005,186.474,186.407
CUUSD000SACE     ,CUUSD000SACE     ,"Energy commodities in Size Class D (under 50,000), all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2017-S03,98.6,96.7,95.3,98.4,81.3,69.8,74.9,81.2,76.7,78.6,84.9,87.7,89.8,107.3,97.3,95.0,91.7,95.7,93.1,93.2,89.8,96.0,95.8,95.7,101.1,105.6,104.9,102.0,90.4,86.8,88.9,105.6,122.5,126.8,129.2,112.4,105.2,115.3,128.2,129.2,147.5,159.1,172.8,209.4,215.9,215.7,222.526,239.299,282.038,258.941,176.149,211.285,227.659,230.817,288.14,288.998,298.807,290.752,290.189,283.005,291.708,267.243,204.544,198.89,174.957,190.865,201.56,212.749
CUUSD000SACL1    ,CUUSD000SACL1    ,"Commodities less food in Size Class D (under 50,000), all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2017-S03,102.4,103.6,104.2,105.5,102.1,100.0,101.4,104.2,105.7,107.8,110.7,111.7,114.6,118.9,119.7,120.8,121.7,123.7,124.4,125.1,125.1,127.4,128.9,129.7,131.4,132.6,133.2,132.4,131.0,131.3,132.8,135.5,138.8,139.3,140.3,136.9,135.0,136.2,137.3,135.9,138.7,141.0,144.9,150.4,151.3,150.7,151.423,154.184,160.642,157.065,146.59,154.259,158.251,158.401,167.829,170.49,172.999,171.282,171.437,171.176,172.672,169.516,160.626,160.042,156.286,157.44,158.865,158.391
