index,Index,Label,unit,start,last,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
CUUR0000SAF      ,CUUR0000SAF      ,"Food and beverages in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1967-M01,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,36.2,38.1,40.1,41.4,43.1,48.8,55.5,60.2,62.1,65.8,72.2,79.9,86.7,93.5,97.3,99.5,103.2,105.6,109.1,113.5,118.2,124.9,132.1,136.8,138.7,141.6,144.9,148.9,153.7,157.7,161.1,164.6,168.4,173.6,176.8,180.5,186.6,191.2,195.7,203.3,214.225,218.249,219.984,227.866,233.67,236.966,242.449,246.804,247.653,249.837,253.346,258.013,266.625,276.814
CUUR0000SAF1     ,CUUR0000SAF1     ,"Food in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1913-M01,2022-M02,10.0,10.2,10.0,11.3,14.5,16.7,18.6,21.0,15.9,14.9,15.4,15.2,16.5,17.0,16.4,16.3,16.5,15.6,12.9,10.7,10.4,11.6,12.4,12.6,13.1,12.1,11.8,12.0,13.1,15.4,17.1,16.9,17.3,19.8,24.1,26.1,25.0,25.4,28.2,28.7,28.3,28.2,27.8,28.0,28.9,30.2,29.7,30.0,30.4,30.6,31.1,31.5,32.2,33.8,34.1,35.3,37.1,39.2,40.4,42.1,48.2,55.1,59.8,61.6,65.5,72.0,79.9,86.8,93.6,97.4,99.4,103.2,105.6,109.0,113.5,118.2,125.1,132.4,136.3,137.9,140.9,144.3,148.4,153.3,157.3,160.7,164.1,167.8,173.1,176.2,180.0,186.2,190.7,195.2,202.916,214.106,217.955,219.625,227.842,233.777,237.037,242.725,247.235,247.931,250.065,253.558,258.316,267.219,277.756
CUUR0000SAF11    ,CUUR0000SAF11    ,"Food at home in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1947-M01,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.8,28.0,26.9,27.3,30.3,30.8,30.3,30.1,29.5,29.6,30.6,32.0,31.2,31.5,31.8,32.0,32.4,32.7,33.5,35.2,35.1,36.3,38.0,39.9,40.9,42.7,49.7,57.1,61.8,63.1,66.8,73.8,81.8,88.4,94.8,98.1,99.1,102.8,104.3,107.3,111.9,116.6,124.2,132.3,135.8,136.8,140.1,144.1,148.8,154.3,158.1,161.1,164.2,167.9,173.4,175.6,179.4,186.2,189.8,193.1,201.245,214.125,215.124,215.836,226.201,231.774,233.869,239.456,242.25,239.065,238.589,239.661,241.775,250.233,258.892
CUUR0000SAF111   ,CUUR0000SAF111   ,"Cereals and bakery products in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1935-M01,2022-M02,,,,,,,,,,,,,,,,,,,,,,,13.3,13.2,13.5,13.1,12.4,12.7,12.8,13.8,14.1,14.2,14.3,16.4,20.4,22.4,22.3,22.6,24.7,25.3,25.8,26.4,26.8,27.2,28.3,28.8,29.1,29.7,30.3,30.9,31.4,31.5,31.9,33.3,34.0,34.2,35.2,37.1,38.8,39.0,43.5,56.5,62.9,61.5,62.5,68.1,74.9,83.9,92.3,96.5,99.6,103.9,107.9,110.9,114.8,122.1,132.4,140.0,145.8,151.5,156.6,163.0,167.5,174.0,177.6,181.1,185.0,188.3,193.8,198.0,202.8,206.0,209.0,212.8,222.107,244.853,252.567,250.449,260.311,267.682,270.401,271.056,274.056,273.109,271.678,272.781,276.561,282.645,289.079
CUUR0000SAF112   ,CUUR0000SAF112   ,"Meats, poultry, fish, and eggs in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1967-M01,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,39.1,42.6,44.6,44.1,48.0,60.9,62.2,67.0,68.0,67.4,77.6,89.0,92.0,96.0,99.6,99.2,101.3,100.1,104.5,110.5,114.3,121.3,130.0,132.6,130.9,135.5,137.2,138.8,144.8,148.5,147.3,147.9,154.5,161.3,162.1,169.3,181.7,184.7,186.6,195.616,204.653,203.805,207.694,223.161,231.042,235.961,253.014,260.307,247.653,245.84,248.899,249.804,265.233,282.833
CUUR0000SAF1121  ,CUUR0000SAF1121  ,"Meats, poultry, and fish in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1935-M01,2022-M02,,,,,,,,,,,,,,,,,,,,,,,13.0,12.9,13.8,12.9,12.6,12.5,14.0,16.4,17.6,16.9,17.1,21.0,28.3,32.1,30.4,31.8,35.5,35.2,33.3,32.7,30.8,29.4,31.9,34.9,33.6,33.1,33.2,34.0,33.5,33.0,35.1,38.1,37.2,38.0,41.2,43.3,43.4,47.6,59.6,60.9,66.1,66.7,66.3,77.4,88.9,92.2,96.0,99.9,99.2,100.9,100.5,104.9,111.7,115.6,121.4,130.3,133.3,132.3,136.6,138.6,139.9,144.8,149.0,147.8,148.8,155.5,162.4,163.2,169.7,182.3,186.7,188.2,195.383,203.566,204.62,208.553,223.892,231.89,236.673,253.689,258.465,249.397,249.035,250.694,253.261,269.255,287.475
CUUR0000SAF11211 ,CUUR0000SAF11211 ,"Meats in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1935-M01,2022-M02,,,,,,,,,,,,,,,,,,,,,,,12.4,12.2,13.1,12.1,12.0,11.7,13.1,15.2,15.4,14.6,14.6,18.7,26.6,30.2,28.4,29.9,33.9,33.6,31.4,31.2,28.7,27.7,30.8,34.3,33.1,32.5,32.9,33.6,33.0,32.5,35.0,38.2,37.2,38.1,41.5,43.8,43.5,48.1,60.0,61.1,66.3,66.4,64.9,77.0,90.1,92.7,96.0,100.7,99.5,99.8,98.9,102.0,109.6,112.2,116.7,128.5,132.5,130.7,134.6,135.4,135.5,140.2,144.4,141.6,142.3,150.7,159.3,160.3,169.0,183.2,187.5,188.8,194.983,201.815,200.545,206.232,224.439,231.981,234.778,256.469,264.232,252.521,251.048,252.076,255.341,274.178,295.191
CUUR0000SAF113   ,CUUR0000SAF113   ,"Fruits and vegetables in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1935-M01,2022-M02,,,,,,,,,,,,,,,,,,,,,,,11.2,11.8,12.1,10.5,10.6,10.9,11.6,14.7,18.9,18.9,19.9,20.4,22.4,23.0,23.3,22.4,24.4,26.9,26.0,25.6,26.0,27.3,27.2,29.1,28.7,29.4,29.5,29.8,31.5,32.7,32.6,33.3,33.3,35.9,36.4,37.8,39.7,41.6,47.4,55.2,56.9,58.4,63.8,70.9,76.6,82.1,92.0,97.0,97.3,105.7,108.4,109.4,119.1,128.1,138.0,149.0,155.8,155.4,159.0,165.0,177.7,183.9,187.5,198.2,203.1,204.6,212.2,220.9,225.9,232.7,241.4,252.9,262.628,278.932,272.945,273.458,284.662,282.827,290.033,294.398,293.84,296.277,295.684,297.793,300.854,304.929,314.809
CUUR0000SAF1131  ,CUUR0000SAF1131  ,"Fresh fruits and vegetables in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1935-M01,2022-M02,,,,,,,,,,,,,,,,,,,,,,,9.6,10.3,10.5,8.9,9.2,9.4,10.1,12.9,17.3,17.2,18.2,18.5,19.5,20.6,21.2,19.9,21.7,25.2,23.7,23.2,23.7,25.1,25.3,27.1,25.8,27.4,27.0,27.7,29.3,31.1,31.7,32.3,32.4,35.4,36.0,37.7,39.2,41.4,48.8,52.6,53.8,55.1,62.6,70.7,76.1,81.8,91.6,96.7,96.4,106.9,109.7,113.0,126.8,136.1,147.7,161.0,174.1,171.0,178.6,186.7,206.0,211.8,215.4,231.2,237.2,238.8,247.9,258.4,265.3,274.7,285.3,300.4,312.105,328.297,312.654,314.83,328.888,322.283,332.785,339.202,337.668,341.699,342.371,346.073,349.534,352.302,364.085
CUUR0000SAF114   ,CUUR0000SAF114   ,"Nonalcoholic beverages and beverage materials in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1947-M01,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,13.1,14.2,20.0,22.1,22.2,22.8,27.1,24.3,25.4,25.2,23.4,21.3,21.1,21.1,20.8,21.1,23.6,23.4,23.3,23.1,23.5,24.2,27.1,28.1,28.0,30.1,35.9,41.3,49.4,74.4,78.7,82.6,91.4,95.3,97.9,99.8,102.3,104.3,110.4,107.5,107.5,111.3,113.5,114.1,114.3,114.6,123.2,131.7,128.6,133.4,133.0,134.3,137.8,139.2,139.2,139.8,140.4,144.4,147.4,153.432,160.045,163.034,161.602,166.79,168.606,166.917,166.016,167.896,167.267,167.561,167.59,170.835,176.927,181.838
