index,Index,Label,unit,start,last,1997-S1,1997-S2,1998-S1,1998-S2,1999-S1,1999-S2,2000-S1,2000-S2,2001-S1,2001-S2,2002-S1,2002-S2,2003-S1,2003-S2,2004-S1,2004-S2,2005-S1,2005-S2,2006-S1,2006-S2,2007-S1,2007-S2,2008-S1,2008-S2,2009-S1,2009-S2,2010-S1,2010-S2,2011-S1,2011-S2,2012-S1,2012-S2,2013-S1,2013-S2,2014-S1,2014-S2,2015-S1,2015-S2,2016-S1,2016-S2,2017-S1,2017-S2
CUUSA311SA0      ,CUUSA311SA0      ,"All items in Washington-Baltimore, DC-MD-VA-WV, all urban consumers, not seasonally adjusted",Index base: 1996.11=100,1997-S01,2017-S03,100.6,101.0,101.5,102.7,103.4,105.1,106.6,108.6,109.7,111.1,112.1,113.9,115.6,116.9,118.3,120.7,122.8,125.8,127.7,130.0,132.0,134.92700000000002,138.49,140.509,138.77700000000002,140.85,141.7,142.736,146.259,147.691,149.60299999999995,150.822,151.798,153.203,154.626,155.069,154.886,155.82,156.77,157.591,158.666,159.738
CUUSA311SA0E     ,CUUSA311SA0E     ,"Energy in Washington-Baltimore, DC-MD-VA-WV, all urban consumers, not seasonally adjusted",Index base: 1996.11=100,1997-S01,2017-S03,101.9,103.8,95.0,97.9,93.6,106.7,112.0,121.3,117.4,111.3,104.6,113.3,119.3,122.1,127.3,138.7,141.8,167.0,168.6,173.5,175.593,201.303,222.072,222.834,180.343,197.956,199.892,201.387,228.013,225.787,229.99599999999998,227.63099999999997,227.97,228.438,230.391,216.49,188.627,186.14700000000002,176.69400000000005,185.90200000000002,192.345,196.827
CUUSA311SA0L1E   ,CUUSA311SA0L1E   ,"All items less food and energy in Washington-Baltimore, DC-MD-VA-WV, all urban consumers, not seasonally adjusted",Index base: 1996.11=100,1997-S01,2017-S03,100.8,100.9,102.2,103.3,104.2,105.3,106.7,107.8,109.5,111.4,113.0,114.4,116.0,116.8,117.6,119.4,121.7,122.9,125.0,127.2,129.246,130.109,132.518,134.299,135.346,136.421,137.241,138.43,140.174,141.751,143.691,145.135,146.201,147.704,148.94,150.22299999999996,151.653,152.83100000000005,154.53,154.873,155.678,156.499
CUUSA311SA0L2    ,CUUSA311SA0L2    ,"All items less shelter in Washington-Baltimore, DC-MD-VA-WV, all urban consumers, not seasonally adjusted",Index base: 1997.12=100,1998-S01,2017-S03,,,100.7,101.5,102.0,103.8,105.3,107.2,107.6,108.6,108.4,109.8,111.3,112.1,113.1,115.4,116.8,120.8,121.7,123.0,124.235,128.082,131.72799999999998,133.64600000000002,129.917,132.832,134.145,134.69899999999998,138.849,140.046,141.463,142.00799999999995,142.71200000000005,144.295,145.35,144.816,143.35399999999996,143.871,144.2,144.94799999999995,145.92600000000004,146.776
CUUSA311SA0L5    ,CUUSA311SA0L5    ,"All items  less medical care in Washington-Baltimore, DC-MD-VA-WV, all urban consumers, not seasonally adjusted",Index base: 1996.11=100,1997-S01,2017-S03,100.5,100.9,101.4,102.5,103.1,104.9,106.4,108.4,109.6,111.1,111.9,113.7,115.5,116.7,118.1,120.6,122.7,125.7,127.5,130.0,131.982,134.79399999999998,138.339,140.408,138.54399999999998,140.662,141.28,142.239,145.769,147.175,148.946,150.071,150.898,152.124,153.589,154.08100000000005,153.539,154.245,155.096,155.868,156.757,157.832
CUUSA311SA0LE    ,CUUSA311SA0LE    ,"All items less energy in Washington-Baltimore, DC-MD-VA-WV, all urban consumers, not seasonally adjusted",Index base: 1997.12=100,1998-S01,2017-S03,,,101.5,102.5,103.5,104.4,105.8,107.0,108.7,110.5,112.1,113.4,114.9,116.0,117.2,119.0,121.1,122.4,124.4,126.5,128.606,129.797,132.256,134.385,135.388,136.23,136.965,138.113,140.202,141.85299999999995,143.727,145.091,146.154,147.53799999999995,148.89600000000004,150.157,151.514,152.629,154.151,154.513,155.28799999999995,156.166
CUUSA311SAA      ,CUUSA311SAA      ,"Apparel in Washington-Baltimore, DC-MD-VA-WV, all urban consumers, not seasonally adjusted",Index base: 1996.11=100,1997-S01,2017-S03,100.1,97.0,100.3,98.2,98.1,98.5,99.4,97.1,98.0,99.2,93.4,91.5,90.6,89.5,85.3,86.7,90.4,91.5,91.4,92.0,93.869,91.544,91.512,94.546,94.836,92.566,91.84700000000001,90.915,97.426,98.27,99.52600000000001,98.94,94.137,97.098,95.926,97.51299999999999,96.119,93.633,99.615,104.806,102.179,103.902
CUUSA311SAC      ,CUUSA311SAC      ,"Commodities in Washington-Baltimore, DC-MD-VA-WV, all urban consumers, not seasonally adjusted",Index base: 1997.12=100,1998-S01,2017-S03,,,100.5,100.2,101.1,102.3,104.9,105.6,106.2,106.2,105.6,106.5,107.6,107.6,109.1,110.5,112.1,115.4,116.5,116.3,117.874,119.58,123.846,124.102,119.09299999999999,121.59899999999999,122.76299999999999,122.669,128.931,129.632,131.055,130.55200000000002,130.746,130.733,131.575,130.209,126.58,125.74600000000001,125.098,125.625,126.28200000000001,126.302
CUUSA311SACL1    ,CUUSA311SACL1    ,"Commodities less food in Washington-Baltimore, DC-MD-VA-WV, all urban consumers, not seasonally adjusted",Index base: 1997.12=100,1998-S01,2017-S03,,,100.5,99.9,100.2,102.3,105.4,105.7,105.7,104.7,102.6,103.5,104.7,103.2,103.7,104.9,106.9,110.7,111.4,110.5,111.774,112.723,117.669,115.90100000000001,108.101,112.11200000000001,113.73299999999999,113.16799999999999,120.288,120.31,121.646,120.523,120.322,120.0,120.243,117.713,112.008,110.44200000000001,109.292,109.81700000000001,110.48,109.98299999999999
CUUSA311SACL11   ,CUUSA311SACL11   ,"Commodities less food and beverages in Washington-Baltimore, DC-MD-VA-WV, all urban consumers, not seasonally adjusted",Index base: 1997.12=100,1998-S01,2017-S03,,,100.5,99.9,100.2,102.4,105.6,105.8,105.8,104.5,102.3,103.3,104.4,102.8,103.4,104.6,106.6,110.6,111.3,110.3,111.448,112.41,117.565,115.677,107.449,111.538,113.322,112.675,120.05,120.044,121.34899999999999,120.166,119.821,119.39200000000001,119.59100000000001,116.88,110.816,109.17299999999999,107.949,108.48100000000001,109.115,108.637
