index,Index,Label,unit,start,last,1984-S1,1984-S2,1985-S1,1985-S2,1986-S1,1986-S2,1987-S1,1987-S2,1988-S1,1988-S2,1989-S1,1989-S2,1990-S1,1990-S2,1991-S1,1991-S2,1992-S1,1992-S2,1993-S1,1993-S2,1994-S1,1994-S2,1995-S1,1995-S2,1996-S1,1996-S2,1997-S1,1997-S2,1998-S1,1998-S2,1999-S1,1999-S2,2000-S1,2000-S2,2001-S1,2001-S2,2002-S1,2002-S2,2003-S1,2003-S2,2004-S1,2004-S2,2005-S1,2005-S2,2006-S1,2006-S2,2007-S1,2007-S2,2008-S1,2008-S2,2009-S1,2009-S2,2010-S1,2010-S2,2011-S1,2011-S2,2012-S1,2012-S2,2013-S1,2013-S2,2014-S1,2014-S2,2015-S1,2015-S2,2016-S1,2016-S2,2017-S1,2017-S2,2018-S1,2018-S2,2019-S1,2019-S2,2020-S1,2020-S2,2021-S1,2021-S2
CUUS0100AA0      ,CUUS0100AA0      ,"All items - old base in Northeast urban, all urban consumers, not seasonally adjusted",Index base: 1977.12=100,1984-S01,2021-S03,162.9,166.0,169.2,172.3,174.1,176.0,180.4,185.1,189.0,194.6,200.0,205.0,211.1,218.1,222.8,226.1,229.9,233.8,237.3,239.6,242.7,245.8,248.9,252.0,256.0,259.4,262.8,264.9,266.6,268.9,271.3,275.2,280.3,284.6,289.4,291.2,294.3,298.3,302.7,306.6,312.8,317.7,323.2,330.2,336.6,340.4,344.456,350.021,358.856,363.318,358.35,363.941,367.283,369.257,376.792,382.203,385.436,388.362,391.196,393.12,397.439,397.663,396.362,397.867,399.344,403.276,407.646,409.74,416.103,418.921,422.487,425.932,428.548,430.944,440.109,452.921
CUUS0100SA0      ,CUUS0100SA0      ,"All items in Northeast urban, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2021-S03,103.4,105.4,107.4,109.4,110.6,111.8,114.6,117.5,120.0,123.5,127.0,130.2,134.0,138.5,141.5,143.6,146.0,148.5,150.7,152.1,154.2,156.1,158.1,160.0,162.6,164.7,166.9,168.2,169.3,170.8,172.3,174.8,178.0,180.7,183.8,184.9,186.9,189.5,192.2,194.7,198.6,201.7,205.3,209.7,213.8,216.2,218.745,222.279,227.889,230.723,227.568,231.119,233.241,234.495,239.279,242.715,244.769,246.627,248.427,249.648,252.392,252.534,251.707,252.663,253.601,256.098,258.873,260.203,264.244,266.034,268.298,270.485,272.147,273.669,279.488,287.625
CUUS0100SA0E     ,CUUS0100SA0E     ,"Energy in Northeast urban, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2021-S03,100.8,99.8,99.5,100.9,92.0,81.5,84.1,87.2,85.2,86.4,90.1,92.6,95.7,105.8,102.2,101.8,100.4,103.8,102.5,102.9,102.7,105.7,105.1,105.2,109.0,110.6,112.9,110.7,105.0,102.1,101.5,109.6,120.0,127.7,132.4,122.8,115.5,122.1,134.6,136.0,145.7,154.9,163.3,190.7,199.5,197.6,203.387,214.756,244.097,238.56,188.612,204.314,212.899,212.845,244.149,243.171,243.914,243.246,243.263,240.037,249.252,232.198,203.483,190.734,180.249,186.81,198.149,203.739,218.03,219.166,212.915,210.428,196.786,192.304,219.288,243.497
CUUS0100SA0L1    ,CUUS0100SA0L1    ,"All items less food in Northeast urban, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2021-S03,103.6,105.9,107.8,110.1,111.1,111.7,114.5,117.7,120.2,123.7,127.0,130.2,133.8,138.8,141.8,144.4,146.9,149.8,151.9,153.5,155.5,157.4,159.3,161.4,164.0,166.1,168.4,169.8,170.9,172.2,173.6,176.3,179.9,182.8,185.8,186.7,188.8,191.7,194.6,197.0,200.9,204.0,207.7,212.6,216.8,219.2,221.431,224.829,230.477,232.53,228.617,232.909,234.98,236.227,241.047,244.191,246.123,248.023,249.812,251.188,253.945,253.543,252.279,253.195,254.22,257.148,260.057,261.299,265.525,267.281,269.527,271.752,272.636,273.878,280.119,288.176
CUUS0100SA0L1E   ,CUUS0100SA0L1E   ,"All items less food and energy in Northeast urban, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2021-S03,104.1,107.0,109.3,111.8,114.5,117.2,120.1,123.3,126.4,130.3,133.6,137.0,140.7,145.0,149.0,152.0,155.1,157.9,160.6,162.4,164.7,166.5,168.8,171.2,173.6,175.8,178.2,180.1,182.1,184.1,185.8,187.7,190.3,192.5,195.4,197.8,201.3,203.8,205.4,208.0,211.2,213.6,216.7,218.7,222.4,225.4,227.119,229.516,232.154,235.223,237.227,240.101,241.386,242.813,244.444,248.145,250.237,252.485,254.528,256.508,258.52,260.156,262.242,264.85,267.299,269.845,271.803,272.55,275.616,277.476,280.808,283.65,286.121,288.003,292.13,298.603
CUUS0100SA0L2    ,CUUS0100SA0L2    ,"All items less shelter in Northeast urban, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2021-S03,103.3,104.8,106.4,107.8,108.1,108.4,111.0,113.3,114.8,117.9,121.2,123.8,127.7,131.7,134.4,136.3,138.3,140.9,143.0,144.4,146.0,147.8,149.7,151.5,154.1,156.1,158.0,158.6,159.1,159.9,161.2,163.7,166.7,169.3,172.0,171.8,171.8,173.9,176.3,178.3,181.3,184.3,187.4,192.8,196.0,196.7,198.957,202.308,209.065,211.877,206.567,210.69,213.713,214.977,221.038,224.194,226.117,227.389,228.91,228.995,231.215,230.106,227.675,227.115,227.093,228.317,231.146,231.71,235.534,236.312,237.826,239.443,240.0,241.22,248.023,257.262
CUUS0100SA0L5    ,CUUS0100SA0L5    ,"All items  less medical care in Northeast urban, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2021-S03,103.3,105.2,107.0,108.9,109.9,110.9,113.6,116.5,118.9,122.4,125.7,128.7,132.4,136.7,139.5,141.4,143.5,145.8,147.9,149.2,151.0,152.8,154.7,156.6,159.0,161.0,163.1,164.4,165.3,166.6,167.9,170.4,173.4,176.0,178.9,179.8,181.5,184.0,186.6,188.9,192.7,195.7,199.0,203.4,207.3,209.6,211.852,215.239,220.741,223.534,220.073,223.606,225.5,226.63,231.238,234.599,236.349,238.071,239.721,240.876,243.566,243.486,242.27,243.121,243.631,245.91,248.622,249.794,253.705,255.448,257.319,258.924,260.009,261.532,267.617,276.046
CUUS0100SA0LE    ,CUUS0100SA0LE    ,"All items less energy in Northeast urban, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2021-S03,103.8,106.3,108.5,110.6,113.1,115.9,118.8,121.8,124.9,128.7,132.1,135.4,139.4,143.2,147.0,149.4,152.2,154.7,157.3,158.9,161.1,163.0,165.3,167.5,169.8,172.0,174.3,176.0,177.9,179.9,181.7,183.5,185.9,188.0,190.9,193.3,196.5,198.6,200.3,202.9,206.2,208.7,211.7,213.7,217.3,220.2,222.438,225.151,228.246,232.008,233.866,236.14,237.603,239.005,241.088,245.015,247.212,249.351,251.357,253.062,255.165,257.09,259.144,261.529,263.657,265.769,267.708,268.622,271.635,273.511,276.695,279.396,282.477,284.565,288.532,295.309
CUUS0100SAA      ,CUUS0100SAA      ,"Apparel in Northeast urban, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2021-S03,100.5,103.4,103.1,105.3,103.7,105.8,108.3,111.0,109.3,114.3,114.3,115.3,119.6,123.0,122.8,126.0,126.0,130.4,130.2,129.6,128.9,127.1,125.8,127.0,127.5,128.0,130.0,131.2,130.9,130.5,128.5,130.2,128.5,128.2,127.0,123.1,123.5,122.3,117.0,121.0,120.7,121.1,121.0,120.6,120.7,117.9,118.567,116.541,116.68,118.728,118.891,120.941,121.577,122.06,123.247,128.062,128.662,130.447,129.255,130.288,129.134,130.857,130.831,131.124,131.276,131.853,131.881,130.438,130.673,128.816,128.853,127.446,124.075,120.127,125.326,125.773
CUUS0100SAC      ,CUUS0100SAC      ,"Commodities in Northeast urban, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2021-S03,102.8,103.6,104.9,105.9,104.8,104.3,107.2,109.3,110.5,113.1,116.1,118.0,121.7,125.6,127.3,127.9,129.2,130.9,132.3,132.4,133.4,135.0,136.2,137.4,139.7,141.1,142.4,142.4,142.2,142.6,143.7,146.5,149.6,151.3,152.4,150.9,150.2,151.5,152.6,153.3,156.1,158.8,161.3,165.7,167.9,167.8,169.587,172.448,179.44,179.928,172.384,177.122,180.008,180.859,188.957,191.968,194.373,194.949,194.752,193.799,195.235,193.437,187.955,186.683,184.403,184.946,186.816,187.212,190.656,190.873,190.939,191.138,189.756,190.46,198.398,209.354
