index,Index,Label,unit,start,last,1984-S1,1984-S2,1985-S1,1985-S2,1986-S1,1986-S2,1987-S1,1987-S2,1988-S1,1988-S2,1989-S1,1989-S2,1990-S1,1990-S2,1991-S1,1991-S2,1992-S1,1992-S2,1993-S1,1993-S2,1994-S1,1994-S2,1995-S1,1995-S2,1996-S1,1996-S2,1997-S1,1997-S2,1998-S1,1998-S2,1999-S1,1999-S2,2000-S1,2000-S2,2001-S1,2001-S2,2002-S1,2002-S2,2003-S1,2003-S2,2004-S1,2004-S2,2005-S1,2005-S2,2006-S1,2006-S2,2007-S1,2007-S2,2008-S1,2008-S2,2009-S1,2009-S2,2010-S1,2010-S2,2011-S1,2011-S2,2012-S1,2012-S2,2013-S1,2013-S2,2014-S1,2014-S2,2015-S1,2015-S2,2016-S1,2016-S2,2017-S1,2017-S2,2018-S1,2018-S2,2019-S1,2019-S2,2020-S1,2020-S2,2021-S1,2021-S2
CUUS0000SA311    ,CUUS0000SA311    ,"Apparel less footwear in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,2018-S01,2021-S03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.936,117.451,117.412,115.791,111.81,108.672,111.85,113.233
CUUS0000SAA      ,CUUS0000SAA      ,"Apparel in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2021-S03,100.8,103.2,103.9,106.1,104.8,107.0,108.9,112.3,113.8,117.0,118.2,119.0,123.0,125.2,127.5,129.9,131.5,132.3,133.9,133.5,134.1,132.7,132.3,131.7,132.6,130.8,133.3,132.4,133.4,132.7,131.8,130.8,130.4,128.8,129.0,125.5,125.1,122.9,121.4,120.4,121.0,119.9,120.5,118.6,119.7,119.2,119.866,118.13,119.067,118.747,119.982,120.174,119.848,119.158,120.232,123.989,125.682,126.848,127.048,127.775,127.425,127.604,125.977,125.829,125.979,126.112,126.163,125.061,126.761,124.548,124.593,123.51,119.469,116.688,120.077,121.909
CUUS0000SAA1     ,CUUS0000SAA1     ,"Men's and boys' apparel in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2021-S03,100.8,103.5,103.8,106.3,105.4,107.0,108.0,110.3,111.5,115.3,116.0,117.9,119.2,121.5,123.3,125.2,126.4,126.6,127.2,127.7,125.7,127.1,126.2,126.3,127.6,127.8,129.3,130.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.492,117.72,118.921,118.155,114.865,111.367,114.575,117.508
CUUS0000SAA2     ,CUUS0000SAA2     ,"Women's and girls' apparel in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2021-S03,99.5,103.1,103.1,106.7,102.1,105.9,108.0,112.8,113.7,116.1,116.4,116.5,121.7,123.5,126.4,128.7,130.1,130.6,133.2,131.9,133.2,128.7,127.8,126.1,126.4,122.9,127.5,124.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.395,108.489,107.849,105.645,101.485,97.973,100.923,100.96
CUUS0000SEAA     ,CUUS0000SEAA     ,"Men's apparel in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,2018-S01,2021-S03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.627,119.864,120.549,119.948,117.985,113.451,116.505,119.807
CUUS0000SEAA01   ,CUUS0000SEAA01   ,"Men's suits, sport coats, and outerwear in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,2018-S01,2021-S03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.68,105.054,107.523,109.282,98.845,89.649,87.267,95.041
CUUS0000SEAA02   ,CUUS0000SEAA02   ,"Men's furnishings in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,2018-S01,2021-S03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.819,158.126,154.879,156.09,159.55,161.71,160.76,168.207
CUUS0000SEAA03   ,CUUS0000SEAA03   ,"Men's shirts and sweaters in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1997.12=100,2018-S01,2021-S03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.531,76.808,76.737,75.82,72.351,68.808,69.708,72.544
CUUS0000SEAA04   ,CUUS0000SEAA04   ,"Men's pants and shorts in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,2018-S01,2021-S03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.814,115.216,118.536,115.534,120.01,114.357,128.202,122.926
CUUS0000SEAB     ,CUUS0000SEAB     ,"Boys' apparel in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,2018-S01,2021-S03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.54,107.883,110.664,109.404,101.03,101.347,105.038,106.577
