index,Index,Label,unit,start,last,1984-S1,1984-S2,1985-S1,1985-S2,1986-S1,1986-S2,1987-S1,1987-S2,1988-S1,1988-S2,1989-S1,1989-S2,1990-S1,1990-S2,1991-S1,1991-S2,1992-S1,1992-S2,1993-S1,1993-S2,1994-S1,1994-S2,1995-S1,1995-S2,1996-S1,1996-S2,1997-S1,1997-S2,1998-S1,1998-S2,1999-S1,1999-S2,2000-S1,2000-S2,2001-S1,2001-S2,2002-S1,2002-S2,2003-S1,2003-S2,2004-S1,2004-S2,2005-S1,2005-S2,2006-S1,2006-S2,2007-S1,2007-S2,2008-S1,2008-S2,2009-S1,2009-S2,2010-S1,2010-S2,2011-S1,2011-S2,2012-S1,2012-S2,2013-S1,2013-S2,2014-S1,2014-S2,2015-S1,2015-S2,2016-S1,2016-S2,2017-S1,2017-S2,2018-S1,2018-S2,2019-S1,2019-S2,2020-S1,2020-S2,2021-S1,2021-S2
CWUS0000SAF      ,CWUS0000SAF      ,"Food and beverages in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2021-S03,102.7,103.6,105.2,105.8,107.7,110.1,112.6,114.0,116.2,119.6,123.3,125.9,130.7,132.9,136.5,136.6,138.0,138.7,140.7,141.8,143.6,145.2,147.7,148.9,151.6,154.7,156.5,157.9,159.6,161.2,163.1,164.4,166.6,168.8,171.8,174.2,175.9,176.4,178.5,181.4,184.9,187.5,189.6,191.5,193.8,195.9,200.338,204.725,210.059,217.033,218.018,216.943,218.577,219.788,224.906,229.645,232.429,233.845,235.766,236.867,240.018,243.841,245.482,247.075,247.139,246.581,248.063,249.736,251.514,253.1,256.182,257.588,263.648,267.883,271.441,280.947
CWUS0000SAF1     ,CWUS0000SAF1     ,"Food in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2021-S03,102.7,103.6,105.2,105.6,107.6,110.0,112.6,114.0,116.1,119.7,123.5,126.1,131.0,133.2,136.0,135.9,137.3,137.8,139.9,141.1,143.0,144.7,147.3,148.5,151.2,154.4,156.1,157.5,159.2,160.8,162.7,164.0,166.1,168.4,171.3,173.7,175.3,175.8,177.9,180.9,184.3,187.0,189.1,191.1,193.3,195.4,199.893,204.374,209.775,216.978,217.757,216.479,218.14,219.319,224.644,229.606,232.32,233.798,235.658,236.729,239.999,243.981,245.642,247.281,247.18,246.537,247.979,249.661,251.422,253.006,256.134,257.558,263.718,268.044,271.672,281.52
CWUS0000SAF11    ,CWUS0000SAF11    ,"Food at home in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2021-S03,102.5,102.9,104.2,104.0,105.9,108.4,111.2,112.1,114.2,118.2,122.7,125.1,131.0,132.9,136.2,134.8,136.2,136.5,139.0,140.1,142.5,144.4,147.4,148.4,151.6,155.3,156.7,157.8,159.4,160.7,162.6,163.5,165.6,168.1,171.3,173.6,175.0,174.4,176.7,180.3,184.2,186.7,188.3,189.6,191.4,193.0,197.952,202.594,208.945,217.09,215.617,212.198,214.22,215.056,222.253,228.109,230.452,231.023,232.715,232.956,236.588,240.69,241.149,241.855,239.494,236.806,237.257,238.086,238.562,239.067,241.103,240.921,248.209,251.092,253.777,263.356
CWUS0000SAF111   ,CWUS0000SAF111   ,"Cereals and bakery products in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2021-S03,102.8,105.0,107.1,108.7,110.1,111.8,113.9,115.8,119.5,124.9,130.1,134.7,138.3,141.5,144.7,146.5,150.0,152.6,154.9,157.6,161.4,164.1,165.9,168.6,172.5,174.8,176.7,178.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.309,274.406,277.797,277.676,282.269,285.468,286.513,294.35
CWUS0000SAF112   ,CWUS0000SAF112   ,"Meats, poultry, fish, and eggs in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2021-S03,102.0,100.4,100.1,99.8,101.2,107.6,109.3,111.5,111.7,116.5,119.8,122.5,127.8,132.2,133.4,131.9,130.4,131.3,134.4,136.3,137.4,136.6,137.2,139.7,142.0,146.9,147.9,148.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249.5,249.372,249.496,250.809,264.08,266.526,272.026,294.252
CWUS0000SAF1121  ,CWUS0000SAF1121  ,"Meats, poultry, and fish in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,2018-S01,2021-S03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251.087,251.789,252.743,254.875,267.66,271.231,276.247,299.639
CWUS0000SAF11211 ,CWUS0000SAF11211 ,"Meats in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,2018-S01,2021-S03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.004,254.185,255.232,258.998,274.371,277.147,283.152,311.183
CWUS0000SAF113   ,CWUS0000SAF113   ,"Fruits and vegetables in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2021-S03,105.5,105.7,109.6,106.9,109.3,109.6,118.9,118.7,124.8,130.4,137.8,137.3,150.8,145.7,159.5,151.7,156.5,153.1,158.8,157.6,162.6,165.7,177.7,175.8,182.2,184.0,185.7,187.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294.415,295.674,300.501,296.342,301.163,305.089,310.366,314.433
CWUS0000SAF1131  ,CWUS0000SAF1131  ,"Fresh fruits and vegetables in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,2018-S01,2021-S03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342.314,344.584,350.197,344.174,348.537,352.647,359.422,364.051
CWUS0000SAF114   ,CWUS0000SAF114   ,"Nonalcoholic beverages and beverage materials in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2021-S03,102.0,102.4,104.5,104.1,110.5,109.5,109.2,105.8,107.7,107.8,111.3,111.5,113.2,114.4,115.5,113.4,115.4,113.9,115.0,115.1,116.3,129.5,131.9,130.1,129.0,127.1,130.3,134.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.878,167.894,171.31,170.264,176.104,177.896,179.71,184.514
