index,Index,Label,unit,start,last,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
CWURA210AA0      ,CWURA210AA0      ,"All items - old base in Cleveland-Akron, OH, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1967=100,1914-M12,2017-M13,27.8,30.2,36.4,42.4,49.6,58.6,53.2,48.5,50.3,50.3,51.2,51.7,50.7,50.0,49.8,48.8,43.9,39.8,37.8,39.2,40.7,41.1,42.8,42.5,42.2,42.3,44.8,49.8,53.2,54.2,55.1,59.3,67.9,73.6,72.4,73.1,78.9,80.8,81.4,82.2,82.5,84.1,87.1,89.0,89.5,90.6,91.4,91.7,92.7,93.2,94.7,97.2,100.0,105.9,111.9,119.3,122.8,126.5,134.1,147.8,160.9,169.0,180.5,194.5,220.5,253.3,278.8,299.8,315.8,321.8,324.4,328.1,337.5,349.3,366.7,384.4,399.5,407.1,416.7,428.0,438.2,451.0,462.9,474.0,483.1,500.8,514.6,513.8,523.2,539.5,559.3,568.9,582.343,605.582,598.273,612.444,633.938,644.852,652.83,661.842,658.351,658.766,666.645
CWURA210SA0      ,CWURA210SA0      ,"All items in Cleveland-Akron, OH, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1914-M12,2017-M13,8.9,9.7,11.6,13.6,15.9,18.8,17.0,15.5,16.1,16.1,16.4,16.5,16.2,16.0,15.9,15.6,14.0,12.7,12.1,12.5,13.0,13.2,13.7,13.6,13.5,13.5,14.3,15.9,17.0,17.3,17.6,19.0,21.7,23.6,23.2,23.4,25.3,25.9,26.1,26.3,26.4,26.9,27.9,28.5,28.6,29.0,29.3,29.3,29.7,29.8,30.3,31.1,32.0,33.9,35.8,38.2,39.3,40.5,42.9,47.3,51.5,54.1,57.8,62.2,70.6,81.1,89.2,95.9,101.1,103.0,103.8,105.0,108.0,111.8,117.3,123.0,127.8,130.3,133.3,137.0,140.2,144.3,148.1,151.7,154.6,160.3,164.7,164.4,167.4,172.7,179.0,182.1,186.368,193.805,191.466,196.001,202.88,206.373,208.926,211.81,210.693,210.826,213.348
CWURA210SA0E     ,CWURA210SA0E     ,"Energy in Cleveland-Akron, OH, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1978-M02,2017-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.7,81.5,92.4,97.1,102.6,100.3,100.6,89.3,91.1,92.0,99.8,109.2,108.9,107.1,108.4,111.1,110.3,118.5,120.9,113.8,117.0,136.8,146.1,131.2,153.5,170.5,202.6,213.3,217.819,251.504,196.647,215.667,245.312,241.338,242.499,241.272,195.113,178.561,193.135
CWURA210SA0L1E   ,CWURA210SA0L1E   ,"All items less food and energy in Cleveland-Akron, OH, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1982-M02,2017-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.6,101.1,103.2,103.8,107.8,110.9,114.9,119.6,124.5,130.3,133.9,137.1,140.5,144.1,147.1,151.2,155.9,158.1,162.1,165.7,167.1,167.7,171.5,174.4,176.1,179.468,183.17,186.509,189.43,192.617,196.456,199.448,202.67,206.003,208.387,209.96
CWURA210SA0L2    ,CWURA210SA0L2    ,"All items less shelter in Cleveland-Akron, OH, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1975-M11,2017-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.8,63.0,67.4,74.3,82.0,90.0,95.7,100.4,103.9,106.2,106.6,109.6,113.1,119.1,125.1,129.7,131.4,134.5,138.3,141.3,145.1,148.8,151.3,154.1,160.0,164.6,162.4,166.3,172.1,180.6,183.9,188.547,199.188,195.115,201.819,210.824,214.715,216.639,218.396,215.014,213.409,214.985
CWURA210SA0L5    ,CWURA210SA0L5    ,"All items  less medical care in Cleveland-Akron, OH, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1966-M11,2017-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.6,34.5,36.3,38.7,39.7,40.9,43.4,47.8,52.0,54.4,57.9,62.3,70.8,81.4,89.6,96.2,101.1,102.8,103.4,104.1,106.9,110.6,116.1,121.4,126.0,128.3,131.1,134.6,137.7,141.7,145.5,149.1,151.8,157.3,161.6,161.2,163.9,169.0,175.0,177.7,181.469,188.44,185.739,189.78,196.376,199.489,202.153,204.891,203.342,202.898,204.906
CWURA210SA0LE    ,CWURA210SA0LE    ,"All items less energy in Cleveland-Akron, OH, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1978-M02,2017-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.5,81.0,88.8,95.8,100.8,103.3,104.2,107.5,110.8,114.9,120.3,125.6,131.0,133.9,137.3,141.0,144.8,148.3,152.4,157.2,160.2,164.1,167.8,169.7,170.7,174.5,177.8,180.1,183.901,188.693,192.34,195.12,199.452,203.881,206.835,210.426,213.965,215.896,217.188
CWURA210SAA      ,CWURA210SAA      ,"Apparel in Cleveland-Akron, OH, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1952-M11,2017-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.7,42.7,42.5,43.4,44.1,44.5,44.8,45.0,45.4,45.6,46.3,46.4,46.8,48.3,49.8,52.8,55.9,58.6,60.5,61.6,64.5,70.4,72.2,73.9,78.1,80.7,83.6,87.0,93.2,99.2,99.3,101.5,105.0,103.5,109.2,106.2,110.7,117.0,121.3,122.4,124.2,127.5,125.2,126.2,124.9,127.7,123.0,122.9,122.4,116.2,110.4,117.0,117.1,105.6,104.307,112.343,112.128,119.36,121.167,124.839,127.847,132.048,132.867,135.768,132.742
CWURA210SAC      ,CWURA210SAC      ,"Commodities in Cleveland-Akron, OH, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1966-M11,2017-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.3,38.1,39.8,41.8,42.6,43.9,47.1,52.1,56.4,59.1,62.0,66.6,75.4,84.8,92.2,96.0,101.0,103.1,103.3,101.8,105.3,108.1,113.7,119.8,123.8,125.2,127.7,131.0,133.2,136.3,137.9,139.9,142.7,148.1,150.0,148.3,148.9,153.6,160.0,162.7,167.738,177.25,172.148,178.64,189.765,194.677,193.995,194.324,188.402,185.407,185.069
CWURA210SACL1    ,CWURA210SACL1    ,"Commodities less food in Cleveland-Akron, OH, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1966-M11,2017-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.5,40.5,41.9,43.9,44.9,46.0,47.4,51.7,55.9,58.2,60.8,64.3,73.2,83.8,91.5,95.8,101.4,102.7,102.2,99.1,102.3,104.1,108.6,114.3,118.2,120.1,121.9,124.4,125.5,127.2,127.8,128.1,129.3,135.5,136.4,132.4,131.8,137.0,144.2,146.0,150.181,158.86,150.03,158.086,168.991,172.555,171.01,169.789,159.877,156.091,155.916
CWURA210SACL11   ,CWURA210SACL11   ,"Commodities less food and beverages in Cleveland-Akron, OH, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1975-M11,2017-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,60.6,64.1,73.1,83.9,91.4,95.8,101.4,102.8,102.1,98.7,101.9,103.7,108.1,113.9,117.5,119.3,121.1,123.7,124.8,126.5,126.9,127.3,128.4,134.7,135.6,131.5,130.9,136.1,143.5,145.3,149.544,158.436,149.129,157.327,168.38,172.01,170.327,169.054,158.748,154.681,154.361
