index,Index,Label,unit,start,last,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
CWUR0200SACE     ,CWUR0200SACE     ,"Energy commodities in Midwest urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.9,69.5,95.4,106.5,102.2,99.3,98.5,98.6,76.4,81.0,81.2,89.7,103.1,100.2,96.9,95.4,97.2,98.1,107.0,106.2,93.5,101.0,131.7,129.0,120.1,138.4,163.1,199.7,226.8,248.747,286.836,207.96,246.66,313.155,321.503,314.08,301.324,216.622,191.131,214.313,240.536,231.986,189.714,264.24
CWUR0200SACL1    ,CWUR0200SACL1    ,"Commodities less food in Midwest urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.2,75.7,85.7,92.7,96.9,100.8,102.2,103.8,99.8,102.7,106.3,111.0,116.1,119.6,122.0,124.3,126.8,129.2,131.9,132.8,131.4,133.6,138.9,139.1,135.4,134.9,136.4,142.9,146.7,149.785,156.287,147.518,154.842,165.843,169.791,169.017,167.315,154.812,150.355,152.199,155.598,155.008,150.882,169.455
CWUR0200SACL11   ,CWUR0200SACL11   ,"Commodities less food and beverages in Midwest urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0,75.6,85.7,92.6,96.9,100.8,102.3,103.7,99.4,102.4,106.0,110.6,115.9,118.9,121.1,123.4,125.8,128.2,130.8,131.6,130.0,132.1,137.5,137.6,133.7,133.1,134.6,141.2,144.9,147.95,154.435,145.169,152.585,163.74,167.552,166.691,164.893,152.057,147.413,149.225,152.609,151.928,147.635,166.438
CWUR0200SACL1E   ,CWUR0200SACL1E   ,"Commodities less food and energy commodities in Midwest urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.6,77.0,83.7,89.9,95.8,101.1,103.1,104.9,106.0,108.9,113.3,117.1,120.5,125.4,129.1,132.4,135.0,137.8,139.1,140.4,141.4,142.5,142.7,143.5,141.5,137.8,135.5,137.2,137.2,137.26,138.738,141.23,143.782,146.66,149.395,149.776,150.144,149.174,148.117,146.597,146.191,146.995,147.694,159.498
CWUR0200SAD      ,CWUR0200SAD      ,"Durables in Midwest urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.0,76.5,83.7,89.6,95.9,101.3,102.9,103.2,102.8,104.0,106.0,108.0,108.7,111.0,113.6,116.8,120.9,125.0,126.0,125.2,124.5,123.0,122.3,121.9,118.1,113.6,109.9,111.3,110.6,109.39,108.855,107.07,109.48,111.913,112.567,111.525,110.508,109.203,107.008,104.1,103.119,103.557,105.57,119.488
CWUR0200SAE      ,CWUR0200SAE      ,"Education and communication in Midwest urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.2,102.9,104.5,106.6,109.4,110.4,111.6,112.7,115.8,118.575,121.888,124.973,126.91,127.741,129.549,130.772,132.387,131.961,132.23,128.159,127.676,127.388,129.985,131.514
CWUR0200SAEC     ,CWUR0200SAEC     ,"Education and communication commodities in Midwest urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 2009.12=100,2009-M12,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.962,98.942,95.217,93.035,90.917,86.273,83.008,79.617,76.739,76.736,74.911,70.225
CWUR0200SAES     ,CWUR0200SAES     ,"Education and communication services in Midwest urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 2009.12=100,2009-M12,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.335,101.295,103.309,104.637,106.275,106.385,106.998,103.805,103.733,103.477,105.934,107.745
CWUR0200SAF      ,CWUR0200SAF      ,"Food and beverages in Midwest urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.7,81.8,88.8,94.9,98.1,99.4,102.6,104.3,107.6,111.7,115.9,121.9,129.1,133.8,135.5,138.5,141.6,145.7,150.6,154.5,157.6,161.3,165.5,170.4,173.0,175.9,181.0,185.7,189.5,196.481,207.353,212.062,213.793,221.844,227.9,230.571,236.58,240.112,240.169,241.082,243.487,247.165,253.975,264.429
CWUR0200SAF1     ,CWUR0200SAF1     ,"Food in Midwest urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1966-M12,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.9,36.1,38.1,40.0,41.0,42.8,49.2,56.4,60.4,62.7,66.7,73.7,81.8,88.9,95.0,98.1,99.4,102.6,104.3,107.4,111.6,115.8,122.0,129.5,133.4,134.8,137.6,140.8,144.9,149.9,153.8,157.1,160.6,164.8,169.7,172.1,175.1,180.2,185.0,188.9,195.939,207.118,211.596,213.154,221.418,227.429,230.056,236.209,239.842,239.711,240.505,242.851,246.546,253.591,264.375
CWUR0200SAF11    ,CWUR0200SAF11    ,"Food at home in Midwest urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.5,83.7,90.0,96.0,98.9,99.1,102.1,103.1,106.3,110.7,114.9,122.0,130.1,133.8,134.1,137.1,140.3,144.6,150.0,153.6,156.4,159.7,163.6,168.7,170.2,172.6,177.8,181.6,184.6,191.892,203.938,205.796,206.835,216.69,222.417,223.547,229.525,230.974,227.528,226.597,226.639,228.031,235.075,243.352
CWUR0200SAF111   ,CWUR0200SAF111   ,"Cereals and bakery products in Midwest urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,2017-M12,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263.441,261.797,260.939,265.989,273.783
CWUR0200SAF112   ,CWUR0200SAF112   ,"Meats, poultry, fish, and eggs in Midwest urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,2017-M12,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243.039,246.301,247.122,261.335,273.513
CWUR0200SAF113   ,CWUR0200SAF113   ,"Fruits and vegetables in Midwest urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,2017-M12,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268.768,268.56,271.335,272.705,283.987
CWUR0200SAF114   ,CWUR0200SAF114   ,"Nonalcoholic beverages and beverage materials in Midwest urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,2017-M12,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.901,161.585,165.286,169.476,176.7
CWUR0200SAF115   ,CWUR0200SAF115   ,"Other food at home in Midwest urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,2017-M12,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.746,197.332,198.114,203.379,208.357
CWUR0200SAF116   ,CWUR0200SAF116   ,"Alcoholic beverages in Midwest urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.0,80.6,86.8,93.9,97.2,100.0,102.8,105.8,110.4,113.3,117.1,121.4,126.3,139.5,144.9,148.5,151.2,154.9,158.8,162.7,164.7,170.0,173.8,179.6,183.7,186.3,191.1,193.6,198.0,203.416,209.964,217.701,221.731,227.247,233.736,237.109,240.875,242.772,245.877,248.736,252.167,255.579,259.146,265.049
CWUR0200SAG      ,CWUR0200SAG      ,"Other goods and services in Midwest urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.6,69.3,75.5,82.8,91.4,101.3,107.3,113.0,119.3,126.1,135.0,145.1,155.6,168.6,180.0,188.3,192.9,200.3,206.7,216.0,232.2,256.0,269.0,282.1,295.5,297.0,300.4,313.2,323.8,333.277,348.672,384.034,399.522,405.679,416.484,429.169,436.966,445.109,455.394,464.071,475.53,491.564,505.404,519.997
CWUR0200SAGC     ,CWUR0200SAGC     ,"Other goods in Midwest urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 2009.12=100,2009-M12,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.12,101.208,103.991,107.712,109.887,112.014,114.599,116.73,118.411,122.838,126.901,130.427
CWUR0200SAGS     ,CWUR0200SAGS     ,"Other personal services in Midwest urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 2009.12=100,2009-M12,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.728,104.112,106.737,108.972,110.554,112.468,114.9,117.171,121.915,125.356,127.952,131.891
CWUR0200SAH      ,CWUR0200SAH      ,"Housing in Midwest urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.2,69.9,80.8,88.6,97.1,101.1,101.8,104.3,106.6,109.5,112.8,116.7,120.8,125.0,128.5,132.0,135.2,138.9,143.3,147.3,150.6,153.3,158.6,163.8,166.0,170.1,173.5,178.5,181.9,186.216,191.702,191.014,192.147,194.508,196.914,200.797,205.571,207.785,211.628,216.819,222.37,227.946,232.673,242.264
CWUR0200SAH1     ,CWUR0200SAH1     ,"Shelter in Midwest urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.7,68.8,81.5,88.9,98.0,101.1,100.9,103.7,108.4,113.7,118.7,123.4,129.4,134.6,139.1,143.6,148.8,154.6,159.9,165.0,170.0,174.5,180.0,185.4,191.6,195.1,198.9,202.2,205.6,210.152,213.585,216.102,217.012,219.564,223.763,228.521,233.169,238.532,245.005,251.408,259.573,268.172,274.637,282.933
CWUR0200SAH2     ,CWUR0200SAH2     ,"Fuels and utilities in Midwest urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.2,64.4,73.4,83.3,92.7,101.7,105.6,107.6,105.8,104.7,105.2,108.0,109.8,112.5,114.6,118.3,118.2,117.8,122.7,126.6,125.5,125.8,137.1,146.6,138.1,152.8,161.2,177.5,184.9,193.265,212.613,195.931,203.486,208.287,204.812,211.082,222.951,215.824,215.422,223.855,223.858,222.48,223.569,242.89
CWUR0200SAH21    ,CWUR0200SAH21    ,"Household energy in Midwest urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0,62.3,73.3,83.6,93.1,102.2,104.8,106.1,101.8,99.2,98.9,100.3,99.8,101.1,102.6,106.4,104.4,103.2,108.7,111.2,109.0,108.9,120.0,129.1,119.4,133.8,141.4,157.4,164.0,171.489,189.849,170.826,176.809,180.077,174.273,178.644,189.06,179.337,176.678,183.604,182.152,179.272,178.667,197.041
CWUR0200SAH3     ,CWUR0200SAH3     ,"Household furnishings and operations in Midwest urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.5,80.5,86.1,92.6,97.9,100.4,101.7,103.5,104.5,105.7,107.6,110.0,111.5,114.2,116.1,116.7,118.1,119.8,120.9,122.0,123.9,122.4,121.6,121.9,120.7,117.7,115.6,116.5,116.5,117.138,118.977,120.304,116.95,116.833,117.697,116.277,115.66,114.36,112.552,111.144,112.136,113.35,115.134,121.709
CWUR0200SAH31    ,CWUR0200SAH31    ,"Household furnishings and supplies in Midwest urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 2009.12=100,2009-M12,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.844,98.582,99.286,97.708,96.819,95.524,93.674,92.067,92.585,93.217,94.635,100.134
CWUR0200SAM      ,CWUR0200SAM      ,"Medical care in Midwest urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.5,68.6,76.5,84.2,92.9,100.5,106.7,112.3,120.1,127.4,136.2,145.7,158.0,171.7,183.9,195.3,205.9,215.5,222.4,227.5,235.9,245.3,255.5,268.1,280.6,292.2,307.7,323.0,337.4,353.246,364.216,376.989,390.025,402.909,419.954,433.108,446.291,457.067,475.439,485.033,488.577,502.904,525.243,531.563
CWUR0200SAM1     ,CWUR0200SAM1     ,"Medical care commodities in Midwest urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.3,70.2,76.5,84.5,92.4,100.2,107.5,115.4,122.9,131.1,140.4,151.1,163.1,177.8,189.8,196.8,202.7,204.2,206.5,210.3,216.4,225.1,229.6,238.0,246.6,254.7,261.7,268.3,278.6,285.082,286.158,294.98,305.198,315.217,328.008,333.353,348.385,360.004,372.299,381.804,384.042,381.541,372.293,363.019
CWUR0200SAM2     ,CWUR0200SAM2     ,"Medical care services in Midwest urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.9,68.3,76.5,84.1,93.0,100.6,106.5,111.7,119.5,126.7,135.3,144.6,156.9,170.4,182.7,195.2,206.6,218.1,225.9,231.4,240.3,249.9,261.6,275.4,289.0,301.6,320.1,338.5,354.2,373.309,388.334,402.503,416.403,430.186,448.567,464.629,476.768,486.966,507.425,516.955,520.925,540.495,572.473,583.458
CWUR0200SAN      ,CWUR0200SAN      ,"Nondurables in Midwest urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.1,78.1,88.6,95.8,98.2,99.8,102.0,104.1,102.0,106.3,110.7,117.0,124.9,129.0,130.9,133.1,135.3,137.9,142.2,145.1,145.5,150.3,158.2,160.9,160.3,163.8,170.2,179.1,185.4,192.813,205.397,198.524,206.222,221.428,228.224,229.078,230.327,218.622,215.127,219.891,225.928,226.453,222.036,239.354
CWUR0200SANL1    ,CWUR0200SANL1    ,"Nondurables less food in Midwest urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.8,74.6,88.3,96.6,98.2,100.3,101.5,103.9,97.2,101.2,105.9,112.3,120.4,124.6,126.9,128.6,130.0,131.2,135.0,137.1,135.2,140.8,151.7,152.5,149.5,153.4,160.7,172.7,181.0,188.631,202.233,186.502,198.851,218.998,226.307,225.843,223.524,199.106,192.739,200.666,209.329,207.508,194.088,216.435
CWUR0200SANL11   ,CWUR0200SANL11   ,"Nondurables less food and beverages in Midwest urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.3,74.3,88.3,96.8,98.3,100.3,101.5,103.8,96.4,100.6,105.3,111.9,120.4,123.8,125.9,127.4,128.7,129.7,133.5,135.5,133.3,138.9,150.0,150.7,147.4,151.4,158.9,171.6,180.1,187.851,201.894,184.657,197.555,218.691,225.864,225.225,222.684,196.8,189.892,198.081,207.015,204.921,190.452,213.868
CWUR0200SANL113  ,CWUR0200SANL113  ,"Nondurables less food, beverages, and apparel in Midwest urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.9,70.8,87.4,96.8,98.3,100.2,101.5,103.6,94.4,99.3,103.1,111.6,122.0,125.4,127.6,129.2,130.8,133.1,139.1,141.3,138.7,148.7,167.8,169.8,167.2,175.4,187.7,208.3,223.8,236.644,258.542,229.988,251.345,284.325,292.159,290.318,285.891,246.317,236.256,248.415,262.205,259.46,239.982,277.496
