index,Index,Label,unit,start,last,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
CWURA421AA0      ,CWURA421AA0      ,"All items - old base in Los Angeles-Riverside-Orange County, CA, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1967=100,1914-M12,2017-M13,,29.4,30.9,35.7,42.6,50.1,58.7,55.1,53.6,54.1,54.3,54.5,53.0,52.0,51.2,51.1,49.4,44.5,40.1,37.9,38.2,39.4,39.8,42.1,41.5,41.2,41.2,43.4,48.7,51.1,52.0,53.6,57.7,65.1,69.8,69.6,70.1,76.0,78.2,78.9,78.8,78.8,80.0,82.7,85.5,86.9,88.5,89.6,90.6,92.0,93.7,95.7,97.5,100.0,103.9,108.8,114.3,118.5,122.3,129.2,142.5,157.6,168.0,179.6,192.5,215.1,250.2,275.0,291.1,293.5,301.9,314.8,323.7,336.7,351.6,369.1,389.8,405.1,419.5,429.1,434.4,441.5,449.5,456.0,461.1,471.5,486.9,502.9,517.2,532.8,551.4,575.9,599.8,619.612,643.561,636.149,645.541,665.156,678.683,686.322,695.303,699.361,709.687,729.136
CWURA421SA0      ,CWURA421SA0      ,"All items in Los Angeles-Riverside-Orange County, CA, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1914-M12,2017-M13,,9.9,10.5,12.1,14.4,17.0,19.9,18.6,18.1,18.3,18.4,18.4,17.9,17.6,17.3,17.3,16.7,15.1,13.6,12.8,12.9,13.3,13.5,14.2,14.0,13.9,13.9,14.7,16.5,17.3,17.6,18.1,19.5,22.0,23.6,23.6,23.7,25.7,26.5,26.7,26.7,26.7,27.1,28.0,28.9,29.4,29.9,30.3,30.7,31.1,31.7,32.4,33.0,33.8,35.2,36.8,38.7,40.1,41.4,43.7,48.2,53.3,56.8,60.8,65.1,72.8,84.7,93.1,98.5,99.3,102.2,106.5,109.5,114.0,119.0,124.9,131.9,137.1,142.0,145.2,147.0,149.4,152.1,154.3,156.0,159.6,164.8,170.2,175.0,180.3,186.6,194.9,203.0,209.661,217.765,215.257,218.435,225.072,229.649,232.234,235.273,236.646,240.14,246.721
CWURA421SA0E     ,CWURA421SA0E     ,"Energy in Los Angeles-Riverside-Orange County, CA, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2017-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.2,67.1,90.1,99.0,100.0,99.7,100.3,101.4,88.0,88.4,90.7,97.2,107.1,107.6,115.4,117.7,116.9,117.2,116.8,119.3,106.7,114.7,131.9,141.6,142.9,159.6,175.5,200.4,229.3,240.145,268.74,215.703,243.269,283.795,295.569,295.402,288.589,257.493,233.84,246.303
CWURA421SA0L1E   ,CWURA421SA0L1E   ,"All items less food and energy in Los Angeles-Riverside-Orange County, CA, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1982-M01,2017-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.7,99.1,102.2,107.4,112.9,118.2,123.9,129.6,136.4,142.2,147.0,150.2,152.0,154.0,156.7,158.2,161.0,164.4,168.7,173.1,178.2,182.1,187.5,194.8,201.7,207.777,213.41,215.429,216.388,218.737,222.343,225.359,229.04,233.234,239.923,246.512
CWURA421SA0L2    ,CWURA421SA0L2    ,"All items less shelter in Los Angeles-Riverside-Orange County, CA, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1975-M12,2017-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.3,63.1,67.1,74.6,83.8,91.2,96.7,99.7,103.5,107.1,108.6,112.2,116.7,122.5,129.0,134.2,139.7,143.8,146.1,149.3,152.2,154.2,154.7,157.5,162.3,166.5,169.1,172.9,177.2,183.5,189.7,193.244,201.016,196.502,201.628,210.197,214.54,215.933,217.377,214.849,214.33,217.909
CWURA421SA0L5    ,CWURA421SA0L5    ,"All items  less medical care in Los Angeles-Riverside-Orange County, CA, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1967-M01,2017-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.3,35.6,37.3,39.1,40.6,41.9,44.2,48.8,53.9,57.2,61.1,65.4,73.1,85.2,93.5,98.7,99.3,102.0,106.2,108.9,113.1,117.9,123.7,130.5,135.3,139.8,142.7,144.3,146.5,149.0,151.2,152.9,156.3,161.4,166.6,171.2,176.3,182.5,190.5,198.4,204.976,212.888,210.044,213.02,219.436,223.716,226.177,229.069,230.22,232.73,239.153
CWURA421SA0LE    ,CWURA421SA0LE    ,"All items less energy in Los Angeles-Riverside-Orange County, CA, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2017-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.5,73.4,84.1,92.5,98.4,99.3,102.4,107.0,111.9,117.1,122.4,128.3,135.1,140.7,145.4,148.7,150.8,153.4,156.3,158.5,161.6,164.7,168.9,174.0,178.9,183.0,188.6,195.3,201.8,208.15,214.515,216.43,217.483,221.178,225.085,227.938,231.902,236.213,242.16,248.283
CWURA421SAA      ,CWURA421SAA      ,"Apparel in Los Angeles-Riverside-Orange County, CA, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1952-M12,2017-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.9,49.1,49.1,50.0,51.1,51.2,51.8,53.0,53.1,53.2,53.9,54.7,55.2,56.1,58.3,61.4,63.9,66.7,68.8,69.9,71.8,76.9,79.5,81.2,84.4,87.1,91.5,97.3,100.7,99.0,99.6,101.4,105.0,107.2,111.9,114.0,118.8,126.1,130.8,133.6,132.4,130.0,126.8,126.0,120.9,121.7,117.2,116.4,111.7,108.7,106.0,105.6,105.1,105.2,104.136,105.67,106.148,105.558,107.979,109.029,107.697,108.134,104.908,105.85,102.904
CWURA421SAC      ,CWURA421SAC      ,"Commodities in Los Angeles-Riverside-Orange County, CA, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1967-M01,2017-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.7,40.0,41.4,42.8,44.1,45.6,48.6,54.0,59.4,62.2,65.8,69.9,78.0,87.9,94.3,97.5,100.1,102.3,104.0,103.1,106.0,109.3,114.8,120.8,124.9,130.3,132.7,133.7,135.9,138.9,140.1,140.4,143.1,147.1,149.7,150.7,153.5,156.7,161.8,166.2,169.308,176.169,169.537,174.06,183.532,187.396,185.79,185.017,180.679,176.579,179.127
CWURA421SACL1    ,CWURA421SACL1    ,"Commodities less food in Los Angeles-Riverside-Orange County, CA, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1967-M01,2017-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.3,42.8,44.1,45.4,47.0,48.1,49.7,54.3,60.2,64.0,67.2,70.2,78.2,89.1,95.2,97.8,100.2,102.0,103.4,100.3,102.1,105.1,110.0,115.4,119.3,125.2,126.7,126.6,127.6,129.7,129.0,127.5,130.3,134.6,134.4,133.7,135.1,136.7,142.0,146.7,147.634,152.968,144.022,149.475,158.896,162.184,158.806,155.104,147.476,141.166,143.085
