index,Index,Label,unit,start,last,1984-S1,1984-S2,1985-S1,1985-S2,1986-S1,1986-S2,1987-S1,1987-S2,1988-S1,1988-S2,1989-S1,1989-S2,1990-S1,1990-S2,1991-S1,1991-S2,1992-S1,1992-S2,1993-S1,1993-S2,1994-S1,1994-S2,1995-S1,1995-S2,1996-S1,1996-S2,1997-S1,1997-S2,1998-S1,1998-S2,1999-S1,1999-S2,2000-S1,2000-S2,2001-S1,2001-S2,2002-S1,2002-S2,2003-S1,2003-S2,2004-S1,2004-S2,2005-S1,2005-S2,2006-S1,2006-S2,2007-S1,2007-S2,2008-S1,2008-S2,2009-S1,2009-S2,2010-S1,2010-S2,2011-S1,2011-S2,2012-S1,2012-S2,2013-S1,2013-S2,2014-S1,2014-S2,2015-S1,2015-S2,2016-S1,2016-S2,2017-S1,2017-S2
CWUSD000AA0      ,CWUSD000AA0      ,"All items - old base in Size Class D (under 50,000), urban wage earners and clerical workers, not seasonally adjusted",Index base: 1977.12=100,1984-S01,2017-S03,165.3,169.7,172.3,174.7,174.5,175.0,178.0,181.6,184.4,188.6,192.9,196.4,202.2,208.7,211.7,214.6,216.5,220.0,223.0,226.3,228.7,232.9,237.2,240.6,245.2,249.1,251.3,252.9,254.1,256.6,259.0,263.0,267.5,270.9,275.0,274.7,275.5,279.1,282.2,282.6,286.3,290.9,296.5,304.9,309.0,313.0,316.865,322.752,332.346,334.898,327.215,334.113,337.722,339.539,349.327,353.953,359.362,361.513,364.273,365.876,370.754,372.044,368.411,370.82,371.224,374.693,378.057,381.194
CWUSD000SA0      ,CWUSD000SA0      ,"All items in Size Class D (under 50,000), urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2017-S03,102.3,105.0,106.6,108.1,108.0,108.3,110.1,112.4,114.1,116.7,119.4,121.5,125.1,129.2,131.0,132.8,133.9,136.1,138.0,140.0,141.5,144.1,146.7,148.9,151.7,154.2,155.5,156.5,157.3,158.8,160.2,162.7,165.5,167.6,170.2,169.9,170.5,172.7,174.6,174.8,177.2,180.0,183.5,188.6,191.2,193.7,196.06,199.702,205.639,207.217,202.464,206.732,208.965,210.089,216.146,219.008,222.354,223.685,225.393,226.385,229.403,230.202,227.953,229.444,229.694,231.841,233.922,235.863
CWUSD000SA0E     ,CWUSD000SA0E     ,"Energy in Size Class D (under 50,000), urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2017-S03,100.6,100.0,99.0,101.3,89.7,81.8,84.7,88.7,85.8,87.7,90.3,92.3,93.8,103.8,98.8,97.8,96.2,99.6,97.8,98.7,96.9,101.1,99.6,101.0,103.9,107.5,106.7,105.7,99.6,98.4,97.7,108.0,116.3,122.6,127.2,118.0,114.3,121.1,129.3,132.2,141.8,150.3,158.6,185.2,191.4,192.3,196.243,207.594,234.142,226.212,176.355,195.971,203.167,206.71,238.911,241.255,244.414,242.027,241.658,239.991,245.426,233.664,199.165,196.48,180.596,190.661,195.523,203.147
CWUSD000SA0L1    ,CWUSD000SA0L1    ,"All items less food in Size Class D (under 50,000), urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2017-S03,102.0,105.1,106.9,108.6,108.2,108.0,109.8,112.1,113.7,116.2,118.7,120.7,124.1,128.6,130.4,132.5,133.9,136.5,138.4,140.5,142.1,144.8,147.8,150.0,152.8,154.9,156.2,157.0,157.7,159.1,160.7,163.2,165.9,168.1,170.7,170.2,170.4,172.9,174.7,174.6,176.6,179.2,182.9,188.7,191.3,193.8,195.73,199.13,205.084,205.598,199.917,205.01,207.458,208.804,214.852,217.244,220.593,221.97,223.519,224.452,227.418,227.463,224.526,225.955,226.368,228.902,231.109,233.177
CWUSD000SA0L1E   ,CWUSD000SA0L1E   ,"All items less food and energy in Size Class D (under 50,000), urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2017-S03,102.2,106.0,108.1,109.8,111.5,112.9,114.5,116.5,119.0,121.6,124.1,126.1,129.9,133.3,136.3,139.1,141.0,143.4,146.0,148.3,150.5,153.0,156.7,159.2,162.0,163.8,165.4,166.6,168.5,170.5,172.4,173.4,175.2,176.6,178.8,179.8,181.0,182.7,183.4,182.8,183.3,184.9,187.6,189.5,191.7,194.5,196.08,198.146,200.477,202.492,204.636,207.166,208.773,209.73,211.135,213.542,216.832,218.915,220.826,222.246,224.871,227.005,229.645,231.806,235.094,236.346,238.107,239.231
CWUSD000SA0L2    ,CWUSD000SA0L2    ,"All items less shelter in Size Class D (under 50,000), urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2017-S03,103.7,104.9,106.0,107.1,106.5,106.5,108.5,110.9,112.5,115.2,118.0,120.1,123.9,127.8,129.7,131.3,132.4,134.6,136.1,138.0,139.1,141.6,143.8,145.5,148.2,150.6,151.9,152.5,153.0,154.5,155.7,158.5,161.5,163.7,166.3,165.5,165.6,167.8,169.8,170.2,172.9,176.2,180.1,186.0,188.5,190.2,192.48,196.458,203.114,204.213,196.963,203.135,206.12,207.245,214.798,218.595,221.657,222.324,224.136,225.25,227.959,227.463,222.854,223.545,222.341,223.698,225.302,226.767
CWUSD000SA0L5    ,CWUSD000SA0L5    ,"All items  less medical care in Size Class D (under 50,000), urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2017-S03,102.0,104.8,106.3,107.7,107.3,107.3,109.0,111.2,112.8,115.3,117.9,119.8,123.2,127.0,128.6,130.1,131.0,133.1,134.7,136.6,137.9,140.4,142.8,144.9,147.6,150.0,151.3,152.2,152.8,154.1,155.5,157.9,160.6,162.7,165.0,164.6,164.8,166.8,168.7,168.7,170.7,173.4,176.6,181.8,184.2,186.5,188.621,192.095,197.919,199.466,194.394,198.544,200.608,201.675,207.596,210.365,213.424,214.602,216.021,216.891,219.684,220.374,217.73,219.087,218.76,220.914,222.912,224.748
CWUSD000SA0LE    ,CWUSD000SA0LE    ,"All items less energy in Size Class D (under 50,000), urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2017-S03,102.5,105.6,107.5,109.0,110.5,112.1,113.8,115.8,118.2,120.9,123.6,125.8,129.7,132.9,135.6,137.8,139.4,141.4,143.8,146.0,148.0,150.3,153.5,155.8,158.6,160.9,162.5,163.8,165.6,167.5,169.3,170.5,172.5,174.0,176.2,177.4,178.6,180.1,181.2,181.1,182.2,184.1,186.8,188.6,190.8,193.6,195.698,198.263,201.163,204.145,206.063,208.057,209.546,210.308,212.458,215.393,218.678,220.587,222.617,224.022,226.775,229.41,231.883,233.982,236.588,237.599,239.281,240.407
CWUSD000SAA      ,CWUSD000SAA      ,"Apparel in Size Class D (under 50,000), urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2017-S03,101.1,103.4,104.7,106.0,105.2,106.3,103.4,107.0,110.5,112.7,114.9,114.8,120.1,122.6,125.7,127.8,130.2,131.6,133.1,133.8,133.2,134.8,134.1,136.4,134.2,133.6,134.0,134.5,135.1,135.7,135.6,135.2,134.6,132.4,134.9,129.7,127.9,126.7,124.4,122.5,119.8,118.1,121.1,122.5,121.1,121.6,120.91,119.199,116.298,115.359,116.215,118.177,117.644,116.432,114.216,122.422,122.55,121.68,121.41,124.916,125.038,125.457,124.706,124.033,122.683,124.536,125.622,119.902
CWUSD000SAC      ,CWUSD000SAC      ,"Commodities in Size Class D (under 50,000), urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2017-S03,102.5,104.1,105.2,105.9,104.1,103.5,105.3,108.0,109.5,112.1,115.2,117.0,120.3,124.1,125.2,125.8,126.4,128.2,129.2,130.2,130.5,132.9,134.5,135.6,137.8,140.2,141.0,140.9,140.2,141.3,142.5,145.5,148.9,149.8,151.2,148.8,147.7,148.9,150.3,149.3,152.3,155.2,159.1,164.5,165.9,166.1,167.843,171.466,178.463,177.024,167.463,174.197,177.837,177.987,187.697,191.219,193.908,192.789,193.633,193.702,195.847,194.097,186.965,186.748,183.37,184.428,186.142,186.363
