index,Index,Label,unit,start,last,1984-S1,1984-S2,1985-S1,1985-S2,1986-S1,1986-S2,1987-S1,1987-S2,1988-S1,1988-S2,1989-S1,1989-S2,1990-S1,1990-S2,1991-S1,1991-S2,1992-S1,1992-S2,1993-S1,1993-S2,1994-S1,1994-S2,1995-S1,1995-S2,1996-S1,1996-S2,1997-S1,1997-S2,1998-S1,1998-S2,1999-S1,1999-S2,2000-S1,2000-S2,2001-S1,2001-S2,2002-S1,2002-S2,2003-S1,2003-S2,2004-S1,2004-S2,2005-S1,2005-S2,2006-S1,2006-S2,2007-S1,2007-S2,2008-S1,2008-S2,2009-S1,2009-S2,2010-S1,2010-S2,2011-S1,2011-S2,2012-S1,2012-S2,2013-S1,2013-S2,2014-S1,2014-S2,2015-S1,2015-S2,2016-S1,2016-S2,2017-S1,2017-S2,2018-S1,2018-S2,2019-S1,2019-S2,2020-S1,2020-S2,2021-S1,2021-S2
CWUS0200AA0      ,CWUS0200AA0      ,"All items - old base in Midwest urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1977.12=100,1984-S01,2021-S03,164.6,167.9,169.3,171.5,171.4,172.5,175.9,180.1,182.3,187.2,191.4,195.0,199.7,205.6,209.0,211.9,214.2,217.6,220.6,223.2,225.8,230.1,233.6,236.1,240.1,243.9,246.8,248.6,250.3,252.3,254.7,259.1,264.3,268.3,273.4,272.9,273.9,277.2,280.1,281.2,285.2,289.2,293.4,300.6,303.5,305.0,309.846,314.993,323.79,325.534,318.836,324.668,328.246,330.564,339.2,343.666,347.466,349.897,353.005,353.391,358.153,358.049,353.433,355.24,354.723,357.72,360.744,363.167,368.517,370.63,372.947,376.649,375.855,381.002,392.011,408.927
CWUS0200SA0      ,CWUS0200SA0      ,"All items in Midwest urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2021-S03,101.8,103.8,104.7,106.0,106.0,106.7,108.8,111.3,112.7,115.7,118.4,120.6,123.5,127.2,129.2,131.0,132.5,134.5,136.4,138.0,139.6,142.3,144.4,146.0,148.5,150.8,152.6,153.7,154.8,156.0,157.5,160.2,163.4,165.9,169.0,168.7,169.4,171.4,173.2,173.9,176.3,178.8,181.4,185.9,187.7,188.6,191.591,194.774,200.214,201.292,197.15,200.756,202.969,204.402,209.742,212.504,214.853,216.357,218.278,218.517,221.462,221.397,218.543,219.661,219.341,221.194,223.064,224.562,227.87,229.177,230.609,232.898,232.408,235.591,242.398,252.858
CWUS0200SA0E     ,CWUS0200SA0E     ,"Energy in Midwest urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2021-S03,100.7,102.1,101.1,103.8,91.7,84.9,87.2,91.9,87.8,91.2,93.9,95.6,96.3,106.1,100.6,100.2,97.6,101.2,100.4,100.6,98.5,102.5,100.7,100.2,105.3,109.8,108.9,107.9,102.0,99.5,98.9,110.4,122.1,128.8,137.0,119.8,114.7,123.4,133.9,136.5,146.3,155.3,162.2,190.6,194.4,189.8,200.181,212.299,237.334,228.96,177.869,194.677,205.427,210.111,242.065,242.264,243.349,243.324,246.372,237.634,248.408,233.395,196.941,195.182,177.667,187.845,193.814,200.707,209.183,209.573,202.022,205.27,181.725,184.426,214.409,241.458
CWUS0200SA0L1    ,CWUS0200SA0L1    ,"All items less food in Midwest urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2021-S03,101.8,103.9,104.8,106.5,106.0,106.1,108.2,111.1,112.4,115.3,117.8,120.0,122.4,126.3,128.3,130.4,131.9,134.4,136.2,137.8,139.5,142.3,144.4,146.0,148.5,150.5,152.4,153.4,154.4,155.5,156.9,159.9,163.3,165.8,169.0,168.2,168.7,171.0,172.8,173.3,175.6,178.1,180.7,185.6,187.4,188.1,190.939,193.947,199.39,199.316,194.225,198.628,201.001,202.43,207.837,210.159,212.412,213.955,215.921,216.07,218.886,218.122,214.581,215.618,215.273,217.561,219.637,221.148,224.758,226.163,227.389,229.824,228.462,231.666,238.957,249.267
CWUS0200SA0L1E   ,CWUS0200SA0L1E   ,"All items less food and energy in Midwest urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2021-S03,101.9,104.3,105.4,107.0,108.7,110.3,112.4,115.0,117.2,120.1,122.6,124.8,127.6,130.5,133.8,136.3,138.6,140.8,143.1,145.0,147.3,150.0,152.7,154.7,156.7,158.4,160.7,162.1,164.3,166.0,167.8,169.3,171.2,173.0,175.3,177.4,179.1,180.5,181.0,181.2,182.3,183.8,185.7,187.0,188.5,190.1,191.774,193.42,195.938,197.13,198.997,201.56,202.764,203.742,205.399,208.053,210.389,212.192,214.017,215.53,217.228,218.59,219.936,221.405,223.66,224.869,226.426,227.2,230.09,231.668,234.244,236.588,238.185,241.505,245.986,254.303
CWUS0200SA0L2    ,CWUS0200SA0L2    ,"All items less shelter in Midwest urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2021-S03,103.3,104.5,105.7,106.8,106.1,106.4,108.4,110.9,112.0,115.1,118.0,120.1,123.1,126.7,128.8,130.4,131.6,133.7,135.4,136.8,138.1,140.8,142.7,143.8,146.2,148.7,150.2,150.8,151.5,152.3,153.6,156.6,159.9,162.2,165.6,164.3,164.0,166.0,167.7,168.3,170.9,173.6,176.5,182.0,184.0,184.3,187.651,191.306,197.927,199.264,193.08,197.432,200.499,202.195,208.894,212.083,214.592,215.827,217.535,217.004,220.131,219.15,214.279,214.83,213.153,214.538,215.957,216.865,219.758,220.144,220.457,222.358,220.607,223.99,231.818,243.422
CWUS0200SA0L5    ,CWUS0200SA0L5    ,"All items  less medical care in Midwest urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2021-S03,101.6,103.6,104.4,105.7,105.4,105.9,107.9,110.5,111.7,114.6,117.2,119.3,122.0,125.5,127.4,129.0,130.2,132.2,133.8,135.3,136.8,139.3,141.3,142.8,145.1,147.5,149.2,150.3,151.3,152.3,153.7,156.4,159.5,161.9,164.8,164.4,164.8,166.7,168.3,168.9,171.1,173.4,175.8,180.2,181.8,182.5,185.305,188.305,193.698,194.722,190.213,193.719,195.738,197.064,202.286,204.946,207.022,208.301,210.064,210.129,212.893,212.651,209.452,210.482,209.724,211.25,213.041,214.56,217.951,219.182,220.425,222.282,221.272,224.283,231.28,242.246
CWUS0200SA0LE    ,CWUS0200SA0LE    ,"All items less energy in Midwest urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2021-S03,101.9,104.0,105.1,106.4,108.2,110.0,112.1,114.5,116.6,119.6,122.2,124.5,127.7,130.5,133.7,135.8,137.8,139.7,141.9,143.7,145.8,148.3,151.0,152.9,154.9,157.0,159.2,160.6,162.7,164.4,166.2,167.7,169.7,171.5,174.0,176.1,177.7,178.9,179.6,180.1,181.5,183.2,185.2,186.6,188.2,189.8,191.898,193.973,196.984,199.261,201.005,202.973,204.185,205.24,207.433,210.522,212.925,214.638,216.429,217.831,219.897,221.68,222.956,224.439,226.26,227.14,228.539,229.409,232.056,233.49,236.088,238.272,240.387,243.656,248.015,256.781
CWUS0200SAA      ,CWUS0200SAA      ,"Apparel in Midwest urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2021-S03,100.6,102.7,104.0,105.7,103.8,105.9,106.4,111.5,113.8,117.2,117.3,119.1,121.9,124.0,125.2,128.2,128.0,129.3,129.9,130.6,130.9,131.0,129.6,130.2,130.1,128.0,131.5,129.9,129.0,129.3,127.6,126.1,124.0,123.0,122.8,121.0,118.7,116.8,114.3,114.9,113.5,114.2,113.5,111.9,109.7,108.6,109.124,107.617,108.886,110.233,109.248,111.327,110.388,109.259,109.436,115.154,117.235,118.021,118.196,119.981,119.287,120.455,116.02,117.559,115.256,114.427,115.71,116.616,117.926,115.377,114.98,116.304,110.114,107.33,110.651,110.014
CWUS0200SAC      ,CWUS0200SAC      ,"Commodities in Midwest urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2021-S03,102.0,102.8,103.5,104.3,102.5,102.2,104.5,107.0,108.1,111.0,113.7,115.7,118.7,122.5,123.7,124.8,125.4,127.2,128.5,129.2,130.2,132.8,134.2,134.8,137.1,138.9,140.0,139.9,139.8,140.1,141.3,143.8,147.1,148.0,150.1,148.3,146.9,147.5,148.3,147.2,149.5,151.3,154.3,158.6,160.4,160.2,162.733,166.345,172.972,171.913,164.951,169.761,172.737,173.579,182.13,185.13,188.202,188.157,189.143,187.475,189.903,187.536,180.725,180.855,177.601,177.651,178.939,179.499,182.642,182.256,182.382,183.538,180.126,183.002,191.954,205.514
CWUS0200SACE     ,CWUS0200SACE     ,"Energy commodities in Midwest urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2021-S03,99.3,97.7,97.0,100.1,82.2,70.5,77.7,84.1,79.7,82.8,88.7,90.8,94.2,112.1,101.1,99.3,95.0,98.7,96.6,94.2,93.4,100.9,99.1,97.1,104.9,109.0,107.6,104.9,95.6,91.4,92.6,109.4,131.5,131.8,139.1,118.9,114.7,125.6,138.6,138.3,158.5,167.8,181.6,217.9,229.2,224.3,237.076,260.419,302.506,271.166,190.211,225.709,244.213,249.108,315.817,310.494,324.124,318.883,323.798,304.361,318.522,284.125,218.041,215.203,184.442,197.82,209.233,219.393,240.751,240.321,229.394,234.579,189.644,189.784,244.958,283.522
CWUS0200SACL1    ,CWUS0200SACL1    ,"Commodities less food in Midwest urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2021-S03,101.9,102.6,103.3,104.3,100.8,98.7,101.1,104.4,105.0,107.7,110.2,111.8,113.9,118.4,118.9,120.3,120.7,123.2,124.2,124.4,125.2,128.4,129.1,129.3,131.5,132.3,133.2,132.4,131.4,131.3,132.0,135.1,138.8,139.0,140.9,137.3,135.0,135.8,136.1,133.8,135.6,137.2,140.3,145.5,147.2,146.1,148.105,151.465,158.484,154.089,144.037,151.0,154.538,155.146,164.785,166.902,170.042,169.54,170.278,167.755,169.729,164.901,155.035,154.589,150.158,150.553,152.079,152.32,155.961,155.234,154.477,155.539,149.52,152.244,162.554,176.356
CWUS0200SACL11   ,CWUS0200SACL11   ,"Commodities less food and beverages in Midwest urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2021-S03,101.9,102.6,103.2,104.3,100.4,98.4,100.8,104.1,104.7,107.4,109.9,111.4,113.6,118.1,118.2,119.6,119.9,122.4,123.3,123.4,124.2,127.5,128.1,128.3,130.5,131.2,132.1,131.2,130.1,130.0,130.6,133.7,137.4,137.5,139.5,135.7,133.3,134.1,134.3,132.0,133.8,135.4,138.5,143.9,145.5,144.3,146.246,149.655,156.751,152.119,141.636,148.703,152.273,152.898,162.723,164.756,167.815,167.289,167.993,165.39,167.38,162.406,152.291,151.822,147.219,147.607,149.123,149.326,152.985,152.232,151.397,152.458,146.287,148.983,159.432,173.444
CWUS0200SACL1E   ,CWUS0200SACL1E   ,"Commodities less food and energy commodities in Midwest urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2021-S03,102.5,103.7,104.6,105.2,105.6,106.3,107.6,110.2,112.0,114.6,116.3,117.8,119.7,121.2,124.4,126.5,128.0,130.3,132.0,132.8,133.9,136.1,137.4,138.1,139.1,139.1,140.6,140.2,141.0,141.8,142.4,142.7,142.6,142.8,143.6,143.4,141.9,141.0,139.2,136.5,135.3,135.7,137.1,137.2,137.4,136.9,137.187,137.334,138.785,138.692,139.999,142.461,143.794,143.771,145.026,148.294,149.233,149.557,149.579,149.973,150.192,150.096,149.207,149.142,148.953,147.28,147.267,145.927,146.594,145.788,146.811,147.179,146.156,149.232,154.064,164.931
CWUS0200SAD      ,CWUS0200SAD      ,"Durables in Midwest urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2021-S03,102.4,103.3,103.6,102.9,103.0,102.6,103.4,104.7,105.3,106.8,108.0,108.1,108.6,108.7,110.5,111.6,112.7,114.5,115.6,118.0,119.6,122.2,124.9,125.0,126.0,126.0,126.0,124.5,124.8,124.3,123.1,122.9,122.5,122.2,122.5,121.3,118.9,117.4,115.6,111.6,109.9,109.9,111.5,111.1,111.0,110.2,109.426,109.354,109.789,107.92,106.674,107.465,109.322,109.638,110.826,113.001,112.86,112.274,111.854,111.197,110.908,110.108,109.652,108.754,108.184,105.831,105.212,102.989,103.404,102.833,103.719,103.395,103.43,107.711,112.798,126.177
CWUS0200SAE      ,CWUS0200SAE      ,"Education and communication in Midwest urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,1998-S01,2021-S03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.6,101.7,102.1,103.6,104.3,104.7,105.5,107.7,108.4,110.4,110.1,110.7,111.3,111.9,112.2,113.3,114.9,116.7,117.779,119.371,120.713,123.063,124.045,125.901,126.133,127.687,127.181,128.3,129.227,129.87,130.399,131.145,132.183,132.592,131.733,132.189,132.341,132.12,128.947,127.371,127.591,127.761,127.117,127.66,129.043,130.927,131.18,131.848
CWUS0200SAEC     ,CWUS0200SAEC     ,"Education and communication commodities in Midwest urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 2009.12=100,2010-S01,2021-S03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.384,100.539,100.325,97.559,95.681,94.754,93.51,92.559,92.355,89.478,86.717,85.829,83.754,82.263,80.606,78.628,77.306,76.172,76.755,76.717,76.167,73.656,69.905,70.545
CWUS0200SAES     ,CWUS0200SAES     ,"Education and communication services in Midwest urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 2009.12=100,2010-S01,2021-S03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.604,101.067,100.646,101.943,102.973,103.646,104.254,105.02,105.946,106.604,106.14,106.631,107.006,106.99,104.383,103.227,103.584,103.881,103.233,103.721,104.985,106.884,107.485,108.004
CWUS0200SAF      ,CWUS0200SAF      ,"Food and beverages in Midwest urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2021-S03,102.1,103.1,104.2,104.5,106.3,108.8,111.1,112.3,114.1,117.6,120.7,123.1,127.9,130.4,133.6,134.1,135.2,135.9,137.7,139.2,140.8,142.4,145.0,146.4,148.8,152.4,153.8,155.2,156.9,158.4,160.6,162.0,164.3,166.7,169.2,171.7,172.9,173.1,174.9,176.9,179.9,182.2,184.9,186.4,188.5,190.6,194.507,198.455,203.757,210.949,212.341,211.784,213.127,214.46,219.219,224.468,227.301,228.5,230.144,230.998,234.749,238.411,239.366,240.858,240.575,239.763,240.373,241.792,243.163,243.811,246.521,247.808,252.463,255.488,259.127,269.731
CWUS0200SAF1     ,CWUS0200SAF1     ,"Food in Midwest urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2021-S03,102.1,103.0,104.3,104.3,106.0,108.8,111.0,112.2,114.0,117.6,120.8,123.2,128.2,130.7,133.2,133.6,134.5,135.1,136.8,138.4,140.0,141.6,144.3,145.6,148.0,151.8,153.1,154.5,156.3,157.8,159.9,161.3,163.6,166.0,168.5,170.9,172.1,172.2,174.1,176.1,179.1,181.4,184.2,185.8,187.8,189.9,193.877,198.0,203.381,210.855,212.022,211.169,212.431,213.877,218.772,224.065,226.815,228.043,229.654,230.458,234.31,238.109,239.064,240.62,240.16,239.263,239.809,241.201,242.523,243.178,245.89,247.201,252.093,255.088,258.788,269.962
