index,Index,Label,unit,start,last,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
CWUR0400AA0      ,CWUR0400AA0      ,"All items - old base in West urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1977.12=100,1966-M12,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.9,55.9,58.7,61.7,63.8,65.9,69.7,77.1,85.1,90.2,96.9,105.1,117.6,135.0,149.0,157.9,159.3,165.5,172.7,176.2,182.1,189.3,198.3,208.8,217.5,224.8,231.0,236.1,242.2,248.6,254.1,258.1,265.0,274.2,283.9,289.3,295.6,302.5,312.1,322.4,332.504,344.823,342.307,347.196,358.113,365.584,370.538,376.814,379.387,385.596,396.46,410.501,421.167,428.737,450.66
CWUR0400SA0      ,CWUR0400SA0      ,"All items in West urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1966-M12,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.5,34.7,36.5,38.3,39.7,41.0,43.3,47.9,52.9,56.1,60.2,65.3,73.1,83.9,92.6,98.1,99.0,102.9,107.3,109.5,113.2,117.7,123.2,129.8,135.2,139.7,143.6,146.8,150.5,154.5,158.0,160.5,164.7,170.4,176.4,179.8,183.7,188.0,194.0,200.4,206.66,214.316,212.752,215.791,222.577,227.22,230.299,234.2,235.798,239.658,246.41,255.137,261.766,266.471,280.097
CWUR0400SA0E     ,CWUR0400SA0E     ,"Energy in West urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.8,64.6,87.9,98.1,100.3,98.9,100.8,102.3,88.3,88.7,90.5,96.4,104.9,105.0,109.6,111.6,112.4,113.5,115.2,116.6,107.9,115.3,132.1,141.8,137.6,154.3,169.5,195.3,217.9,231.157,259.139,212.272,237.393,273.592,282.427,279.669,277.076,240.773,223.602,239.059,266.598,270.016,248.151,300.905
CWUR0400SA0L1    ,CWUR0400SA0L1    ,"All items less food in West urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.4,72.0,83.7,92.6,98.4,98.9,102.7,107.7,109.6,113.3,117.7,122.9,129.3,135.0,140.0,144.0,147.1,150.9,154.7,157.8,159.9,164.4,170.5,176.4,179.6,183.4,187.2,193.5,200.5,206.323,213.427,211.274,214.76,221.239,225.734,228.824,232.291,233.293,237.52,244.909,254.377,261.085,264.522,278.26
CWUR0400SA0L1E   ,CWUR0400SA0L1E   ,"All items less food and energy in West urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.1,73.0,83.2,92.0,98.2,98.8,103.0,108.3,112.8,117.2,122.0,127.2,133.4,139.7,144.9,149.1,152.5,156.7,160.8,164.1,167.5,171.7,176.5,182.0,186.1,188.3,190.9,195.0,200.3,205.31,210.095,213.013,214.071,217.239,221.28,225.059,229.298,234.301,240.843,247.394,254.945,262.065,268.004,278.096
CWUR0400SA0L2    ,CWUR0400SA0L2    ,"All items less shelter in West urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.5,73.7,82.9,90.7,96.4,99.7,103.9,107.2,108.2,111.5,115.9,121.6,127.9,132.9,137.4,141.3,144.3,148.0,151.8,154.7,155.8,159.2,164.4,168.9,170.6,174.3,178.4,184.5,190.4,195.34,203.019,199.918,205.477,213.887,218.24,219.949,222.092,220.11,220.222,223.875,230.702,234.324,237.078,252.52
CWUR0400SA0L5    ,CWUR0400SA0L5    ,"All items  less medical care in West urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.6,73.3,84.4,93.1,98.4,98.9,102.7,107.0,108.8,112.3,116.5,121.8,128.1,133.1,137.3,140.8,143.8,147.4,151.3,154.5,156.9,161.0,166.5,172.3,175.4,179.0,183.1,188.8,194.9,200.864,208.277,206.263,208.973,215.563,219.876,222.79,226.503,227.752,231.154,237.797,246.31,252.498,256.257,270.153
CWUR0400SA0LE    ,CWUR0400SA0LE    ,"All items less energy in West urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.8,73.9,83.5,92.1,98.0,99.0,103.1,107.9,112.0,116.3,121.0,126.6,133.0,139.0,143.5,147.6,151.0,155.1,159.3,162.9,166.6,170.6,175.1,180.9,185.0,187.6,190.9,194.9,199.9,205.551,211.319,214.078,215.04,219.102,223.378,227.024,231.588,236.624,242.399,248.375,255.424,262.382,269.263,279.848
CWUR0400SAA      ,CWUR0400SAA      ,"Apparel in West urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1966-M12,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.1,55.9,58.5,60.9,62.8,64.2,66.2,70.9,73.9,76.3,79.1,82.1,86.1,92.4,96.9,98.7,99.6,101.7,105.0,105.7,109.7,112.8,114.6,119.3,124.4,126.9,126.2,126.0,124.8,126.1,124.1,123.3,122.4,121.0,118.5,115.4,112.9,112.8,110.7,112.4,112.98,113.347,113.998,112.247,114.504,118.835,119.242,119.387,118.55,119.722,119.034,119.848,117.86,114.656,118.392
CWUR0400SAC      ,CWUR0400SAC      ,"Commodities in West urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.8,76.9,86.2,93.2,97.2,99.8,103.0,105.4,104.0,106.9,110.5,116.0,121.9,125.6,129.2,131.8,133.7,136.4,140.1,142.0,142.1,145.4,149.8,151.9,151.3,153.6,156.8,161.7,165.9,169.864,176.484,170.103,175.074,184.211,187.961,187.486,187.85,183.202,180.383,183.242,188.814,191.309,192.983,209.447
