index,Index,Label,unit,start,last,1997-S1,1997-S2,1998-S1,1998-S2,1999-S1,1999-S2,2000-S1,2000-S2,2001-S1,2001-S2,2002-S1,2002-S2,2003-S1,2003-S2,2004-S1,2004-S2,2005-S1,2005-S2,2006-S1,2006-S2,2007-S1,2007-S2,2008-S1,2008-S2,2009-S1,2009-S2,2010-S1,2010-S2,2011-S1,2011-S2,2012-S1,2012-S2,2013-S1,2013-S2,2014-S1,2014-S2,2015-S1,2015-S2,2016-S1,2016-S2,2017-S1,2017-S2
CWUSA311SA0      ,CWUSA311SA0      ,"All items in Washington-Baltimore, DC-MD-VA-WV, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1996.11=100,1997-S01,2017-S03,100.6,100.9,101.3,102.5,103.1,104.9,106.5,108.5,109.5,111.0,111.6,113.5,115.1,116.4,117.8,120.2,122.4,125.8,127.2,129.4,131.245,134.472,138.049,139.892,137.808,140.641,141.731,142.75799999999995,146.899,148.244,150.154,151.6,152.338,153.675,154.986,155.317,154.704,155.719,156.49200000000005,157.27200000000005,158.627,159.561
CWUSA311SA0E     ,CWUSA311SA0E     ,"Energy in Washington-Baltimore, DC-MD-VA-WV, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1996.11=100,1997-S01,2017-S03,102.0,103.7,94.9,97.5,93.3,106.9,113.0,121.8,117.7,111.3,104.5,113.2,118.4,121.4,126.4,137.7,140.3,165.5,165.5,172.5,173.872,201.207,220.47299999999998,221.77599999999998,181.077,198.829,200.127,201.649,228.44799999999998,226.00599999999997,230.327,228.165,228.465,228.997,231.13,218.253,189.048,187.69299999999998,177.324,186.738,192.9,197.142
CWUSA311SA0L1E   ,CWUSA311SA0L1E   ,"All items less food and energy in Washington-Baltimore, DC-MD-VA-WV, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1996.11=100,1997-S01,2017-S03,100.8,100.8,102.0,103.2,104.1,105.3,106.5,107.7,109.2,111.3,112.6,114.0,115.3,116.0,116.7,118.4,120.8,122.1,124.0,126.0,127.85799999999999,128.517,130.783,132.46,133.85299999999998,135.35299999999998,136.48,137.701,139.561,141.159,143.226,144.95,145.779,147.188,148.256,149.532,150.874,152.08,153.816,153.988,155.131,155.725
CWUSA311SA0L2    ,CWUSA311SA0L2    ,"All items less shelter in Washington-Baltimore, DC-MD-VA-WV, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,1998-S01,2017-S03,,,100.7,101.6,102.1,104.0,105.6,107.3,107.7,108.6,108.4,109.9,111.0,111.9,112.9,115.3,116.8,121.1,121.5,122.8,123.898,128.03,131.906,133.195,128.518,132.336,133.768,134.251,139.403,140.41299999999998,141.741,142.445,142.849,144.155,145.236,144.6,142.61,143.197,143.586,144.142,145.35399999999996,145.905
CWUSA311SA0L5    ,CWUSA311SA0L5    ,"All items  less medical care in Washington-Baltimore, DC-MD-VA-WV, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1996.11=100,1997-S01,2017-S03,100.6,100.9,101.2,102.4,103.0,104.8,106.4,108.4,109.4,110.9,111.5,113.4,115.0,116.2,117.6,120.1,122.2,125.7,127.0,129.4,131.165,134.329,137.886,139.77100000000002,137.55700000000002,140.46,141.344,142.291,146.457,147.768,149.561,150.94,151.536,152.73,154.124,154.51,153.58,154.394,155.067,155.813,157.015,157.92600000000004
CWUSA311SA0LE    ,CWUSA311SA0LE    ,"All items less energy in Washington-Baltimore, DC-MD-VA-WV, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,1998-S01,2017-S03,,,101.4,102.4,103.5,104.3,105.7,106.9,108.4,110.4,111.8,113.1,114.4,115.5,116.7,118.2,120.4,121.9,123.6,125.4,127.37899999999999,128.461,130.763,132.688,133.983,135.279,136.281,137.467,139.744,141.403,143.339,144.96200000000005,145.798,147.10399999999996,148.329,149.575,150.871,152.034,153.548,153.76,154.789,155.499
CWUSA311SAA      ,CWUSA311SAA      ,"Apparel in Washington-Baltimore, DC-MD-VA-WV, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1996.11=100,1997-S01,2017-S03,100.7,97.5,100.5,98.1,97.7,98.1,98.5,96.3,97.1,99.3,94.4,91.6,91.3,90.5,86.3,87.3,91.5,92.7,92.6,92.9,93.414,92.03299999999999,91.67200000000001,93.354,94.714,92.897,91.928,90.70700000000001,98.008,98.133,100.181,99.995,94.973,97.535,96.35,97.92399999999999,96.507,94.771,103.185,106.51,106.071,106.929
CWUSA311SAC      ,CWUSA311SAC      ,"Commodities in Washington-Baltimore, DC-MD-VA-WV, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,1998-S01,2017-S03,,,100.5,100.4,101.4,102.9,105.6,106.5,107.1,107.1,106.7,107.6,108.7,108.6,110.3,111.8,113.7,117.4,117.9,117.6,119.135,120.93700000000001,125.59299999999999,124.428,117.965,122.04799999999999,123.765,123.69200000000001,131.537,132.101,133.651,133.37,133.40200000000002,133.29,134.356,132.985,129.339,128.601,128.15,128.445,129.34799999999998,129.417
CWUSA311SACL1    ,CWUSA311SACL1    ,"Commodities less food in Washington-Baltimore, DC-MD-VA-WV, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,1998-S01,2017-S03,,,100.4,100.2,100.9,103.3,106.7,107.2,107.1,106.4,104.6,105.6,106.7,104.9,105.6,107.1,109.4,114.1,114.1,113.1,114.12100000000001,115.257,120.68299999999999,117.632,108.573,114.226,116.598,116.006,125.34100000000001,125.195,126.986,126.001,125.587,125.045,125.595,123.02,117.1,115.535,114.67200000000001,114.898,116.007,115.49600000000001
CWUSA311SACL11   ,CWUSA311SACL11   ,"Commodities less food and beverages in Washington-Baltimore, DC-MD-VA-WV, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,1998-S01,2017-S03,,,100.4,100.2,100.9,103.5,107.0,107.6,107.3,106.3,104.3,105.4,106.5,104.7,105.3,106.8,109.2,114.0,114.0,113.0,113.82,115.005,120.589,117.41799999999999,108.045,113.788,116.296,115.62100000000001,125.28399999999999,125.069,126.825,125.785,125.26299999999999,124.63799999999999,125.15700000000001,122.39299999999999,116.13600000000001,114.49700000000001,113.56,113.785,114.883,114.38
