index,Index,Label,unit,start,last,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
CWUR0000SA311    ,CWUR0000SA311    ,"Apparel less footwear in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1947-M01,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.8,50.7,48.3,47.4,51.2,50.7,50.2,49.9,49.5,50.0,50.4,50.3,50.4,50.9,51.2,51.2,51.7,52.2,52.6,53.5,55.6,58.8,62.3,64.7,66.7,68.0,70.4,75.5,78.2,80.6,83.8,85.9,88.2,93.0,96.8,98.1,100.3,101.5,104.4,104.6,109.4,114.0,116.3,121.8,125.9,128.9,130.4,129.8,128.0,127.6,128.6,127.8,126.6,124.9,122.5,119.3,116.0,116.3,114.2,113.7,113.31,113.066,113.666,112.22,115.044,119.616,119.943,119.367,117.467,117.424,116.922,117.418,115.17,108.829,110.95
CWUR0000SAA      ,CWUR0000SAA      ,"Apparel in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1913-M13,2022-M02,15.0,15.1,15.4,16.9,20.3,27.5,36.4,43.3,33.4,27.2,27.2,26.9,26.4,26.0,25.5,25.1,24.8,24.3,22.1,19.6,18.9,20.7,20.9,21.1,22.1,22.0,21.7,21.9,23.0,26.8,28.0,30.0,31.5,34.6,40.1,42.7,41.0,40.5,44.1,43.7,43.3,43.3,43.1,44.0,44.7,44.8,45.2,45.9,46.3,46.6,47.1,47.5,48.0,49.2,51.2,54.0,57.1,59.5,61.4,62.7,65.0,69.8,72.9,75.6,79.0,81.7,85.2,90.9,95.6,97.8,100.2,102.0,105.0,105.8,110.4,114.9,117.9,123.1,127.4,130.7,132.4,132.2,130.9,130.9,132.1,131.6,130.1,128.3,126.1,123.1,120.0,120.0,119.1,119.1,118.518,118.735,119.847,118.733,121.293,125.787,126.786,126.622,125.331,125.349,124.887,125.374,123.691,117.809,120.67
CWUR0000SAA1     ,CWUR0000SAA1     ,"Men's and boys' apparel in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1935-M13,2022-M02,,,,,,,,,,,,,,,,,,,,,,,20.8,21.0,22.2,22.1,21.7,22.1,23.2,27.0,28.3,29.6,30.9,35.0,41.5,43.8,42.7,42.5,46.0,46.2,45.8,45.6,45.1,45.8,46.5,46.3,46.2,47.1,47.7,47.9,48.6,49.2,49.8,51.2,53.0,56.0,59.6,62.1,63.8,64.6,67.0,72.3,75.4,78.0,81.6,83.5,85.6,89.5,94.3,97.5,100.2,102.3,105.1,105.9,108.5,112.8,116.1,119.4,123.1,125.6,126.8,125.8,125.9,127.4,129.9,131.4,131.2,129.7,125.8,121.7,117.5,117.3,115.6,114.0,112.224,113.49,114.34,111.811,114.971,120.451,122.421,121.473,120.393,119.497,117.511,119.706,120.025,114.83,118.146
CWUR0000SAA2     ,CWUR0000SAA2     ,"Women's and girls' apparel in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1935-M13,2022-M02,,,,,,,,,,,,,,,,,,,,,,,29.5,29.8,31.2,31.1,30.6,30.9,32.3,37.3,39.0,42.0,44.2,47.5,55.0,58.3,55.1,53.2,57.3,56.6,56.0,55.5,55.0,55.4,55.7,55.6,55.9,56.1,56.3,56.2,56.7,57.0,57.5,58.6,61.3,64.9,68.4,71.1,73.6,75.4,78.0,82.6,84.6,86.9,89.7,91.3,92.7,94.9,97.8,98.6,100.3,101.1,104.9,103.8,110.3,114.5,115.5,121.5,126.0,128.9,130.4,129.2,125.4,123.6,124.9,123.9,121.3,119.3,117.3,114.6,112.1,112.8,110.4,110.3,110.202,107.489,107.602,106.36,108.733,112.541,112.479,112.479,109.6,110.013,109.878,108.817,104.981,98.095,99.009
CWUR0000SEAA     ,CWUR0000SEAA     ,"Men's apparel in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.2,85.7,89.1,94.1,97.7,100.2,102.1,105.1,106.1,110.0,114.6,118.6,122.5,126.4,128.6,129.5,129.1,128.7,131.0,133.7,135.3,135.2,133.8,129.7,126.2,122.5,121.8,121.4,120.3,118.739,119.461,120.219,118.348,120.823,126.155,128.175,126.672,125.851,124.814,123.404,124.386,123.958,120.238,122.801
CWUR0000SEAA01   ,CWUR0000SEAA01   ,"Men's suits, sport coats, and outerwear in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1978-M01,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.4,94.1,93.7,96.3,97.9,100.4,101.9,103.4,105.7,110.6,115.3,121.1,126.5,131.6,132.4,138.0,139.0,135.5,136.1,136.4,136.5,135.1,132.1,127.9,128.0,126.9,124.4,124.8,121.1,120.924,120.824,114.659,116.747,114.956,117.859,119.2,117.585,113.395,114.148,111.892,110.104,113.954,96.569,93.686
CWUR0000SEAA02   ,CWUR0000SEAA02   ,"Men's furnishings in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.5,76.3,82.6,89.4,96.4,100.6,103.0,106.4,107.9,108.4,111.4,114.4,116.9,118.9,120.5,120.1,119.7,119.4,122.7,129.4,138.0,140.0,139.3,138.4,137.4,138.1,138.0,136.4,135.5,133.374,135.784,140.625,141.806,145.56,154.554,161.188,159.09,156.686,154.785,152.444,156.07,156.782,163.272,166.83
CWUR0000SEAA03   ,CWUR0000SEAA03   ,"Men's shirts and sweaters in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.2,99.2,98.9,95.0,89.8,86.4,86.7,85.2,86.3,84.054,82.308,83.127,80.417,81.601,83.958,83.889,81.852,80.603,80.891,80.542,80.396,78.258,72.524,72.257
CWUR0000SEAA04   ,CWUR0000SEAA04   ,"Men's pants and shorts in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.7,86.6,89.3,95.1,98.2,100.2,101.6,105.0,104.3,107.5,112.1,116.8,119.1,123.4,126.8,126.6,127.2,127.3,130.2,131.4,131.9,132.3,129.7,123.7,119.0,111.6,109.6,111.2,108.7,107.856,110.925,111.691,108.259,112.711,118.717,119.838,120.257,123.228,121.041,120.116,120.855,119.888,120.568,129.026
CWUR0000SEAB     ,CWUR0000SEAB     ,"Boys' apparel in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.5,85.1,90.7,94.6,97.0,100.4,102.6,105.1,105.2,103.7,107.1,108.2,109.1,112.7,116.0,117.9,115.1,117.0,116.0,117.5,119.2,118.4,116.9,113.5,108.1,102.7,103.8,98.7,95.9,93.71,95.641,96.728,92.644,97.455,103.182,104.985,105.415,103.669,103.146,99.62,104.734,106.834,97.326,102.702
CWUR0000SEAC     ,CWUR0000SEAC     ,"Women's apparel in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.5,93.1,95.0,97.5,98.4,100.3,101.4,105.3,103.9,110.6,114.7,115.2,121.5,125.6,128.1,130.1,128.8,124.7,122.6,124.2,123.4,120.9,118.9,117.2,114.4,111.8,112.6,111.1,112.1,112.194,109.516,109.589,108.887,110.943,114.344,115.369,115.688,112.748,113.473,113.163,111.788,107.194,98.154,98.849
CWUR0000SEAC01   ,CWUR0000SEAC01   ,"Women's outerwear in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1935-M10,2022-M02,,,,,,,,,,,,,,,,,,,,,,,19.1,19.7,21.2,21.0,20.7,20.7,22.0,23.0,26.2,30.1,32.1,33.7,37.0,42.2,43.3,43.0,50.2,51.5,50.2,49.7,48.3,49.5,49.7,49.5,49.7,50.2,49.9,50.4,51.5,,,55.6,58.1,62.8,66.6,69.7,71.5,75.6,79.7,85.3,82.8,86.8,90.4,95.7,99.0,97.3,94.5,98.4,101.1,100.5,100.1,94.1,101.2,103.4,104.8,112.9,114.7,116.9,121.2,119.4,115.6,120.0,125.1,121.1,115.6,118.0,117.1,111.2,110.6,111.3,106.4,99.9,98.325,99.195,99.645,96.546,99.508,97.101,105.457,113.488,111.2,109.361,111.394,102.777,104.113,91.775,96.142
CWUR0000SEAC02   ,CWUR0000SEAC02   ,"Women's dresses in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1935-M03,2022-M02,,,,,,,,,,,,,,,,,,,,,,,32.3,32.4,33.4,32.7,32.8,32.9,33.9,40.7,42.5,46.5,49.0,50.0,57.1,61.8,53.2,48.1,51.7,,51.8,51.9,52.2,52.7,53.0,53.4,54.7,54.8,55.0,55.1,55.6,56.7,57.7,60.5,65.7,73.5,80.6,85.0,83.9,85.5,89.3,92.5,94.8,98.1,101.7,104.4,103.5,100.9,101.0,95.9,99.0,105.1,108.0,106.9,118.4,125.5,124.5,130.3,134.0,134.8,138.8,130.4,121.4,112.4,109.8,110.3,105.3,98.6,97.1,104.3,103.8,102.5,104.4,115.0,116.947,112.199,115.102,109.544,115.858,118.437,116.998,117.064,114.253,115.477,116.953,120.09,109.063,90.572,94.35
CWUR0000SEAC03   ,CWUR0000SEAC03   ,"Women's suits and separates in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.0,99.4,98.0,95.8,92.6,89.2,91.2,88.5,89.2,90.048,87.024,85.908,84.986,84.998,88.003,88.173,86.221,82.929,82.514,80.959,79.35,75.702,69.041,68.733
CWUR0000SEAC04   ,CWUR0000SEAC04   ,"Women's underwear, nightwear, sportswear and accessories in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.9,102.2,101.6,101.2,96.3,95.2,93.9,95.3,94.4,92.185,90.999,92.631,95.48,98.544,101.745,103.066,106.498,105.904,107.6,108.638,107.065,105.801,102.488,103.055
CWUR0000SEAD     ,CWUR0000SEAD     ,"Girls' apparel in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.3,91.1,94.5,99.3,99.4,100.6,100.1,103.7,103.2,108.8,113.5,116.5,121.6,128.4,132.6,132.2,130.9,128.7,128.2,128.2,126.3,123.1,121.4,118.0,115.7,113.3,113.4,107.7,102.6,101.838,99.327,99.592,96.544,100.051,105.795,102.186,100.852,98.193,97.756,98.186,97.24,96.289,97.086,98.682
CWUR0000SEAE     ,CWUR0000SEAE     ,"Footwear in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1935-M13,2022-M02,,,,,,,,,,,,,,,,,,,,,,,14.0,14.2,14.9,14.9,14.8,15.0,15.6,17.6,18.5,19.3,19.8,22.2,27.7,30.3,30.0,30.5,34.5,33.8,33.8,34.1,34.5,36.4,37.5,38.1,39.6,41.0,41.4,42.0,42.4,42.6,43.4,45.9,48.2,50.8,53.9,56.8,58.6,60.2,62.8,66.6,69.5,72.3,75.7,78.6,84.9,91.7,96.6,99.1,99.6,101.3,102.5,102.1,105.5,110.4,114.7,118.1,121.4,125.4,126.5,126.9,126.2,127.6,128.5,128.7,126.2,124.2,123.1,121.2,119.1,118.2,121.8,123.1,122.062,124.102,127.183,127.593,128.56,131.852,135.256,136.815,138.181,138.522,138.266,138.748,139.264,135.741,140.743
CWUR0000SEAE01   ,CWUR0000SEAE01   ,"Men's footwear in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.8,83.5,90.6,94.9,98.5,99.6,102.0,104.0,105.9,110.2,116.5,120.5,124.9,129.1,133.2,132.9,133.7,135.1,133.0,132.8,132.0,129.3,129.0,124.9,124.0,118.4,116.8,118.6,120.5,118.818,121.489,125.006,125.699,127.319,131.641,136.125,137.526,137.12,137.261,136.772,139.022,138.774,136.156,142.298
