index,Index,Label,unit,start,last,1984-S1,1984-S2,1985-S1,1985-S2,1986-S1,1986-S2,1987-S1,1987-S2,1988-S1,1988-S2,1989-S1,1989-S2,1990-S1,1990-S2,1991-S1,1991-S2,1992-S1,1992-S2,1993-S1,1993-S2,1994-S1,1994-S2,1995-S1,1995-S2,1996-S1,1996-S2,1997-S1,1997-S2,1998-S1,1998-S2,1999-S1,1999-S2,2000-S1,2000-S2,2001-S1,2001-S2,2002-S1,2002-S2,2003-S1,2003-S2,2004-S1,2004-S2,2005-S1,2005-S2,2006-S1,2006-S2,2007-S1,2007-S2,2008-S1,2008-S2,2009-S1,2009-S2,2010-S1,2010-S2,2011-S1,2011-S2,2012-S1,2012-S2,2013-S1,2013-S2,2014-S1,2014-S2,2015-S1,2015-S2,2016-S1,2016-S2,2017-S1,2017-S2
CWUSA210AA0      ,CWUSA210AA0      ,"All items - old base in Cleveland-Akron, OH, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1967=100,1984-S01,2017-S03,319.7,324.0,321.7,327.0,326.9,329.4,333.2,341.9,345.9,352.7,363.4,370.0,379.0,389.9,396.7,402.3,405.3,409.0,412.6,420.7,424.1,431.9,436.4,440.0,447.2,454.9,460.3,465.5,470.6,477.4,478.9,487.3,495.8,505.8,513.6,515.5,511.8,515.8,519.9,526.5,535.5,543.6,552.8,565.9,570.2,567.5,576.926,587.76,605.137,606.027,594.602,601.944,609.516,615.371,631.02,636.857,642.83,646.874,651.929,653.732,661.653,662.031,658.23,658.473,657.677,659.854,664.602,668.689
CWUSA210SA0      ,CWUSA210SA0      ,"All items in Cleveland-Akron, OH, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2017-S03,102.3,103.7,103.0,104.7,104.6,105.4,106.6,109.4,110.7,112.9,116.3,118.4,121.3,124.8,126.9,128.7,129.7,130.9,132.0,134.6,135.7,138.2,139.6,140.8,143.1,145.6,147.3,149.0,150.6,152.8,153.3,156.0,158.7,161.9,164.4,165.0,163.8,165.1,166.4,168.5,171.4,174.0,176.9,181.1,182.5,181.6,184.634,188.102,193.663,193.948,190.292,192.641,195.064,196.938,201.946,203.814,205.726,207.02,208.637,209.215,211.75,211.87,210.654,210.732,210.477,211.174,212.694,214.001
CWUSA210SA0E     ,CWUSA210SA0E     ,"Energy in Cleveland-Akron, OH, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2017-S03,99.8,100.9,99.1,102.3,92.5,86.2,89.1,93.1,89.8,94.2,98.4,101.1,102.8,115.6,107.8,109.9,104.9,109.3,106.9,109.9,108.7,113.4,110.5,110.1,114.6,122.5,121.9,119.8,112.6,115.1,111.5,122.5,132.2,141.4,154.0,138.1,125.7,136.7,148.9,158.1,164.6,176.4,185.8,219.4,218.9,207.7,211.486,224.151,255.002,248.006,192.007,201.287,213.451,217.882,248.559,242.065,242.115,240.56,247.405,237.593,250.566,231.979,198.118,192.107,178.094,179.028,188.3,197.97
CWUSA210SA0L1E   ,CWUSA210SA0L1E   ,"All items less food and energy in Cleveland-Akron, OH, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2017-S03,102.6,103.9,102.7,104.9,106.8,108.7,109.5,112.4,114.3,115.5,118.9,120.4,123.4,125.7,129.2,131.4,133.4,134.3,136.0,138.2,139.6,141.5,143.6,144.7,146.6,147.6,150.1,152.4,155.1,156.7,157.4,158.7,161.2,162.9,164.6,166.8,167.0,167.3,167.0,168.5,170.6,172.4,174.1,174.7,175.8,176.5,178.708,180.228,183.239,183.102,185.537,187.481,188.686,190.174,191.448,193.786,195.557,197.356,198.486,200.411,201.653,203.688,205.602,206.404,207.845,208.93,209.794,210.125
CWUSA210SA0L2    ,CWUSA210SA0L2    ,"All items less shelter in Cleveland-Akron, OH, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2017-S03,103.1,104.8,105.5,107.0,106.4,106.9,108.2,111.1,112.0,114.2,118.0,120.2,123.3,127.0,128.8,130.5,130.8,132.0,132.9,136.1,136.9,139.7,141.0,141.6,143.6,146.7,148.2,149.5,150.1,152.5,152.5,155.7,158.3,161.7,164.4,164.8,161.7,163.1,165.1,167.4,170.7,173.4,177.6,183.7,185.1,182.7,186.167,190.928,198.141,200.235,193.362,196.867,200.688,202.951,209.547,212.1,214.259,215.171,216.712,216.566,218.79,218.003,215.249,214.778,213.512,213.307,214.859,215.111
CWUSA210SA0L5    ,CWUSA210SA0L5    ,"All items  less medical care in Cleveland-Akron, OH, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2017-S03,102.1,103.5,102.6,104.3,103.8,104.4,105.5,108.3,109.5,111.7,115.1,117.1,119.8,123.1,125.1,126.8,127.7,128.8,129.8,132.4,133.4,135.8,137.1,138.3,140.5,143.0,144.7,146.3,148.0,150.2,150.5,153.1,155.7,158.9,161.4,161.9,160.7,161.8,162.9,164.9,167.7,170.3,172.9,177.1,178.2,177.2,180.073,182.866,188.339,188.54,184.519,186.96,188.864,190.696,195.505,197.248,198.869,200.109,201.939,202.367,204.824,204.958,203.282,203.403,202.841,202.955,204.191,205.622
CWUSA210SA0LE    ,CWUSA210SA0LE    ,"All items less energy in Cleveland-Akron, OH, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2017-S03,102.7,104.1,103.4,105.0,106.5,108.4,109.5,112.1,114.0,115.8,119.4,121.2,124.4,126.8,130.2,131.8,133.5,134.3,136.1,138.5,140.0,142.1,144.2,145.4,147.5,149.2,151.4,153.5,156.3,158.2,159.5,160.9,163.2,165.0,166.7,169.0,169.5,169.8,170.2,171.2,173.7,175.3,177.5,178.2,179.6,180.5,182.933,184.87,188.201,189.184,191.669,193.012,194.305,195.935,198.016,200.889,202.942,204.82,205.994,207.676,209.379,211.474,213.6,214.329,215.558,216.235,216.963,217.413
CWUSA210SAA      ,CWUSA210SAA      ,"Apparel in Cleveland-Akron, OH, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2017-S03,100.3,102.7,102.9,107.1,102.9,104.2,103.5,114.8,110.5,101.8,111.8,109.6,119.5,114.5,119.6,123.1,123.7,121.2,121.4,127.1,125.7,129.4,127.9,122.5,126.7,125.7,123.8,125.9,126.1,129.2,122.1,123.8,121.7,124.1,120.5,124.3,118.4,114.0,107.8,112.9,116.0,118.0,121.2,113.0,108.1,103.0,105.68,102.934,111.151,113.536,108.672,115.584,117.755,120.965,115.793,126.541,124.435,125.244,126.274,129.42,127.58,136.516,134.541,131.192,140.716,130.819,134.956,130.527
CWUSA210SAC      ,CWUSA210SAC      ,"Commodities in Cleveland-Akron, OH, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2017-S03,102.7,103.4,103.0,103.6,101.9,101.7,103.9,106.7,107.2,108.9,112.9,114.5,118.4,121.3,123.3,124.3,124.7,125.7,126.3,129.1,129.5,132.5,133.4,133.1,135.3,137.3,137.8,138.1,139.1,140.6,141.3,144.2,147.2,149.0,149.8,150.2,148.5,148.1,149.0,148.8,152.9,154.3,158.0,162.0,163.7,161.8,165.563,169.913,177.466,177.035,169.791,174.505,177.635,179.646,188.157,191.374,194.674,194.68,194.985,193.004,194.979,193.669,188.82,187.985,185.722,185.093,185.637,184.502
CWUSA210SACL1    ,CWUSA210SACL1    ,"Commodities less food in Cleveland-Akron, OH, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2017-S03,102.6,102.9,101.7,102.8,99.8,98.4,100.5,104.1,103.9,104.3,108.2,109.0,112.7,115.9,117.3,119.1,119.2,121.0,120.6,123.3,123.0,125.8,126.1,124.9,126.8,127.7,127.9,127.6,127.6,128.5,127.8,130.9,134.7,136.3,136.6,136.3,132.8,132.1,131.8,131.9,136.2,137.8,141.5,146.8,147.6,144.4,148.015,152.347,160.59,157.13,146.425,153.635,157.179,158.992,167.906,170.075,172.889,172.222,172.197,169.823,171.159,168.419,160.514,159.24,156.139,156.043,156.818,155.013
CWUSA210SACL11   ,CWUSA210SACL11   ,"Commodities less food and beverages in Cleveland-Akron, OH, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2017-S03,102.6,103.0,101.6,102.7,99.4,97.9,100.1,103.8,103.5,103.9,107.7,108.4,112.3,115.5,116.5,118.5,118.4,120.2,119.7,122.5,122.2,125.2,125.4,124.1,126.1,126.9,127.1,126.8,126.9,127.8,126.9,130.0,133.9,135.4,135.8,135.4,131.8,131.2,130.8,131.0,135.4,136.8,140.7,146.3,147.0,143.6,147.296,151.793,160.255,156.616,145.427,152.831,156.404,158.249,167.267,169.494,172.376,171.644,171.545,169.108,170.466,167.642,159.415,158.081,154.743,154.619,155.286,153.435
CWUSA210SAD      ,CWUSA210SAD      ,"Durables in Cleveland-Akron, OH, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2017-S03,103.6,104.1,101.0,100.1,100.8,100.9,101.2,101.4,102.3,103.2,104.0,103.9,105.3,106.3,108.6,108.7,108.7,110.8,109.8,113.2,113.5,114.8,116.6,115.2,115.3,115.8,116.6,115.9,117.1,117.9,116.2,115.7,116.9,116.7,115.8,115.8,113.5,111.3,109.9,108.3,108.9,109.5,110.1,110.6,110.6,110.1,109.576,108.974,110.262,110.036,108.217,107.523,107.501,108.555,109.421,111.282,110.807,110.61,109.726,108.832,108.174,108.315,107.915,108.266,106.817,105.366,103.819,101.116
CWUSA210SAE      ,CWUSA210SAE      ,"Education and communication in Cleveland-Akron, OH, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,1998-S01,2017-S03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.1,99.0,98.8,98.9,98.3,96.3,97.3,99.1,98.9,101.0,100.5,101.2,100.7,101.4,100.9,101.6,102.1,103.3,103.856,104.325,105.116,105.901,105.782,107.74,107.836,108.577,109.681,111.518,112.03,112.42,113.533,114.951,115.628,115.95,114.38,115.513,116.128,116.2,114.516,113.438
CWUSA210SAEC     ,CWUSA210SAEC     ,"Education and communication commodities in Cleveland-Akron, OH, urban wage earners and clerical workers, not seasonally adjusted",Index base: 2009.12=100,2010-S01,2017-S03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.978,100.112,97.083,96.854,96.448,95.231,93.818,93.626,94.547,93.977,85.699,90.463,85.495,84.679,76.824,72.959
CWUSA210SAES     ,CWUSA210SAES     ,"Education and communication services in Cleveland-Akron, OH, urban wage earners and clerical workers, not seasonally adjusted",Index base: 2009.12=100,2010-S01,2017-S03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.983,99.914,101.325,103.204,103.759,104.347,105.725,107.245,107.822,108.241,107.8,108.297,109.16,109.302,108.289,107.539
CWUSA210SAF      ,CWUSA210SAF      ,"Food and beverages in Cleveland-Akron, OH, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2017-S03,102.9,104.4,105.9,105.9,106.4,108.1,110.3,111.5,113.9,117.9,121.9,125.2,129.0,131.4,135.2,134.6,135.8,135.5,137.9,140.7,142.4,145.3,147.5,149.2,151.7,155.7,156.8,158.3,161.1,163.8,167.7,170.0,171.2,173.4,175.1,177.3,179.8,179.9,183.7,182.7,186.4,187.7,191.3,192.4,195.7,197.0,200.832,204.797,209.843,217.051,219.662,217.715,219.56,221.847,228.303,233.889,237.561,239.872,241.407,241.128,245.056,247.294,250.515,250.875,250.708,248.678,248.779,249.92
CWUSA210SAF1     ,CWUSA210SAF1     ,"Food in Cleveland-Akron, OH, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2017-S03,103.0,104.6,106.1,105.8,106.3,108.0,110.3,111.4,113.8,118.2,122.1,125.5,129.5,131.8,135.2,134.5,135.4,135.1,137.4,140.7,142.4,145.7,147.8,149.6,152.2,156.6,157.6,159.3,162.4,165.3,169.2,171.5,172.6,174.9,176.7,179.0,181.7,182.1,185.9,184.7,188.6,189.7,193.4,194.8,198.1,199.3,203.411,207.695,212.921,220.748,223.466,221.071,222.852,225.283,232.037,237.985,241.857,244.183,245.594,245.259,249.369,251.773,255.021,255.354,254.722,252.418,252.106,253.382
CWUSA210SAF11    ,CWUSA210SAF11    ,"Food at home in Cleveland-Akron, OH, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2017-S03,102.0,103.4,105.2,104.3,104.5,106.2,109.0,109.6,109.3,114.3,118.9,121.9,127.0,128.7,132.8,130.8,131.3,130.3,133.0,136.0,137.6,140.4,142.0,144.6,146.8,152.0,153.2,153.8,157.8,160.2,164.7,168.2,169.5,170.8,171.6,173.8,177.9,176.1,182.0,178.3,182.5,182.3,187.0,188.7,190.9,191.2,195.685,198.102,204.771,213.889,218.025,212.618,216.598,217.701,226.636,234.035,237.954,238.174,239.951,238.717,242.806,245.485,247.105,246.623,244.442,240.427,239.165,240.513
