index,Index,Label,unit,start,last,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
CWUR0000SAM      ,CWUR0000SAM      ,"Medical care in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1935-M03,2021-M11,10.2,10.3,10.4,10.4,10.4,10.4,10.5,10.8,11.3,11.6,11.9,12.6,13.6,14.5,14.9,15.2,15.9,16.8,17.4,17.9,18.3,19.0,19.8,20.7,21.6,22.4,23.0,23.6,24.2,24.7,25.3,26.4,28.3,30.0,32.1,34.1,36.3,37.5,39.0,42.6,47.7,52.3,57.3,62.1,68.0,75.6,83.5,92.5,100.5,106.9,113.6,122.0,130.2,139.0,149.6,162.7,176.5,189.6,200.9,210.4,219.8,227.6,234.0,241.4,249.7,259.9,271.8,284.6,296.3,309.5,322.8,335.7,350.88199999999995,364.208,376.064,389.76599999999996,402.18699999999995,417.75,428.32599999999996,438.254,449.602,467.708,479.775,488.577,503.42199999999997,526.749
CWUR0000SAM1     ,CWUR0000SAM1     ,"Medical care commodities in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1935-M13,2021-M11,31.7,31.6,31.8,31.9,31.9,31.7,32.0,32.7,32.9,33.3,33.5,34.1,36.6,38.6,39.2,39.6,40.8,41.1,41.5,42.0,42.4,43.3,44.5,46.1,46.8,46.8,46.3,45.6,45.2,45.0,44.9,45.0,44.8,44.9,45.4,46.4,47.2,47.3,47.4,49.1,53.2,56.4,60.1,64.5,69.3,75.6,84.0,92.4,100.2,107.4,114.8,122.2,130.2,139.0,149.7,162.2,175.4,186.5,193.2,198.6,202.2,207.8,212.6,218.6,226.8,233.6,242.7,251.1,257.4,263.2,269.2,279.0,282.558,287.97,296.724,306.257,315.845,325.57099999999997,326.482,334.286,345.039,356.55300000000005,366.274,370.344,369.664,372.07599999999996
CWUR0000SAM2     ,CWUR0000SAM2     ,"Medical care services in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1935-M03,2021-M11,8.3,8.4,8.5,8.5,8.5,8.5,8.6,8.8,9.3,9.7,9.9,10.5,11.4,12.2,12.6,12.9,13.5,14.4,14.9,15.4,15.8,16.4,17.2,18.0,18.9,19.6,20.4,21.0,21.6,22.2,22.9,24.1,26.2,28.1,30.4,32.5,34.9,36.2,37.8,41.7,46.9,51.6,56.8,61.6,67.7,75.7,83.4,92.6,100.6,106.8,113.3,122.0,130.3,139.0,149.6,162.8,176.7,190.3,202.7,213.0,223.8,232.1,238.8,246.6,254.9,265.9,278.5,292.5,305.9,321.5,337.3,351.1,370.111,386.31699999999995,399.165,414.273,427.551,445.16900000000004,459.533,470.14099999999996,481.465,501.846,514.597,524.885,544.849,574.7919999999998
CWUR0000SEMC     ,CWUR0000SEMC     ,"Professional services in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1967-M01,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.9,32.5,34.7,37.0,39.4,40.8,42.1,45.8,50.8,55.4,59.9,64.6,70.6,78.7,86.5,93.1,99.9,107.0,113.6,120.9,129.0,137.7,146.7,156.4,166.1,176.3,185.2,193.4,202.0,209.5,216.7,223.7,230.8,239.6,248.7,256.0,263.4,274.0,284.3,291.7,303.1690000000001,313.44599999999997,322.127,331.45599999999996,339.3280000000001,345.68300000000005,353.05400000000014,358.349,364.645,375.51199999999994,378.767,381.61400000000003,385.81,393.14
CWUR0000SEMC01   ,CWUR0000SEMC01   ,"Physicians' services in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1935-M13,2021-M11,11.0,11.1,11.1,11.1,11.1,11.1,11.2,11.4,12.1,12.6,12.9,13.6,14.5,15.0,15.3,15.5,16.1,16.8,17.3,17.8,18.4,19.0,19.8,20.4,21.1,21.7,22.2,22.9,23.4,24.0,24.8,26.3,28.1,29.7,31.7,34.1,36.5,37.6,38.9,42.4,47.6,53.0,57.9,62.8,69.0,77.1,85.3,92.8,100.1,107.1,113.4,121.6,130.5,139.9,150.3,161.1,170.8,181.6,191.7,200.3,209.4,216.9,223.6,230.5,237.3,246.2,255.4,262.4,269.6,280.3,289.7,293.9,305.096,313.46,323.2,334.168,343.495,350.37800000000016,357.02099999999996,361.23800000000006,367.903,381.119,382.786,383.30400000000003,386.663,393.345
CWUR0000SEMC02   ,CWUR0000SEMC02   ,"Dental services in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1935-M13,2021-M11,13.5,13.5,13.8,13.9,13.9,13.9,13.9,14.3,14.9,15.7,16.4,17.4,18.8,19.8,20.6,21.1,22.0,22.4,23.1,23.9,24.1,24.6,25.2,26.0,26.6,27.2,27.3,28.0,28.8,29.6,30.5,31.5,33.1,34.9,37.3,39.5,42.0,43.8,45.1,48.5,53.5,56.9,61.2,65.9,71.8,80.1,87.4,93.2,99.3,107.5,114.2,120.6,128.7,137.4,146.1,155.7,167.3,178.5,187.9,197.0,206.8,216.3,226.3,235.7,246.7,258.3,268.9,280.9,292.6,307.1,323.8,340.4,358.352,376.894,388.365,399.751,409.17800000000005,418.832,432.56,441.51599999999996,452.675,465.039,471.681,483.06,492.83,507.631
CWUR0000SEMC03   ,CWUR0000SEMC03   ,"Eyeglasses and eye care in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1986.12=100,1986-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.6,108.3,112.0,117.0,121.6,126.5,130.1,133.1,137.4,139.7,141.7,144.4,145.8,150.2,155.2,156.0,156.4,160.9,164.7,169.5,172.912,174.827,175.713,176.845,178.61900000000003,179.93,181.002,184.08599999999998,184.206,187.74599999999998,188.38,190.18599999999998,191.917,193.226
CWUR0000SEMC04   ,CWUR0000SEMC04   ,"Services by other medical professionals in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1986.12=100,1986-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.5,108.6,114.7,120.5,126.5,132.4,136.6,142.6,145.9,149.7,155.6,159.4,162.8,166.2,172.0,176.2,181.2,186.1,191.4,196.3,201.783,210.342,215.149,219.93200000000002,223.27599999999998,225.40599999999998,229.165,232.136,233.69799999999998,236.907,243.03799999999998,243.705,244.94099999999997,247.799
CWUR0000SEMD     ,CWUR0000SEMD     ,"Hospital and related services in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.5,61.2,69.5,79.3,90.3,100.5,109.2,115.8,122.6,131.1,143.3,159.4,176.1,193.7,211.5,229.2,242.7,255.2,266.5,274.7,283.6,295.5,313.2,333.8,363.2,391.2,414.0,436.1,463.6,493.74,530.193,565.029,608.516,644.431,677.044,708.3960000000003,742.5930000000003,771.945,808.166,848.0939999999997,882.686,899.2819999999997,937.5269999999999
CWUR0000SEMD01   ,CWUR0000SEMD01   ,"Hospital services in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1996.12=100,1996-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.5,104.8,109.2,115.7,123.4,134.3,144.7,153.1,161.3,171.6,182.71900000000002,196.52599999999998,209.805,226.72099999999998,240.622,253.06,265.058,278.264,289.492,303.306,318.612,331.8,337.871,352.434
CWUR0000SEMD02   ,CWUR0000SEMD02   ,"Nursing homes and adult day services in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1996.12=100,1996-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.4,107.5,114.1,121.0,127.4,135.3,141.8,148.0,153.7,160.4,170.595,176.738,183.74599999999998,188.687,194.197,201.239,206.88099999999997,212.50599999999997,219.22799999999998,227.102,234.56799999999998,241.77,249.03,255.845
CWUR0000SEMD03   ,CWUR0000SEMD03   ,"Care of invalids and elderly at home in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 2005.12=100,2005-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.7,104.351,107.089,108.725,110.094,112.319,113.98299999999999,114.624,115.382,116.54700000000001,118.18799999999999,117.00299999999999,117.867,120.30799999999999,126.35600000000001
CWUR0000SEME     ,CWUR0000SEME     ,"Health insurance in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 2005.12=100,2005-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.2,114.279,115.302,111.759,107.759,106.275,119.368,124.509,123.426,124.488,133.284,135.703,136.75,157.611,184.715
CWUR0000SEMF     ,CWUR0000SEMF     ,"Medicinal drugs in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 2009.12=100,2009-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.27,105.568,108.868,109.162,111.88,115.63600000000001,119.626,122.964,124.35799999999999,124.06299999999999,125.09700000000001
