index,Index,Label,unit,start,last,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
CWURA311SA0      ,CWURA311SA0      ,"All items in Washington-Baltimore, DC-MD-VA-WV, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1996.11=100,1996-M11,2017-M13,100.8,101.9,104.0,107.5,110.2,112.6,115.7,119.0,124.1,128.3,132.859,138.97,139.225,142.245,147.572,150.877,153.006,155.151,155.211,156.882,159.094
CWURA311SA0E     ,CWURA311SA0E     ,"Energy in Washington-Baltimore, DC-MD-VA-WV, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1996.11=100,1996-M11,2017-M13,102.8,96.2,100.1,117.4,114.5,108.8,119.9,132.0,152.9,169.0,187.54,221.12400000000002,189.953,200.888,227.227,229.24599999999998,228.731,224.69099999999997,188.37,182.03099999999998,195.021
CWURA311SA0L1E   ,CWURA311SA0L1E   ,"All items less food and energy in Washington-Baltimore, DC-MD-VA-WV, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1996.11=100,1996-M11,2017-M13,100.8,102.6,104.7,107.1,110.2,113.3,115.7,117.6,121.5,125.0,128.188,131.621,134.60299999999998,137.09,140.36,144.088,146.484,148.894,151.477,153.90200000000004,155.428
CWURA311SA0L2    ,CWURA311SA0L2    ,"All items less shelter in Washington-Baltimore, DC-MD-VA-WV, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2017-M13,,101.2,103.1,106.5,108.1,109.2,111.4,114.1,118.9,122.2,125.964,132.55,130.42700000000002,134.009,139.908,142.093,143.502,144.918,142.903,143.864,145.63
CWURA311SA0L5    ,CWURA311SA0L5    ,"All items  less medical care in Washington-Baltimore, DC-MD-VA-WV, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1996.11=100,1996-M11,2017-M13,100.7,101.8,103.9,107.4,110.2,112.5,115.6,118.9,123.9,128.2,132.747,138.828,139.009,141.81799999999996,147.113,150.25,152.13299999999995,154.317,153.987,155.44,157.47
CWURA311SA0LE    ,CWURA311SA0LE    ,"All items less energy in Washington-Baltimore, DC-MD-VA-WV, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2017-M13,,101.9,103.9,106.3,109.4,112.5,114.9,117.5,121.2,124.5,127.92,131.725,134.631,136.874,140.57399999999998,144.151,146.451,148.952,151.452,153.654,155.144
CWURA311SAA      ,CWURA311SAA      ,"Apparel in Washington-Baltimore, DC-MD-VA-WV, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1996.11=100,1996-M11,2017-M13,99.1,99.3,97.9,97.4,98.2,93.0,90.9,86.8,92.1,92.7,92.723,92.51299999999999,93.806,91.31700000000001,98.07,100.088,96.25399999999999,97.137,95.639,104.84700000000001,106.5
CWURA311SAC      ,CWURA311SAC      ,"Commodities in Washington-Baltimore, DC-MD-VA-WV, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2017-M13,,100.5,102.1,106.1,107.1,107.1,108.6,111.1,115.6,117.7,120.036,125.01,120.006,123.728,131.819,133.511,133.346,133.67,128.97,128.298,129.38299999999998
CWURA311SACL1    ,CWURA311SACL1    ,"Commodities less food in Washington-Baltimore, DC-MD-VA-WV, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2017-M13,,100.3,102.1,106.9,106.7,105.1,105.8,106.3,111.7,113.6,114.68799999999999,119.15799999999999,111.4,116.302,125.26799999999999,126.494,125.316,124.307,116.31700000000001,114.785,115.75200000000001
CWURA311SACL11   ,CWURA311SACL11   ,"Commodities less food and beverages in Washington-Baltimore, DC-MD-VA-WV, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2017-M13,,100.3,102.2,107.3,106.8,104.9,105.6,106.0,111.6,113.5,114.412,119.00399999999999,110.916,115.959,125.176,126.305,124.95,123.775,115.31700000000001,113.67200000000001,114.631
CWURA311SAD      ,CWURA311SAD      ,"Durables in Washington-Baltimore, DC-MD-VA-WV, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2017-M13,,100.3,99.7,99.8,98.5,96.2,93.5,90.7,90.1,88.8,87.20299999999996,85.51899999999998,84.12899999999998,85.786,85.598,84.491,84.103,83.677,81.69,80.332,78.694
CWURA311SAE      ,CWURA311SAE      ,"Education and communication in Washington-Baltimore, DC-MD-VA-WV, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2017-M13,,101.6,102.3,102.7,106.3,109.5,110.3,110.0,113.4,118.1,118.806,120.992,122.18700000000001,124.434,124.053,126.58,126.72399999999999,127.978,131.05700000000002,132.84,130.05700000000002
CWURA311SAEC     ,CWURA311SAEC     ,"Education and communication commodities in Washington-Baltimore, DC-MD-VA-WV, urban wage earners and clerical workers, not seasonally adjusted",Index base: 2009.12=100,2010-M01,2017-M13,,,,,,,,,,,,,,97.242,93.291,89.47399999999998,90.57700000000001,85.573,80.507,77.075,77.493
CWURA311SAES     ,CWURA311SAES     ,"Education and communication services in Washington-Baltimore, DC-MD-VA-WV, urban wage earners and clerical workers, not seasonally adjusted",Index base: 2009.12=100,2010-M01,2017-M13,,,,,,,,,,,,,,101.315,101.334,103.921,103.947,105.655,109.102,111.081,108.575
CWURA311SAF      ,CWURA311SAF      ,"Food and beverages in Washington-Baltimore, DC-MD-VA-WV, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1996.11=100,1996-M11,2017-M13,100.0,101.4,102.8,105.0,108.4,111.3,114.2,120.0,122.7,125.6,129.918,135.57399999999998,137.972,138.414,144.44,147.234,149.205,152.261,154.52200000000005,155.524,156.845
CWURA311SAF1     ,CWURA311SAF1     ,"Food in Washington-Baltimore, DC-MD-VA-WV, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1996.11=100,1996-M11,2017-M13,99.9,101.4,102.8,105.2,108.5,111.5,114.5,120.6,123.4,126.3,130.718,136.69799999999998,139.121,139.493,145.765,148.577,150.388,153.39,155.542,156.58100000000005,157.915
CWURA311SAF11    ,CWURA311SAF11    ,"Food at home in Washington-Baltimore, DC-MD-VA-WV, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2017-M13,,100.1,100.7,102.5,106.3,109.3,112.4,119.4,121.7,123.5,127.792,134.27700000000002,134.851,134.491,142.016,144.043,144.41899999999995,146.642,147.814,146.858,146.42
CWURA311SAF116   ,CWURA311SAF116   ,"Alcoholic beverages in Washington-Baltimore, DC-MD-VA-WV, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.11=100,1997-M11,2017-M13,,100.2,100.7,101.8,105.9,108.6,109.9,111.3,112.5,114.5,118.25200000000001,119.755,121.807,122.98899999999999,126.051,128.89,133.931,137.489,141.08100000000005,141.472,142.60299999999995
CWURA311SAG      ,CWURA311SAG      ,"Other goods and services in Washington-Baltimore, DC-MD-VA-WV, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1996.11=100,1996-M11,2017-M13,103.0,107.8,120.0,128.8,133.1,143.4,145.5,147.6,152.8,155.8,161.983,172.61700000000005,186.354,191.683,194.331,198.438,201.17700000000002,205.09900000000002,207.952,206.935,207.761
CWURA311SAGC     ,CWURA311SAGC     ,"Other goods in Washington-Baltimore, DC-MD-VA-WV, urban wage earners and clerical workers, not seasonally adjusted",Index base: 2009.12=100,2010-M01,2017-M13,,,,,,,,,,,,,,98.525,99.736,101.444,103.116,105.39,106.624,105.042,104.822
CWURA311SAGS     ,CWURA311SAGS     ,"Other personal services in Washington-Baltimore, DC-MD-VA-WV, urban wage earners and clerical workers, not seasonally adjusted",Index base: 2009.12=100,2010-M01,2017-M13,,,,,,,,,,,,,,102.70299999999999,104.31,106.98,108.073,109.993,111.76700000000001,113.444,114.973
CWURA311SAH      ,CWURA311SAH      ,"Housing in Washington-Baltimore, DC-MD-VA-WV, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1996.11=100,1996-M11,2017-M13,101.0,103.2,105.7,108.9,113.0,117.3,121.9,126.0,130.9,136.7,143.808,151.312,155.017,155.82299999999995,158.363,162.418,165.59,168.888,172.653,175.511,178.385
CWURA311SAH1     ,CWURA311SAH1     ,"Shelter in Washington-Baltimore, DC-MD-VA-WV, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2017-M13,,103.0,105.9,109.3,114.9,120.8,125.8,130.4,136.0,142.3,148.485,153.74200000000005,158.359,160.404,164.671,170.142,173.891,177.37,182.674,186.05200000000002,189.329
