index,Index,Label,unit,start,last,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
CWURD000AA0      ,CWURD000AA0      ,"All items - old base in Size Class D (under 50,000), urban wage earners and clerical workers, not seasonally adjusted",Index base: 1977.12=100,1977-M12,2017-M13,105.1,116.9,131.4,145.0,156.2,161.2,167.5,173.5,174.7,179.8,186.5,194.7,205.5,213.1,218.2,224.6,230.8,238.9,247.1,252.1,255.3,261.0,269.2,274.8,277.3,282.4,288.6,300.7,311.0,319.808,333.62199999999996,330.664,338.631,351.64,360.43800000000016,365.075,371.399,369.615,372.959,379.625
CWURD000SA0      ,CWURD000SA0      ,"All items in Size Class D (under 50,000), urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2017-M13,65.0,72.3,81.3,89.7,96.6,99.7,103.6,107.4,108.1,111.3,115.4,120.5,127.1,131.9,135.0,139.0,142.8,147.8,152.9,156.0,158.0,161.5,166.6,170.0,171.6,174.7,178.6,186.1,192.5,197.88099999999997,206.428,204.59799999999998,209.52700000000002,217.577,223.02,225.889,229.80200000000002,228.699,230.767,234.893
CWURD000SA0E     ,CWURD000SA0E     ,"Energy in Size Class D (under 50,000), urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2017-M13,54.7,67.6,87.3,98.7,99.2,100.4,100.3,100.1,85.8,86.7,86.8,91.3,98.8,98.3,97.9,98.3,99.0,100.3,105.7,106.2,99.0,102.9,119.4,122.6,117.7,130.7,146.0,171.9,191.9,201.919,230.17700000000002,186.16299999999998,204.938,240.083,243.22,240.825,239.545,197.82299999999998,185.628,199.335
CWURD000SA0L1    ,CWURD000SA0L1    ,"All items less food in Size Class D (under 50,000), urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2017-M13,63.6,70.8,80.2,88.9,96.6,99.8,103.6,107.8,108.1,110.9,115.0,119.7,126.4,131.4,135.2,139.4,143.4,148.9,153.9,156.6,158.4,161.9,167.0,170.4,171.7,174.6,177.9,185.8,192.5,197.43,205.34099999999998,202.46400000000003,208.13099999999997,216.048,221.282,223.986,227.44,225.24099999999999,227.635,232.143
CWURD000SA0L1E   ,CWURD000SA0L1E   ,"All items less food and energy in Size Class D (under 50,000), urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2017-M13,65.1,71.4,79.1,87.3,96.2,99.7,104.1,109.0,112.2,115.5,120.3,125.1,131.6,137.7,142.2,147.1,151.7,157.9,162.9,166.0,169.5,172.9,175.9,179.3,181.9,183.1,184.1,188.6,193.1,197.113,201.484,205.90099999999998,209.252,212.338,217.87400000000002,221.53599999999997,225.938,230.726,235.72,238.669
CWURD000SA0L2    ,CWURD000SA0L2    ,"All items less shelter in Size Class D (under 50,000), urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2017-M13,67.1,74.0,82.5,90.8,96.0,99.9,104.1,106.5,106.5,109.7,113.8,119.0,125.8,130.5,133.5,137.0,140.3,144.7,149.4,152.2,153.7,157.1,162.6,165.9,166.7,170.0,174.5,183.1,189.3,194.46900000000002,203.66299999999998,200.049,206.68200000000002,216.697,221.99,224.69299999999998,227.71099999999998,223.199,223.02,226.035
CWURD000SA0L5    ,CWURD000SA0L5    ,"All items  less medical care in Size Class D (under 50,000), urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2017-M13,65.2,72.6,81.6,90.1,96.9,99.7,103.4,107.0,107.3,110.1,114.1,118.8,125.1,129.4,132.0,135.7,139.1,143.8,148.8,151.7,153.5,156.7,161.7,164.8,165.8,168.7,172.1,179.2,185.3,190.358,198.69299999999998,196.46900000000002,201.141,208.981,214.013,216.456,220.02900000000002,218.408,219.83700000000002,223.83
CWURD000SA0LE    ,CWURD000SA0LE    ,"All items less energy in Size Class D (under 50,000), urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2017-M13,66.3,72.9,80.6,88.5,96.3,99.6,104.0,108.3,111.3,114.8,119.5,124.7,131.3,136.7,140.4,144.9,149.1,154.7,159.7,163.2,166.5,169.9,173.3,176.8,179.4,181.2,183.1,187.7,192.2,196.981,202.65400000000002,207.06,209.92700000000002,213.925,219.63299999999998,223.31900000000002,228.093,232.93200000000002,237.09400000000002,239.84400000000002
CWURD000SAA      ,CWURD000SAA      ,"Apparel in Size Class D (under 50,000), urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2017-M13,81.6,84.2,90.1,95.1,97.3,100.4,102.3,105.3,105.8,105.2,111.6,114.8,121.3,126.7,130.9,133.4,134.0,135.3,133.9,134.3,135.4,135.4,133.5,132.3,127.3,123.4,118.9,121.8,121.4,120.055,115.82799999999999,117.196,117.038,118.319,122.115,123.163,125.24700000000001,124.37,123.609,122.762
CWURD000SAC      ,CWURD000SAC      ,"Commodities in Size Class D (under 50,000), urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2017-M13,68.4,76.0,84.7,92.4,96.8,99.8,103.3,105.5,103.8,106.6,110.8,116.1,122.2,125.5,127.3,129.7,131.7,135.1,139.0,140.9,140.7,144.0,149.3,150.0,148.3,149.8,153.7,161.8,166.0,169.65400000000002,177.74400000000003,170.83,177.912,189.458,193.34900000000002,193.668,194.972,186.856,183.899,186.253
