index,Index,Label,unit,start,last,1984-S1,1984-S2,1985-S1,1985-S2,1986-S1,1986-S2,1987-S1,1987-S2,1988-S1,1988-S2,1989-S1,1989-S2,1990-S1,1990-S2,1991-S1,1991-S2,1992-S1,1992-S2,1993-S1,1993-S2,1994-S1,1994-S2,1995-S1,1995-S2,1996-S1,1996-S2,1997-S1,1997-S2,1998-S1,1998-S2,1999-S1,1999-S2,2000-S1,2000-S2,2001-S1,2001-S2,2002-S1,2002-S2,2003-S1,2003-S2,2004-S1,2004-S2,2005-S1,2005-S2,2006-S1,2006-S2,2007-S1,2007-S2,2008-S1,2008-S2,2009-S1,2009-S2,2010-S1,2010-S2,2011-S1,2011-S2,2012-S1,2012-S2,2013-S1,2013-S2,2014-S1,2014-S2,2015-S1,2015-S2,2016-S1,2016-S2,2017-S1,2017-S2,2018-S1,2018-S2,2019-S1,2019-S2,2020-S1,2020-S2,2021-S1
CWUS0300AA0      ,CWUS0300AA0      ,"All items - old base in South urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1977.12=100,1984-S01,2021-S01,165.6,169.8,172.3,175.0,175.2,175.9,179.3,183.0,185.3,189.8,194.0,197.7,202.7,208.9,212.2,215.0,217.6,220.9,224.3,227.5,230.1,233.9,237.5,240.6,244.8,248.2,250.8,252.3,253.1,255.2,257.3,261.3,266.2,269.8,273.8,274.3,275.1,278.3,281.9,282.8,287.1,291.5,296.4,304.3,309.4,312.1,316.559,323.012,332.6140000000001,334.964,327.98199999999997,333.83,337.4,338.784,348.836,353.46,357.95599999999996,359.43699999999984,362.978,365.145,369.75,369.917,366.245,368.04,368.241,372.19699999999995,376.093,379.52099999999996,385.32099999999997,387.667,390.038,392.94599999999997,392.57,397.29699999999997,408.476
CWUS0300SA0      ,CWUS0300SA0      ,"All items in South urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2021-S01,102.2,104.8,106.4,108.1,108.2,108.6,110.7,113.0,114.5,117.2,119.8,122.1,125.2,129.0,131.0,132.7,134.3,136.4,138.5,140.5,142.1,144.4,146.7,148.6,151.2,153.2,154.9,155.8,156.3,157.6,158.9,161.3,164.3,166.6,169.1,169.4,169.9,171.8,174.1,174.6,177.3,180.0,183.0,187.9,191.0,192.7,195.454,199.438,205.36700000000002,206.817,202.507,206.11700000000002,208.321,209.176,215.38299999999998,218.237,221.014,221.928,224.114,225.453,228.296,228.398,226.132,227.24,227.364,229.80599999999998,232.21099999999998,234.328,237.91,239.358,240.822,242.618,242.386,245.304,252.206
CWUS0300SA0E     ,CWUS0300SA0E     ,"Energy in South urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2021-S01,100.0,101.2,100.0,102.4,91.5,83.4,86.7,90.7,88.2,91.1,93.1,95.8,97.4,108.3,102.9,103.4,100.8,104.8,102.6,104.6,101.0,105.9,103.5,104.9,107.8,111.8,110.9,110.6,100.3,99.3,97.9,109.2,118.1,125.1,128.2,118.8,112.5,119.3,127.2,129.8,139.1,148.6,155.5,184.1,191.0,189.2,191.542,205.717,231.917,225.921,177.662,194.863,201.705,203.174,235.68400000000003,237.55900000000003,240.727,235.83900000000003,237.139,235.209,241.27,228.34099999999998,193.745,187.71400000000003,172.43099999999995,182.36,187.94,195.356,203.363,204.72299999999998,196.426,197.72400000000002,178.046,179.03099999999995,205.78400000000002
CWUS0300SA0L1    ,CWUS0300SA0L1    ,"All items less food in South urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2021-S01,102.1,105.0,106.5,108.5,108.3,108.2,110.3,112.8,114.1,116.7,119.0,121.3,124.0,128.1,130.2,132.2,134.0,136.4,138.6,140.7,142.2,144.7,146.9,148.9,151.3,153.1,154.7,155.5,155.9,157.2,158.4,161.0,164.2,166.5,168.9,168.8,169.1,171.4,173.6,173.7,176.2,178.8,182.1,187.5,190.7,192.3,194.889,198.648,204.672,205.16099999999997,200.017,204.331,206.56900000000002,207.422,213.71900000000002,216.197,218.965,219.74400000000003,221.949,223.209,226.0,225.56599999999997,222.643,223.666,223.975,226.90599999999998,229.543,231.745,235.74200000000002,237.173,238.38299999999998,240.305,239.04,241.815,249.33700000000002
CWUS0300SA0L1E   ,CWUS0300SA0L1E   ,"All items less food and energy in South urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2021-S01,102.4,105.7,107.6,109.5,111.3,112.9,114.8,117.0,119.0,121.6,124.0,126.2,129.1,132.1,135.4,137.7,140.2,142.4,145.3,147.5,149.8,151.9,154.9,156.9,159.4,160.8,162.9,163.8,165.9,167.6,169.3,170.5,172.6,174.1,176.4,178.0,179.4,180.8,182.1,181.8,183.0,184.5,187.1,188.3,191.1,193.2,195.84400000000002,197.85299999999998,200.52900000000002,202.09799999999998,204.113,206.292,207.755,208.505,210.385,212.96900000000002,215.613,217.38099999999997,219.747,221.56599999999997,223.905,225.507,227.74200000000002,229.916,232.761,234.592,236.77,238.15400000000002,241.49,242.93599999999998,245.695,247.72400000000002,249.18599999999998,252.236,257.006
CWUS0300SA0L2    ,CWUS0300SA0L2    ,"All items less shelter in South urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2021-S01,103.6,105.1,106.5,107.9,107.7,107.9,110.2,112.8,114.2,117.4,120.1,122.4,125.7,129.7,131.8,133.4,134.9,137.0,139.0,140.9,142.2,144.6,146.7,148.4,150.9,152.9,154.3,154.9,154.7,155.7,156.8,159.6,162.7,165.0,167.4,167.1,166.9,168.6,170.8,171.1,173.9,176.8,179.9,185.8,188.6,189.2,191.298,195.551,202.51,203.505,196.66299999999998,201.78,205.077,206.043,214.067,217.17,219.99400000000003,220.247,222.16099999999997,223.042,225.378,224.081,219.4,219.417,218.28,220.238,222.08,223.239,226.61,227.285,227.697,228.562,226.97099999999998,229.88400000000001,237.85299999999998
CWUS0300SA0L5    ,CWUS0300SA0L5    ,"All items  less medical care in South urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2021-S01,102.0,104.7,106.0,107.6,107.4,107.6,109.5,111.7,113.1,115.7,118.1,120.2,123.1,126.8,128.6,130.0,131.4,133.2,135.1,137.0,138.4,140.6,142.7,144.4,146.9,148.9,150.4,151.3,151.6,152.8,154.1,156.4,159.3,161.5,163.9,164.0,164.4,166.1,168.2,168.6,171.1,173.7,176.5,181.3,184.4,185.9,188.543,192.351,198.095,199.486,194.87900000000002,198.41,200.332,201.085,207.185,209.91,212.449,213.206,215.22,216.46400000000003,219.15900000000002,219.19,216.68,217.61900000000003,217.38299999999998,219.46900000000002,221.6,223.737,227.12400000000002,228.688,229.916,231.43900000000002,230.766,233.544,240.55
CWUS0300SA0LE    ,CWUS0300SA0LE    ,"All items less energy in South urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2021-S01,102.5,105.4,107.2,108.8,110.5,112.3,114.3,116.3,118.3,121.1,123.7,126.0,129.3,132.2,135.2,137.1,139.2,141.1,143.7,145.7,148.0,150.0,152.8,154.9,157.4,159.2,161.2,162.3,164.3,165.9,167.5,168.8,170.9,172.6,174.9,176.6,178.0,179.3,180.7,181.0,182.7,184.4,186.8,188.3,191.0,193.1,195.928,198.49400000000003,201.585,204.078,205.919,207.627,209.178,209.946,212.452,215.44299999999998,218.102,219.861,222.176,223.99,226.44,228.342,230.541,232.635,234.87900000000002,236.33599999999998,238.325,239.745,242.705,244.166,246.965,248.83,251.014,254.176,258.691
CWUS0300SAA      ,CWUS0300SAA      ,"Apparel in South urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2021-S01,101.6,103.8,105.2,107.7,107.4,109.1,111.7,114.7,117.9,121.9,123.3,124.4,128.5,130.0,134.4,135.3,139.8,139.2,142.8,143.4,144.9,142.6,143.3,141.9,142.5,139.9,143.3,141.9,143.8,142.8,142.5,140.8,142.1,138.8,140.7,136.9,136.9,134.9,134.2,131.2,132.6,130.9,133.0,129.9,133.6,132.6,133.715,131.09799999999998,131.864,130.495,132.237,131.752,129.498,128.533,129.111,132.762,134.107,135.101,135.961,137.196,136.365,135.07299999999998,134.218,133.386,133.627,133.761,133.657,130.939,134.84,132.363,133.5,130.875,126.666,122.837,125.93
CWUS0300SAC      ,CWUS0300SAC      ,"Commodities in South urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2021-S01,102.5,104.3,105.5,106.3,104.8,104.1,106.7,109.1,110.4,113.3,116.0,117.7,120.9,124.5,126.0,126.7,127.8,129.2,130.7,131.6,132.7,134.7,136.4,137.2,139.5,141.0,142.2,141.8,141.6,142.1,143.2,145.9,149.5,150.7,152.2,150.4,150.0,150.6,151.9,150.7,154.0,156.3,159.2,164.1,166.2,165.5,167.765,171.53799999999995,179.035,176.74099999999999,167.54,173.68400000000003,177.46200000000005,177.515,187.778,190.062,193.203,192.274,193.66400000000002,192.88299999999998,194.579,191.493,184.421,182.834,179.92700000000005,180.727,182.175,182.537,185.797,185.84599999999998,185.44799999999998,185.207,182.80599999999998,184.929,193.98
CWUS0300SACE     ,CWUS0300SACE     ,"Energy commodities in South urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2021-S01,98.2,98.0,97.0,99.9,83.6,70.6,78.3,83.3,79.7,82.2,87.0,89.0,92.9,110.1,100.8,99.3,96.0,99.9,97.1,96.6,93.2,99.9,99.5,97.6,103.1,106.6,106.3,103.5,92.5,88.7,89.3,106.5,125.5,130.4,130.7,111.7,110.5,120.8,133.0,130.3,151.9,163.6,176.9,217.0,224.0,217.3,226.576,249.041,297.565,268.475,180.46400000000003,219.21099999999998,237.851,238.054,304.548,301.5,315.0540000000001,304.57599999999996,308.19,296.82,306.46299999999997,275.122,211.111,197.515,174.90599999999995,189.386,200.959,211.08900000000003,230.551,231.843,216.28599999999997,217.183,180.69299999999998,179.132,231.713
CWUS0300SACL1    ,CWUS0300SACL1    ,"Commodities less food in South urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2021-S01,102.3,104.3,105.4,106.4,103.2,100.8,103.6,106.5,107.5,109.9,112.3,113.6,115.9,120.2,121.4,122.4,123.7,125.7,127.1,127.8,128.3,130.3,131.8,132.1,134.1,134.6,135.6,134.3,133.3,133.4,134.3,137.6,141.7,142.5,143.4,139.8,138.6,139.2,140.1,137.0,140.4,142.4,145.9,151.7,153.6,151.7,153.363,156.511,164.672,158.94299999999996,146.317,154.815,159.202,158.936,170.886,172.048,175.271,173.324,174.43200000000004,172.658,173.74900000000005,168.4,158.313,155.63,152.134,153.399,154.986,154.863,158.724,158.269,156.741,156.089,150.916,152.422,163.239
CWUS0300SACL11   ,CWUS0300SACL11   ,"Commodities less food and beverages in South urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2021-S01,102.3,104.4,105.5,106.5,103.0,100.6,103.5,106.4,107.4,109.8,112.2,113.6,115.9,120.2,120.9,121.9,123.2,125.3,126.7,127.4,127.8,129.9,131.5,131.8,133.7,134.1,135.1,133.6,132.6,132.6,133.6,136.8,141.0,141.8,142.7,138.7,137.4,138.0,138.9,135.8,139.1,141.1,144.6,150.6,152.4,150.6,152.08,155.25,163.532,157.615,144.614,153.255,157.717,157.36,169.59,170.75400000000005,173.907,171.938,172.982,171.11700000000005,172.18099999999995,166.717,156.401,153.649,150.036,151.314,152.888,152.719,156.6,156.101,154.483,153.767,148.466,149.987,160.909
CWUS0300SACL1E   ,CWUS0300SACL1E   ,"Commodities less food and energy commodities in South urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2021-S01,103.1,105.8,107.2,107.8,108.2,108.8,110.6,113.0,115.1,117.5,119.4,120.6,122.5,124.0,127.5,129.1,131.5,133.1,135.5,136.4,137.7,138.8,140.7,141.6,142.8,142.6,143.9,142.9,144.0,144.9,146.0,146.3,147.4,147.4,148.5,147.9,147.0,145.8,144.5,141.4,141.0,141.2,142.7,141.8,143.2,142.1,142.394,142.04,142.791,141.34799999999996,142.664,145.632,147.25,146.88,147.928,149.987,151.13,150.898,151.518,151.687,151.344,150.713,150.423,149.716,149.69,148.733,148.64600000000004,146.78799999999995,147.952,147.186,148.101,147.16899999999995,146.559,148.503,153.321
CWUS0300SAD      ,CWUS0300SAD      ,"Durables in South urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2021-S01,103.0,105.9,107.1,106.4,106.2,105.9,107.1,109.3,110.4,111.9,113.1,113.1,113.6,114.0,115.5,116.7,117.7,120.0,121.3,124.1,125.0,127.5,130.2,130.9,131.6,131.5,131.5,129.3,129.1,129.2,127.9,128.0,127.7,127.5,127.7,125.9,123.9,122.7,121.1,117.3,115.9,116.3,117.5,116.8,116.8,115.2,114.236,113.728,113.523,110.79899999999999,109.413,111.601,114.258,113.86,115.016,116.417,116.6,115.837,115.87200000000001,115.436,114.73200000000001,113.74700000000001,113.351,112.23899999999999,111.83,109.84299999999999,109.815,107.852,108.226,107.876,108.727,107.884,107.633,110.772,116.245
CWUS0300SAE      ,CWUS0300SAE      ,"Education and communication in South urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,1998-S01,2021-S01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.5,100.7,101.4,101.8,102.3,103.5,106.1,106.6,107.9,107.6,107.1,107.2,107.3,107.4,108.7,109.4,111.0,111.76799999999999,113.897,114.455,116.994,117.565,119.226,120.111,120.65100000000001,120.117,121.169,122.47399999999999,122.899,123.819,124.359,125.022,125.334,124.935,126.12,126.53299999999999,125.671,121.23,119.59,119.583,119.376,118.595,118.863,119.314,121.556,121.94
CWUS0300SAEC     ,CWUS0300SAEC     ,"Education and communication commodities in South urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 2009.12=100,2010-S01,2021-S01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.61,97.185,94.443,92.572,92.135,90.837,89.26899999999998,87.79799999999999,87.369,85.82700000000001,83.29700000000003,81.446,79.417,79.295,76.902,75.119,74.033,73.105,70.57300000000002,67.396,65.601,64.152,64.936
CWUS0300SAES     ,CWUS0300SAES     ,"Education and communication services in South urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 2009.12=100,2010-S01,2021-S01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.432,101.116,100.855,101.95700000000001,103.184,103.694,104.682,105.31299999999999,105.96700000000001,106.429,106.34200000000001,107.646,108.265,107.477,103.62899999999999,102.31700000000001,102.45,102.363,101.925,102.531,103.17200000000001,105.37,105.647
CWUS0300SAF      ,CWUS0300SAF      ,"Food and beverages in South urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2021-S01,103.0,104.1,105.4,106.0,107.7,110.1,112.1,113.6,115.5,119.0,122.4,124.9,129.6,131.8,134.7,134.9,135.7,136.0,137.6,138.9,141.0,142.6,144.7,146.5,149.6,153.0,154.5,156.0,157.5,158.8,160.2,161.8,164.2,166.3,169.0,171.2,172.6,173.1,175.4,178.3,181.8,184.7,186.3,188.7,190.8,193.0,196.78400000000002,201.78400000000002,206.859,213.99200000000002,215.12599999999998,214.47299999999998,216.41400000000002,217.41,222.783,227.558,230.43200000000002,232.00099999999998,234.14700000000002,235.958,238.977,242.375,244.363,245.954,245.27900000000002,244.903,245.993,247.62,248.65099999999998,250.22,253.257,254.361,260.13,263.703,266.845
