Record Date,Parent ID,Classification ID,Classification Description,Current Month Gross Receipts Amount,Current Month Refund Amount,Current Month Net Receipts Amount,Current Fiscal Year to Date Gross Receipts Amount,Current Fiscal Year to Date Refund Amount,Current Fiscal Year to Date Net Receipts Amount,Prior Fiscal Year to Date Gross Receipts Amount,Prior Fiscal Year to Date Refund Amount,Prior Fiscal Year to Date Net Receipts Amount,Table Number,Source Line Number,Print Order Sequence Number,Line Code Number,Data Type Code,Record Type Code,Sequence Level Number,Sequence Number Code,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
"2021-02-28","null","45568156","Individual Income Taxes","null","null","null","null","null","null","null","null","null","4","1","1","100","D","RSG","1","1","2021","2","2021","1","02","28"
"2021-02-28","45568156","45568158","Withheld","133303026665.08","null","null","558345641861.33","null","null","599762613808.35","null","null","4","2","2","102","D","SRS","2","1.1","2021","2","2021","1","02","28"
"2021-02-28","45568156","45568160","Presidential Election Campaign Fund","2553795.00","null","null","4739973.00","null","null","6421488.00","null","null","4","3","3","105","D","SRS","2","1.2","2021","2","2021","1","02","28"
"2021-02-28","45568156","45568164","Other","11544950401.28","null","null","190685047324.81","null","null","159156587431.51","null","null","4","4","4","110","D","SRS","2","1.3","2021","2","2021","1","02","28"
"2021-02-28","45568156","45568168","Total -- Individual Income Taxes","144850530861.36","19023469392.73","125827061468.63","749035429159.14","44636225507.41","704399203651.73","758925622727.86","87781166658.59","671144456069.27","4","5","5","120","T","RSG","2","1.4","2021","2","2021","1","02","28"
"2021-02-28","null","45568172","Corporation Income Taxes","6589487097.69","2809714299.91","3779772797.78","111781527775.59","22658192403.85","89123335371.74","93757928059.85","19893817329.95","73864110729.90","4","6","6","130","D","RSG","1","2","2021","2","2021","1","02","28"
"2021-02-28","null","45568176","Social Insurance and Retirement Receipts:","null","null","null","null","null","null","null","null","null","4","7","7","140","S","RSG","1","3","2021","2","2021","1","02","28"
"2021-02-28","45568176","45568180","Employment and General Retirement:","null","null","null","null","null","null","null","null","null","4","8","8","150","S","RSG","2","3.1","2021","2","2021","1","02","28"
"2021-02-28","45568180","45568184","Federal Old-Age and Survivors Insurance Trust Fund:","null","null","null","null","null","null","null","null","null","4","9","9","160","S","RSG","3","3.1.1","2021","2","2021","1","02","28"
"2021-02-28","45568184","45568188","Federal Insurance Contributions Act Taxes","63231000000.00","null","63231000000.00","324131324700.00","3309850000.00","320821474700.00","312090000000.00","null","312090000000.00","4","10","10","200","D","SRS","4","3.1.1.1","2021","2","2021","1","02","28"
"2021-02-28","45568184","45568192","Self-Employment Contributions Act Taxes","422000000.00","null","422000000.00","8626000000.00","null","8626000000.00","8426000000.00","null","8426000000.00","4","11","11","204","D","SRS","4","3.1.1.2","2021","2","2021","1","02","28"
"2021-02-28","45568184","45568200","Adjustments Attributable to Prior Years-FICA","null","null","null","4003752620.53","null","4003752620.53","1506594519.67","null","1506594519.67","4","12","12","209","D","SRS","4","3.1.1.3","2021","2","2021","1","02","28"
"2021-02-28","45568184","45568203","Adjustments Attrbutable to Prior Years-SECA","null","null","null","45759791.25","null","45759791.25","-120992948.27","null","-120992948.27","4","13","13","14360","D","SRS","4","3.1.1.4","2021","2","2021","1","02","28"
"2021-02-28","45568184","45568207","Total -- Federal Old-Age and Survivors Insurance Trust Fund","63653000000.00","null","63653000000.00","336806837111.78","3309850000.00","333496987111.78","321901601571.40","null","321901601571.40","4","14","14","210","T","RSG","4","3.1.1.5","2021","2","2021","1","02","28"
"2021-02-28","45568180","45568211","Federal Disability Insurance Trust Fund:","null","null","null","null","null","null","null","null","null","4","15","15","211","S","RSG","3","3.1.2","2021","2","2021","1","02","28"
"2021-02-28","45568211","45568215","Federal Insurance Contributions Act Taxes","10737000000.00","null","10737000000.00","55040379300.00","562050000.00","54478329300.00","52996000000.00","null","52996000000.00","4","16","16","212","D","SRS","4","3.1.2.1","2021","2","2021","1","02","28"
"2021-02-28","45568211","45568217","Self-Employment Contributions Act Taxes","72000000.00","null","72000000.00","1465000000.00","null","1465000000.00","1429000000.00","null","1429000000.00","4","17","17","214","D","SRS","4","3.1.2.2","2021","2","2021","1","02","28"
"2021-02-28","45568211","45568221","Adjustments Attributable to Prior Years-FICA","null","null","null","728553841.15","null","728553841.15","370523668.71","null","370523668.71","4","18","18","219","D","SRS","4","3.1.2.3","2021","2","2021","1","02","28"
"2021-02-28","45568211","45568223","Adjustments Attributable to Prior Years-SECA","null","null","null","13163322.95","null","13163322.95","-42328812.20","null","-42328812.20","4","19","19","14361","D","SRS","4","3.1.2.4","2021","2","2021","1","02","28"
