"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","CCI","AMPLITUD","LTRENDIDX","M","1960-01",101.6972,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1960-02",101.4128,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1960-03",101.1671,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1960-04",101.0316,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1960-05",101.0658,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1960-06",101.1627,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1960-07",101.1831,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1960-08",101.0284,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1960-09",100.7886,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1960-10",100.5894,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1960-11",100.5248,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1960-12",100.5481,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1961-01",100.6017,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1961-02",100.6588,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1961-03",100.7348,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1961-04",100.8692,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1961-05",101.0886,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1961-06",101.3112,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1961-07",101.4181,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1961-08",101.3206,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1961-09",101.1436,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1961-10",101.0548,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1961-11",101.1729,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1961-12",101.3877,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1962-01",101.541,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1962-02",101.5109,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1962-03",101.3573,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1962-04",101.1571,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1962-05",100.9629,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1962-06",100.808,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1962-07",100.7361,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1962-08",100.7916,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1962-09",100.9266,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1962-10",101.0929,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1962-11",101.2545,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1962-12",101.368,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1963-01",101.3691,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1963-02",101.2059,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1963-03",100.9853,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1963-04",100.846,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1963-05",100.8884,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1963-06",101.0239,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1963-07",101.1361,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1963-08",101.1488,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1963-09",101.1179,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1963-10",101.1314,
