index,Index,Label,unit,start,last,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
PCU6231--6231--               ,PCU6231--6231--               ,"PPI industry group data for Nursing care facilities, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M01,,,,,,,,,,102.6,106.4,109.6,114.7,119.2,123.2,125.7,128.7,130.5,131.6,133.0,135.8,139.4,142.9,147.8,153.2,159.5,162.112
PCU62311-62311-               ,PCU62311-62311-               ,"PPI industry data for Nursing care facilities, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M01,,,,,,,,,,102.6,106.4,109.6,114.7,119.2,123.2,125.7,128.7,130.5,131.6,133.0,135.8,139.4,142.9,147.8,153.2,159.5,162.111
PCU623110623110               ,PCU623110623110               ,"PPI industry data for Nursing care facilities, not seasonally adjusted",Index base: 1994.12 = 100,1994-M12,2022-M01,103.7,110.0,114.7,119.6,124.1,131.0,139.3,144.6,149.4,155.6,161.4,166.2,174.0,180.9,186.9,190.7,195.3,198.0,199.6,201.8,206.0,211.4,216.8,224.2,232.4,241.9,245.944
PCU6231106231101              ,PCU6231106231101              ,"PPI industry data for Nursing care facilities-Medicare and Medicaid patients, not seasonally adjusted",Index base: 1994.12 = 100,1994-M12,2022-M01,,,,,,,,146.1,149.5,155.6,161.3,164.2,171.8,177.6,182.9,185.7,189.7,189.9,190.1,191.7,196.1,200.0,204.8,211.2,217.9,227.6,235.223
PCU623110623110101            ,PCU623110623110101            ,"PPI industry data for Nursing care facilities-Medicaid patients, not seasonally adjusted",Index base: 2012.06 = 100,2012-M06,2022-M01,,,,,,,,,,,,,,,,,,,100.6,101.7,104.5,106.7,109.6,113.8,118.3,124.1,128.915
PCU623110623110102            ,PCU623110623110102            ,"PPI industry data for Nursing care facilities-Medicare patients, not seasonally adjusted",Index base: 2012.06 = 100,2012-M06,2022-M01,,,,,,,,,,,,,,,,,,,100.3,100.5,102.1,103.8,105.9,108.1,110.3,114.3,117.309
PCU6231106231103              ,PCU6231106231103              ,"PPI industry data for Nursing care facilities-Private insurance and all other patients, not seasonally adjusted",Index base: 1994.12 = 100,1994-M12,2022-M01,,,,,,,,144.1,151.2,157.6,163.8,171.8,180.0,188.6,196.0,201.2,207.0,213.3,217.5,221.8,226.4,234.5,241.4,249.5,255.6,266.0,265.414
PCU623110623110301            ,PCU623110623110301            ,"PPI industry data for Nursing care facilities-Private insurance patients, not seasonally adjusted",Index base: 2014.06 = 100,2014-M06,2022-M01,,,,,,,,,,,,,,,,,,,,,99.4,98.4,98.9,100.2,104.1,105.5,107.204
PCU623110623110302            ,PCU623110623110302            ,"PPI industry data for Nursing care facilities-All other patients, not seasonally adjusted",Index base: 2014.06 = 100,2014-M06,2022-M01,,,,,,,,,,,,,,,,,,,,,102.9,107.5,111.2,115.3,117.8,123.2,122.528
PCU623110623110P              ,PCU623110623110P              ,"PPI industry data for Nursing care facilities-Primary services, not seasonally adjusted",Index base: 1994.12 = 100,1994-M12,2022-M01,103.7,110.1,114.9,119.8,124.4,131.4,139.8,145.3,150.1,156.2,162.1,166.9,174.8,181.7,187.8,191.6,196.3,198.9,200.6,203.1,207.6,213.3,219.0,226.1,232.5,242.4,246.583
