index,Index,Label,unit,start,last,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
PCU492---492---               ,PCU492---492---               ,"PPI industry sub-sector data for Couriers and messengers, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2021-M11,,,,,,,,,,,,,,,,,106.1,113.8,121.5,131.5,142.0,141.5,153.4,168.8,179.7,189.4,198.3,203.2,203.4,210.4,222.8,233.0,241.2
PCU4921--4921--               ,PCU4921--4921--               ,"PPI industry group data for Couriers and express delivery services, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2021-M11,,,,,,,,,,,,,,,,,106.6,115.0,123.2,133.5,144.4,143.8,156.6,173.0,184.4,194.3,203.7,208.8,208.9,216.0,229.2,240.0,248.6
PCU49211-49211-               ,PCU49211-49211-               ,"PPI industry data for Couriers and express delivery services, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2021-M11,,,,,,,,,,,,,,,,,106.6,115.0,123.2,133.5,144.4,143.8,156.6,173.0,184.4,194.3,203.7,208.8,209.0,216.0,229.2,240.0,248.6
PCU492110492110               ,PCU492110492110               ,"PPI industry data for Couriers and express delivery services, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2021-M11,,,,,,,,,,,,,,,,,106.6,115.0,123.2,133.5,144.4,143.8,156.6,173.0,184.4,194.3,203.6,208.8,208.9,216.0,229.2,240.0,248.6
PCU4921104921101              ,PCU4921104921101              ,"PPI industry data for Couriers and express delivery services-Standard courier services, not seasonally adjusted",Index base: 1992.12 = 100,1992-M12,2021-M11,,,,,,102.6,105.5,111.1,115.5,119.7,126.2,129.6,135.0,139.7,142.9,150.4,160.4,172.4,182.0,199.2,206.1,218.7,235.9,255.4,273.5,292.8,308.9,322.8,319.6,324.1,341.7,358.0,373.8
PCU4921104921102              ,PCU4921104921102              ,"PPI industry data for Couriers and express delivery services-Expedited courier services, not seasonally adjusted",Index base: 1987.12 = 100,1987-M12,2021-M11,100.5,99.8,106.2,106.4,107.2,107.2,108.7,110.8,115.4,116.5,114.4,118.8,130.5,136.4,139.1,144.0,154.2,167.1,182.5,195.7,224.4,205.5,227.1,258.3,273.5,281.6,292.5,290.8,296.1,315.4,338.6,354.0,360.4
PCU492110492110201            ,PCU492110492110201            ,"PPI industry data for Couriers and express delivery services-Domestic expedited courier services, not seasonally adjusted",Index base: 1998.12 = 100,1998-M12,2021-M11,,,,,,,,,,,,104.5,116.7,122.2,124.0,128.0,137.5,148.8,160.2,171.2,195.9,179.7,199.6,225.4,239.6,247.8,257.0,256.3,262.3,278.6,301.1,316.4,323.3
PCU492110492110202            ,PCU492110492110202            ,"PPI industry data for Couriers and express delivery services-International expedited courier services, not seasonally adjusted",Index base: 1998.12 = 100,1998-M12,2021-M11,,,,,,,,,,,,100.4,104.4,108.4,112.5,117.4,124.7,135.7,155.3,168.7,194.6,177.3,192.8,224.3,235.5,239.9,250.1,246.7,248.2,266.2,281.0,290.5,293.1
PCU492110492110P              ,PCU492110492110P              ,"PPI industry data for Couriers and express delivery services-Primary services, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2021-M11,,,,,,,,,,,,,,,,,106.6,115.0,123.2,133.6,144.6,143.9,156.9,173.4,184.9,194.9,204.3,209.5,209.7,216.7,230.0,240.8,249.5
PCU4922--4922--               ,PCU4922--4922--               ,"PPI industry group data for Local messengers and local delivery, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2021-M11,,,,,,,,,,,,,,,,,101.1,102.7,104.4,108.1,112.2,114.3,112.7,112.9,116.6,121.9,123.5,125.8,126.6,133.9,137.4,140.5,143.3
PCU49221-49221-               ,PCU49221-49221-               ,"PPI industry data for Local messengers and local delivery, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2021-M11,,,,,,,,,,,,,,,,,101.1,102.7,104.4,108.1,112.2,114.3,112.7,112.9,116.6,121.9,123.5,125.8,126.6,133.7,137.1,140.2,143.0
PCU492210492210               ,PCU492210492210               ,"PPI industry data for Local messengers and local delivery, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2021-M11,,,,,,,,,,,,,,,,,101.1,102.7,104.4,108.1,112.2,114.2,112.7,112.9,116.5,121.9,123.5,125.7,126.5,133.7,137.1,140.2,143.0
PCU4922104922101              ,PCU4922104922101              ,"PPI industry data for Local messengers and local delivery-Local messengers and local delivery services, not seasonally adjusted",Index base: 1992.12 = 100,1992-M12,2021-M11,,,,,,100.9,103.2,104.9,106.0,107.7,112.2,118.2,121.1,126.1,128.4,128.6,130.4,132.4,134.7,139.7,145.0,147.7,145.8,146.0,150.7,157.6,159.7,162.6,163.7,173.1,177.1,180.9,184.5
PCU492210492210P              ,PCU492210492210P              ,"PPI industry data for Local messengers and local delivery-Primary services, not seasonally adjusted",Index base: 1992.12 = 100,1992-M12,2021-M11,,,,,,100.9,103.2,104.9,106.0,107.7,112.2,118.2,121.1,126.1,128.4,128.6,130.4,132.4,134.7,139.7,145.0,147.7,145.8,146.0,150.7,157.6,159.7,162.6,163.7,173.1,177.1,180.9,184.5
