index,Index,Label,unit,start,last,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
PCU315---315---               ,PCU315---315---               ,"PPI industry sub-sector data for Apparel manufacturing, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,100.5,101.5,102.4,103.5,103.4,105.7,107.6,109.6,110.8,111.5,112.2,113.2,114.2,116.3,116.9,117.775
PCU3151--3151--               ,PCU3151--3151--               ,"PPI industry group data for Apparel knitting mills, not seasonally adjusted",Index base: 1984.12 = 100,1984-M12,2022-M01,,,,,,,,,,,,,,,,,,,,,100.6,101.3,103.3,105.5,107.4,109.9,110.9,112.8,113.3,113.0,115.7,116.6,117.0,116.6,114.0,113.9,113.7,112.7,111.6,110.3,109.6,110.5,110.9,112.9,113.9,115.3,121.4,123.2,125.2,125.6,128.1,129.2,129.9,130.1,130.9,131.1,131.956
PCU31511-31511-               ,PCU31511-31511-               ,"PPI industry data for Hosiery and sock mills, not seasonally adjusted",Index base: 1984.12 = 100,1984-M12,2022-M01,,,,,,,,,,,,,,,,,,,,,100.6,101.3,103.3,105.5,107.4,109.9,110.9,112.8,113.3,113.0,115.7,116.6,117.0,116.6,114.0,113.9,113.7,112.7,111.6,111.4,110.9,112.0,111.9,113.2,114.1,116.0,123.5,126.3,127.4,126.9,131.1,132.9,133.3,133.6,134.0,134.2,135.312
PCU315110315110               ,PCU315110315110               ,"PPI industry data for Hosiery and sock mills, not seasonally adjusted",Index base: 2010.12 = 100,2010-M12,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.0,106.4,107.3,106.9,110.4,111.9,112.2,112.5,112.8,113.0,113.929
PCU3151103151100              ,PCU3151103151100              ,"PPI industry data for Hosiery and sock mills-Hosiery and socks, not seasonally adjusted",Index base: 2020.05 = 100,2020-M05,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.844
PCU315110315110P              ,PCU315110315110P              ,"PPI industry data for Hosiery and sock mills-Primary products, not seasonally adjusted",Index base: 2010.12 = 100,2010-M12,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.8,104.8,105.0,104.3,106.8,107.6,107.8,108.1,108.4,108.6,109.533
PCU31519-31519-               ,PCU31519-31519-               ,"PPI industry data for Other apparel knitting mills, not seasonally adjusted",Index base: 2006.12 = 100,2006-M12,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.8,103.5,104.7,105.2,108.9,108.9,112.1,113.9,113.6,113.4,114.5,114.5,115.9,116.0,116.478
PCU315190315190               ,PCU315190315190               ,"PPI industry data for Other apparel knitting mills, not seasonally adjusted",Index base: 2011.12 = 100,2011-M12,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.3,102.2,103.9,103.6,103.4,104.4,104.5,105.7,105.8,106.242
PCU3151903151903              ,PCU3151903151903              ,"PPI industry data for Other apparel knitting mills-Outerwear, made in knitting mills, not seasonally adjusted",Index base: 1984.12 = 100,1984-M12,2016-M05,,,,,,,,,,,,,,,,,,,,,101.0,102.4,107.2,108.5,110.0,112.1,112.5,114.2,114.1,115.0,117.4,118.8,119.7,119.2,116.0,116.8,116.4,112.1,101.0,98.0,96.9,97.4,98.1,99.1,99.9,100.6,101.1,101.6,105.2,107.5,108.5,,,,,,
PCU31519031519031             ,PCU31519031519031             ,"PPI industry data for Other apparel knitting mills-Men's and boys' sweaters, made in knitting mills, not seasonally adjusted",Index base: 1984.12 = 100,1984-M12,2015-M06,,,,,,,,,,,,,,,,,,,,,103.0,104.2,108.4,116.1,120.3,122.8,124.8,127.6,127.5,128.3,128.7,128.8,132.6,132.2,132.3,133.2,132.5,131.5,129.0,129.0,129.0,130.8,131.7,131.9,134.6,137.5,137.5,137.5,142.0,140.9,,,,,,,
